"RMSEA","RMSEA_se","CFI","SRMR","fit_chisq","fit_df","fit_pvalue","N_factors","unidimensional_check_count","Tau_chisq_diff","Tau_Df_diff","Tau_p_diff","mean_spec","err_chisq_diff","err_Df_diff","err_p_diff"
0.103539853284411,0.0920383506702648,0.948065889765342,0.0670509866492129,7.25130525581303,5,0.202611229103845,1,3,0.756309166144096,4,0.944207585162319,-0.0147897045381857,6.70491745392254,5,0.243527030153787
0,0.0766716835138401,1,0.0407535954411079,2.45947942286813,5,0.782584800895754,1,4,4.64103232118071,4,0.326150639597474,0.0174427905967652,5.24913330163551,5,0.386238365806033
0,0.169418836000555,1,0.0898468270211451,4.42770765127727,5,0.489613777174254,0,2,5.2724983798974,4,0.260462474004098,-0.140790635227943,9.57595242508694,5,0.0881817012042615
0.0286480294332715,0.109336924471579,0.996888570076697,0.0608196067854391,5.18876320579421,5,0.39328050000668,1,4,12.910996487895,4,0.0117189690415968,0.221793220845111,19.743650243381,5,0.00139597391056496
0.0423201874452534,0.0965022784041992,0.987438484818983,0.0578599603004659,5.46565954900436,5,0.361726131707189,1,4,4.19573819190984,4,0.380163213514701,0.20815012547784,8.08820865657775,5,0.151440810139242
0.0961479180392986,0.0426744008891591,0.915472786413718,0.0580177362205699,12.1644271610511,5,0.0326029041246835,2,3,14.0182868710322,4,0.00723691971356373,-0.090274383976294,20.7775219711896,5,0.000892315937236323
0.122128021759619,0.0702943238012866,0.839054769028344,0.0727584698576748,9.62372864666458,5,0.0866263733057681,1,2,1.4797302274263,4,0.830225835409963,-0.176587466834671,9.44325693315492,5,0.092637610027899
0.0286307016414581,0.0336775836366087,0.995709362374181,0.022182686483697,6.41811054231419,5,0.267633165439777,1,4,25.7166712241108,4,3.60916611921712e-05,0.0782560070023694,21.614603323638,5,0.000619692136643635
0.0226485696030701,0.0986903972208622,0.575820606064479,0.0724066072028365,5.14875773446888,5,0.39799684304866,0,2,2.09463496460914,4,0.71835809747431,0.0451369021873483,7.03577682530865,5,0.217993110182778
0.0583661106543704,0.0673221869783713,0.983128505983334,0.0445806770713286,6.46483923535483,5,0.263577115308699,1,4,7.08872396982795,4,0.131273198258158,-0.00234846706256324,10.6578810207695,5,0.0586013598726182
0.148169470886863,0.0779193038465357,0.747898648809399,0.0911135024494609,10.3787770652088,5,0.0651871776803518,1,1,2.02783859126555,4,0.730638423848709,-0.14314136119802,12.3831063961809,5,0.0298991733542344
0.114042320917855,0.0680208067761838,0.88092689118628,0.0809238942759498,9.35689307171093,5,0.0956480560182859,2,0,12.2610555309721,4,0.0155119821247162,-0.162786557462999,19.7878580815093,5,0.00136960541110538
0,0,1,0.018315975337503,0.629132973806026,5,0.986630553089669,1,4,10.6561523458449,4,0.0307126730975387,0.144786167959382,9.08016864876403,5,0.10590890942145
0.0550120018246551,0.0663115368779429,0.952109793189614,0.0543901024166585,6.36184415514014,5,0.272584505953741,1,4,1.5780527983491,4,0.812731210597212,-0.0369302181026376,8.06012006350972,5,0.152953269602172
0,0.0865651277745621,1,0.0405105300321753,3.47723717044377,5,0.626834699177189,1,4,15.8098053197442,4,0.00328528893799369,0.15959663634792,19.7972247911584,5,0.00136408167745968
0.118506229172881,0.0478326794268225,0.850765768936386,0.0725984959781064,13.4262358116652,5,0.0196956363196565,2,2,22.6584557436841,4,0.000148154460183253,-0.0743655743729548,29.0181141088817,5,2.29986254534083e-05
0.132949437650312,0.0660354403424533,0.920002622105153,0.0640594105254607,10.9213102454639,5,0.052962685403968,1,3,0.871042560972609,4,0.928677975792247,0.0263826697997607,9.17096076167384,5,0.102436351685088
0,0.0972909293914047,1,0.0531396303848087,2.99197680622955,5,0.701222852325362,1,4,10.8765263150133,4,0.0279873026119395,-0.0618159352117914,13.1729805263479,5,0.0218105689337456
0.204729000764955,0.09814215486683,0.689030402756507,0.130376620316866,11.2870945631326,5,0.045975682738975,1,2,10.0007724419135,4,0.0404146723227896,0.128960450480589,22.6601480495515,5,0.000391983745951153
0.107654960631112,0.0544853839765396,0.915568833763884,0.0638831883988939,10.7368473215007,5,0.0568545091772302,2,2,13.0651437941396,4,0.0109618374586405,-0.0901156944108007,20.3080838222652,5,0.00109380726057765
0,0.121710118834384,1,0.0656882032464308,4.98683741316799,5,0.417488682596139,1,4,5.60058742630622,4,0.2310282326943,-0.212523784424068,8.71921522809296,5,0.120801600176195
