"RMSEA","RMSEA_se","N_factors","unidimensional","Tau_chisq_diff","Tau_Df_diff","Tau_p_diff","mean_spec","err_chisq_diff","err_Df_diff","err_p_diff"
0.0751581033898742,0.0446998711830157,1,"Yes",13.1215467171511,4,0.0106969152068218,0.00433244306275925,13.5186490308847,5,0.0189741787725294
0.267021018220074,0.0736036207967576,2,"No",11.653500563579,4,0.0201228051589008,0.18784337943785,25.1064389648345,5,0.000132892298728459
0.108469936934974,0.0608696896674488,1,"Yes",0.211245973842719,4,0.994799547665538,0.200342476625645,4.4843598804731,5,0.4819787559419
0.212545313640708,0.0357819044434222,2,"No",14.0247371297154,4,0.00721652209442587,0.198110140460316,36.5180481498741,5,7.48089702390415e-07
0.240148145204477,0.0786116965519907,1,"Yes",1.93013836699192,4,0.748606552227487,0.17726724843207,9.58323083811327,5,0.0879431046283187
0.0962580465638785,0.055673150882768,1,"Yes",5.63661617734474,4,0.227979247731547,-0.000170975866032119,11.7767466109811,5,0.0379782861421776
0.249640362874347,0.0353805648515587,2,"No",19.9442902184732,4,0.00051220515960284,0.224448504355527,44.7616131953238,5,1.62213157620949e-08
0.177588877112378,0.044970730273417,2,"No",10.7347700910437,4,0.0297122407645687,0.0583681107900589,20.3589203428746,5,0.00106998805039561
0.0560121107018133,0.0975051769696445,1,"Yes",7.41436399833436,4,0.115545305345786,-0.0759618119783446,9.55041215578703,5,0.0890236786961396
0.184108262346376,0.0546001563177055,1,"Yes",6.09874434810634,4,0.19189434906282,0.271203399870648,13.0188935957859,5,0.023202356521326
0.0832852713627589,0.0576854129961278,1,"Yes",8.47432824222193,4,0.075669207794924,-0.141537387225291,13.4782237928873,5,0.0192865870976839
0.25687248544141,0.0406090715894152,2,"No",3.59218490168505,4,0.464000540621839,0.172298358094642,25.3963148952685,5,0.000116806105187983
0.131320891146699,0.0514065408686209,1,"Yes",12.4664056487511,4,0.0141998923502345,0.067957041552232,21.0424988298027,5,0.000795218960322538
0.138092397092682,0.0462593824554573,1,"Yes",14.6623994475931,4,0.00545516586820178,0.0916609430323113,13.5993906208313,5,0.0183647236531809
0.185448183723067,0.0528140937362751,2,"No",6.09717121380222,4,0.192008042532299,0.284634514723945,25.5978893867641,5,0.000106772046514021
0.0709029872703222,0.0426352995522674,1,"Yes",13.9145563319889,4,0.00757280935433911,0.167981331220794,21.2739260346335,5,0.000718984835331625
0.286251894470778,0.0517505954761782,2,"No",5.09350179603488,4,0.277837476372199,0.247043545696719,31.5771964794457,5,7.20362912137355e-06
0.206599764287477,0.0511799075004146,1,"Yes",2.22690944852682,4,0.694105851987156,-0.0417393981427559,10.321715445395,5,0.0666161970552308
0.298425268630096,0.0460959486306723,2,"No",7.24613286521228,4,0.123438994368626,0.211116090103109,50.8607391927516,5,9.23591171855344e-10
0.237370300255001,0.0487359621046608,1,"Yes",9.23607132069544,4,0.055462199289119,0.098984674298783,23.1807788794449,5,0.000311732793606308
0,0.0943905147030627,1,"Yes",6.19178641547224,4,0.185276052082602,-0.120446374520685,9.52686119762595,5,0.0898066380723099
0.220958238082366,0.0485430743605456,2,"No",6.50678876843134,4,0.164363138246249,-0.121829236634248,25.8864865240446,5,9.3874872648631e-05
0.218779999500597,0.0273852329060351,2,"No",15.5860539464616,4,0.00362802101151611,0.283796477268082,47.0389576566554,5,5.57850897989368e-09
0.354444426987747,0.0447127516052893,2,"No",8.7056693293558,4,0.0688924696925129,0.265995435596044,56.1729520477318,5,7.48668015833995e-11
0.226577194834571,0.0380964794769579,2,"No",2.61671179066535,4,0.623865575421494,0.235583927272387,27.4104810328775,5,4.74459118264246e-05
0.136156133795974,0.0457140974662096,1,"Yes",10.1711852353261,4,0.0376407324144998,-0.0775828096051231,12.7327882959636,5,0.0260157417432087
0.244823796837058,0.0159370083894834,2,"No",55.2981657770915,4,2.81362747209211e-11,0.178781513181044,155.150707699461,5,1.06849249858053e-31
0.300246761457373,0.0251026559569945,2,"No",22.975514980695,4,0.000128060374849565,0.176702329898654,89.4160619439372,5,8.9120747197432e-18
0.0633491636936449,0.0280271450552514,1,"Yes",11.8482549487653,4,0.0185160857123662,-0.00768656955229927,15.5075643206559,5,0.00840010196763291
0.149751627198666,0.057050274969268,1,"Yes",5.23835413211585,4,0.263703372676285,-0.00962409511688744,9.66215821408626,5,0.0853937427919987
0.0978891817703076,0.0356465386741892,1,"Yes",11.5428440227054,4,0.0210951757834862,0.0233095830097548,19.5107380859814,5,0.00154335763353326
0.147028066442116,0.058887667423779,1,"Yes",0.165028819488438,4,0.996777286728053,0.0712403381221836,9.35665233365004,5,0.0956565718155188
0.26513944703115,0.0524288763292294,3,"No",7.12452980339427,4,0.12945192367667,-0.0495067055188418,36.384873874542,5,7.95460923667685e-07
0.325685848616022,0.0581424455248959,2,"No",1.93128134667634,4,0.748396441992317,0.322986661588286,16.0462261540552,5,0.00671332796079132
0.18913392569192,0.0571199176719854,2,"No",1.09223950955348,4,0.89550153212629,0.16016984774705,15.7838311302487,5,0.00748912603569531
0.253417151857872,0.0359972623348863,2,"No",1.91085804899316,4,0.752150076398757,0.227550715464197,31.6996289477387,5,6.81290648597514e-06
0.163661475832837,0.036858083501776,1,"Yes",22.4227951234856,4,0.000165088672430044,0.0969795174689293,28.3248165756122,5,3.1445180225352e-05
0.222895277978392,0.0547977092541714,2,"No",4.93497120898238,4,0.294035172970375,-0.161468348250891,18.8299688795386,5,0.00206744160726263
0.199700502682537,0.0414701608121275,2,"No",18.8554547260749,4,0.000839034265028521,0.23388507958788,40.4529261505158,5,1.21002681400966e-07
