"alpha","omega","g","replication"
0.670862372833916,0.682478910619845,"1",FALSE
0.540264206375197,0.568095933727744,"1",FALSE
0.63372950056889,0.646979745442889,"1",FALSE
0.824861494856483,0.828334077039711,"1",FALSE
0.762201732345695,0.764737876997784,"1",FALSE
0.57425645510323,0.581011077994977,"1",FALSE
0.798417830574717,0.804098159387077,"1",FALSE
0.783350845803944,0.78416826818124,"1",FALSE
0.69421422215391,0.701903254354028,"1",FALSE
0.751247325057398,0.752768968943814,"1",FALSE
0.71239461129229,0.716287913096909,"1",FALSE
0.776579726410255,0.778097679127808,"1",FALSE
0.762190754684011,0.7673366034184,"1",FALSE
0.765342258495626,0.776499124487261,"1",FALSE
0.860891986383893,0.864728054731253,"1",FALSE
0.770445173456177,0.774074847615181,"1",FALSE
0.79189980547887,0.80267028674017,"1",FALSE
0.762726916493496,0.770139051969241,"1",FALSE
0.639720045219229,0.649501381753561,"1",FALSE
0.68501833106706,0.700463166395164,"1",FALSE
0.699269004250834,0.715562562595299,"1",FALSE
0.773307534469614,0.779254873780304,"1",FALSE
0.606201229401197,0.619809824102992,"1",FALSE
0.722871894572149,0.726578009730514,"1",FALSE
0.719405939623437,0.723888047596806,"1",FALSE
0.751502109442334,0.758518119611734,"1",FALSE
0.767467388833218,0.773021999486745,"1",FALSE
0.786467662486231,0.791815949762174,"1",FALSE
0.75231632508717,0.764300665550541,"1",FALSE
0.758919941518485,0.764062145361998,"1",FALSE
0.748299389723586,0.75284596651008,"1",FALSE
0.717862845617074,0.72727739604688,"1",FALSE
0.652896562634314,0.663717707515569,"1",FALSE
0.754170896634614,0.768162294027457,"1",FALSE
0.814563352649132,0.817722974094425,"1",FALSE
0.747020859116424,0.760112223616159,"1",FALSE
0.839801279016686,0.84481319261127,"2",TRUE
0.863857662488446,0.864625726252066,"2",TRUE
0.716054648570049,0.72532300823152,"2",TRUE
0.808828991319099,0.816262447893168,"2",TRUE
0.877681940040306,0.880078501272319,"2",TRUE
0.814545041463948,0.816523554991556,"2",TRUE
0.857485344620882,0.858389160360842,"2",TRUE
0.844391886910667,0.846651924955988,"2",TRUE
0.67594245821983,0.682412667566037,"2",TRUE
0.866151129495588,0.867327462290022,"2",TRUE
0.835379504706569,0.83699210527016,"2",TRUE
0.809617034898786,0.811770398958212,"2",TRUE
0.847554419318313,0.848246561956692,"2",TRUE
0.83036352893712,0.833361254797845,"2",TRUE
0.85190031941235,0.853928729320545,"2",TRUE
0.850743757153069,0.852178919272572,"2",TRUE
0.779731037385288,0.782275362497828,"2",TRUE
0.830573579174224,0.832375865230851,"2",TRUE
0.810330964739647,0.813068945524731,"2",TRUE
0.855565031777132,0.856522748711386,"2",TRUE
0.854240749877311,0.855603728385713,"2",TRUE
0.842798562424887,0.846651574728441,"2",TRUE
0.767868010263424,0.769495964762732,"2",TRUE
