"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"sel_psychometric_evidence","factor",77,0,3,NA,NA,40,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,0.499241018721538,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence_text","character",0,1,1,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_1","logical",77,0,3,NA,NA,66,"TRUE",NA,0.244897959183674,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_2","logical",64,0.168831168831169,3,NA,NA,55,"TRUE",NA,0.24169921875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_3","logical",17,0.779220779220779,3,NA,NA,60,NA,NA,0.41522491349481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_4","logical",44,0.428571428571429,3,NA,NA,33,NA,NA,0.490702479338843,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_check","factor",77,0,4,NA,NA,52,"True",NA,0.490470568392646,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_1","logical",34,0.558441558441558,3,NA,NA,43,NA,NA,0.41522491349481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_2","logical",25,0.675324675324675,3,NA,NA,52,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_3","logical",44,0.428571428571429,3,NA,NA,33,NA,NA,0.49896694214876,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_4","logical",29,0.623376623376623,3,NA,NA,48,NA,NA,0.185493460166468,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_5","logical",26,0.662337662337662,3,NA,NA,51,NA,NA,0.20414201183432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_6","logical",22,0.714285714285714,3,NA,NA,55,NA,NA,0.483471074380165,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_time","factor",77,0,3,NA,NA,53,"Before",NA,0.429077416090403,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_1_REV","logical",77,0,3,NA,NA,75,"TRUE",NA,0.0505987518974531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_2_REV","logical",77,0,2,NA,NA,77,"TRUE",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_5_REV","logical",77,0,3,NA,NA,65,"TRUE",NA,0.263113509866757,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_1_REV","logical",77,0,3,NA,NA,74,"TRUE",NA,0.0748861528082307,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_3_REV","logical",34,0.558441558441558,3,NA,NA,43,NA,NA,0.250865051903114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence_REV","factor",77,0,4,NA,NA,43,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,0.524540394670265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence_text_REV","character",77,0,4,NA,NA,74,"",NA,0.0755608028335302,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_1_REV","logical",77,0,3,NA,NA,71,"TRUE",NA,0.143700455388767,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_2_REV","logical",73,0.051948051948052,3,NA,NA,66,"TRUE",NA,0.173390880090073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_3_REV","logical",18,0.766233766233766,3,NA,NA,59,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_check_REV","factor",77,0,3,NA,NA,42,"True",NA,0.495867768595041,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_1_REV","logical",19,0.753246753246753,2,NA,NA,58,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_2_REV","logical",7,0.909090909090909,3,NA,NA,70,NA,NA,0.244897959183674,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_3_REV","logical",27,0.649350649350649,3,NA,NA,50,NA,NA,0.0713305898491086,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_4_REV","logical",13,0.831168831168831,3,NA,NA,64,NA,NA,0.260355029585799,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_5_REV","logical",14,0.818181818181818,3,NA,NA,63,NA,NA,0.244897959183674,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_6_REV","logical",12,0.844155844155844,3,NA,NA,65,NA,NA,0.486111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inseperable_material","factor",77,0,3,NA,NA,42,"True",NA,0.495867768595041,NA,NA,NA,NA,NA,NA,NA,NA,NA
"def_count","numeric",77,0,2,0.480519480519481,0,0,NA,0.502896599458671,NA,0,1,1,0.0764671136839228,0.139585351535167,-2.01988120689419,-1.86521830265539,NA,NA
"def_total","numeric",77,0,2,0.909090909090909,1,1,NA,0.289364920846097,NA,0,1,1,-2.79078776349972,-5.09438727657973,5.86517119244392,5.41607329134706,NA,NA
"def_ratio","numeric",77,0,2,0.429499072356215,0.00649350649350649,0.00649350649350649,NA,0.491647705381874,NA,0.00649350649350649,0.993506493506494,0.987012987012987,0.283069890977443,0.516724227416672,-1.94462247709001,-1.79572215615616,NA,NA
"op_count","numeric",77,0,4,4.22077922077922,4,4,NA,0.788459133930435,NA,2,5,3,-0.718608761079664,-1.31176987987511,-0.145293860542279,-0.134168666465104,NA,NA
"op_total","numeric",77,0,2,4.97402597402597,5,5,NA,0.160100788487652,NA,4,5,1,-5.84469067222868,-10.6690727921235,32.5840827570697,30.0891098576907,NA,NA
"op_ratio","numeric",77,0,5,0.156468207117558,0.203896103896104,0.203896103896104,NA,0.151357377958051,NA,0.00649350649350649,0.598701298701299,0.592207792207792,0.757834104525278,1.3833729925096,0.102064712490956,0.0942495871260226,NA,NA
"sel_count","numeric",77,0,4,1.79220779220779,2,2,NA,0.521578130032267,NA,0,3,3,-0.770719731998497,-1.40689480148012,1.12403107487319,1.03796368145362,NA,NA
"sel_total","numeric",77,0,3,2.94805194805195,2,2,NA,0.998632010303462,NA,2,4,2,0.102009852624443,0.186211829538784,-2.00237416468913,-1.84905177987435,NA,NA
"sel_ratio","numeric",77,0,6,0.308792511384719,0.335464935064935,0.335464935064935,NA,0.301159767072396,NA,0.00649350649350649,0.993506493506494,0.987012987012987,0.255065502706774,0.46560418125609,-1.44169446915249,-1.33130349523626,NA,NA
"quant_count","numeric",77,0,5,1.96103896103896,2,2,NA,0.801996824405684,NA,0,4,4,0.21949084511987,0.400665139545467,0.450395296055172,0.41590839439698,NA,NA
"quant_total","numeric",77,0,4,2.62337662337662,2,2,NA,0.85899208131515,NA,1,4,3,0.419517817252137,0.765800344425941,-0.98273497107549,-0.907486662311193,NA,NA
"quant_ratio","numeric",77,0,7,0.207313476134255,0.00649350649350649,0.00649350649350649,NA,0.287568497085435,NA,0.00649350649350649,0.993506493506494,0.987012987012987,1.06022376295569,1.93536410004741,-0.191737770883818,-0.177056352790541,NA,NA
"mod_count","numeric",77,0,5,1.1038961038961,1,1,NA,1.15376290075944,NA,0,4,4,0.814983378180858,1.48769498230206,-0.131554760281014,-0.121481573193548,NA,NA
"mod_total","numeric",77,0,7,2.33766233766234,3,3,NA,1.93043756704883,NA,0,6,6,0.0435730926640896,0.0795396238196205,-1.36847290333078,-1.263688526468,NA,NA
"mod_ratio","numeric",52,0.324675324675325,10,0.549983394970414,0.5,0.5,NA,0.253907404869507,NA,0.00961538461538462,0.990384615384615,0.980769230769231,-0.341875268766808,-0.517344201863248,0.138958810804259,0.106876060992456,NA,NA
"MP_total","numeric",77,0,11,13.7922077922078,14,14,NA,2.76413907001069,NA,9,19,10,-0.0414034482569598,-0.0755790901642329,-0.921813475148508,-0.851229943430742,NA,NA
"MP_count","numeric",77,0,10,9.55844155844156,10,10,NA,2.0032441221646,NA,5,15,10,-0.011893520929299,-0.021710788075111,-0.0812542209677458,-0.0750325611227807,NA,NA
"QMP_ratio","numeric",77,0,33,0.288103693708888,0.26972987012987,0.26972987012987,NA,0.172012232822643,NA,0.00649350649350649,0.685064935064935,0.678571428571429,0.239444353489852,0.437088869250978,-0.647607215200532,-0.598019738289981,NA,NA
"op_REV_count","numeric",77,0,3,4.67532467532468,5,5,NA,0.594748032486258,NA,3,5,2,-1.61613063071116,-2.95013308789238,1.47787817819978,1.36471660692946,NA,NA
"op_REV_total","numeric",77,0,1,5,5,5,NA,0,NA,5,5,0,NA,NA,NA,NA,NA,NA
"op_REV_ratio","numeric",77,0,3,0.0705852588969472,0.00649350649350649,0.00649350649350649,NA,0.117404806412872,NA,0.00649350649350649,0.401298701298701,0.394805194805195,1.61613063071116,2.95013308789239,1.47787817819978,1.36471660692946,NA,NA
"sel_REV_count","numeric",77,0,4,1.96103896103896,2,2,NA,0.471323959477824,NA,1,4,3,0.617443673587986,1.12710010982231,4.79548472945636,4.42829303869797,NA,NA
"sel_REV_total","numeric",77,0,3,2.92207792207792,3,3,NA,0.956504515716,NA,2,4,2,0.152720117000724,0.278779859615912,-1.9035074759026,-1.75775534282738,NA,NA
"sel_REV_ratio","numeric",77,0,6,0.257517827626919,0.253246753246753,0.253246753246753,NA,0.267489516615044,NA,0.00649350649350649,0.746753246753247,0.74025974025974,0.348433583497647,0.636041062569919,-1.4646917964609,-1.35253991035879,NA,NA
"quant_REV_count","numeric",77,0,4,2.22077922077922,2,2,NA,0.661405533362507,NA,1,4,3,0.545393695903989,0.995577930174036,0.553558668528103,0.511172516783681,NA,NA
"quant_REV_total","numeric",77,0,4,2.75324675324675,3,3,NA,0.829645519671919,NA,1,4,3,0.338428077656944,0.617776713586714,-1.23764264936194,-1.14287598392301,NA,NA
"quant_REV_ratio","numeric",77,0,6,0.158174329566537,0.00649350649350649,0.00649350649350649,NA,0.221291737925503,NA,0.00649350649350649,0.746753246753247,0.74025974025974,1.09205687299867,1.99347320920215,-0.131359876889943,-0.121301612081642,NA,NA
"mod_REV_count","numeric",77,0,5,1.05194805194805,1,1,NA,1.17983165498642,NA,0,4,4,0.707754122835005,1.29195549925875,-0.575824917717237,-0.531733832655775,NA,NA
"mod_REV_total","numeric",77,0,5,1.19480519480519,1,1,NA,1.29816632864004,NA,0,4,4,0.674248880668908,1.23079403022048,-0.689687892235261,-0.636878285379488,NA,NA
"mod_REV_ratio","numeric",42,0.454545454545455,6,0.122304931972789,0.0119047619047619,0.0119047619047619,NA,0.240260468095689,NA,0.0119047619047619,0.988095238095238,0.976190476190476,2.40281833883123,3.28828327724013,5.40714817918233,3.77260762232408,NA,NA
"MP_REV_count","numeric",77,0,8,10.3896103896104,10,10,NA,1.76333896908412,NA,7,14,7,0.145050871640901,0.264780190241894,-0.442984688569865,-0.409065219328955,NA,NA
"MP_REV_total","numeric",77,0,9,12.7792207792208,13,13,NA,2.13136586194329,NA,9,17,8,0.0194473450351994,0.0354997640473874,-1.03105215030952,-0.952104180773365,NA,NA
"QMP_REV_ratio","numeric",77,0,29,0.178965694046214,0.158296103896104,0.158296103896104,NA,0.13611439518652,NA,0.00649350649350649,0.5,0.493506493506494,0.61151802233113,1.11628324916268,-0.379619650767178,-0.350552061300344,NA,NA
"reliability_reported","logical",35,0.545454545454545,3,NA,NA,42,NA,NA,0.202448979591837,NA,NA,NA,NA,NA,NA,NA,NA,NA
