"RMSEA","RMSEA_se","CFI","SRMR","fit_chisq","fit_df","fit_pvalue","N_factors","unidimensional_check_count","Tau_chisq_diff","Tau_Df_diff","Tau_p_diff","mean_spec","err_chisq_diff","err_Df_diff","err_p_diff"
0,0.0650887142072648,1,0.0548233609038243,7.26458857297298,9,0.609593023451893,1,4,11.379244960876,5,0.0443581035679927,-0.0381767579014152,13.5109696713693,5,0.0190331479793993
0.0238217336048332,0.0405943320464769,0.980005773947644,0.0458559710874268,9.88866583737748,9,0.359573384113838,0,3,19.1436362599216,5,0.00180723865503629,0.109601260669639,24.5549399246952,5,0.000169785865739681
0,0.0395642827789197,1,0.0343191099925455,5.31161768320231,9,0.806341838474385,1,4,20.9602295798044,5,0.00082419449074405,0.0918434801066773,17.1631314187859,5,0.00420058263378823
0,0.0613646082137167,1,0.0523545418441243,7.46197190823624,9,0.589137065055373,0,3,4.48352261505134,5,0.482091078339662,0.00338267362731192,10.310049301188,5,0.0669119374194565
