"RMSEA","RMSEA_se","CFI","SRMR","fit_chisq","fit_df","fit_pvalue","N_factors","unidimensional_check_count","Tau_chisq_diff","Tau_Df_diff","Tau_p_diff","mean_spec","err_chisq_diff","err_Df_diff","err_p_diff"
0.0973094062666629,0.00752625049592996,0.38231641574077,0.113951691081938,400.194320521162,170,0,4,1,152.96360361006,19,5.86676831592788e-23,-0.341158422172501,144.827398074862,5,1.68340897094377e-29
0.117645235321133,0.0151058386957754,0.424310841074989,0.134187719220201,275.8790706623,170,5.05229828640097e-07,2,1,63.5247709613127,19,1.05820764604228e-06,0.129232202048284,76.5538245105606,5,4.40780861175446e-15
0.108757779349267,0.0108325998734217,0.676860360731428,0.0993379581399891,324.831852307997,170,8.84481377028123e-12,3,1,76.7731938248461,19,6.6485193359134e-09,0.488556478819277,77.958523163155,5,2.24253280714114e-15
0.0950640142266239,0.00731724425674828,0.682133903050468,0.0853371588734801,401.984071778583,170,0,3,1,114.475854150904,19,1.18554781153416e-15,0.460199694546314,205.326103533724,5,2.05976661506953e-42
0.159386708454318,0.0143297464092631,0.531035205285501,0.130909014792576,351.385437019779,170,1.0325074129014e-14,2,1,NA,19,NA,0.570865550333692,69.5958174994893,5,1.24375967165782e-13
0.0979302814295652,0.00955626334652179,0.671303899270007,0.0976746473389047,329.775064747758,170,2.61612953522672e-12,5,1,56.2863226019177,19,1.47379239718321e-05,0.345036076229929,112.231832550521,5,1.38266310590992e-22
0.0716793208609043,0.00733790381224038,0.728577341287851,0.0775037269111514,318.486033629425,170,4.11003453493208e-11,3,3,75.7907458779667,19,9.77234468447746e-09,0.25761140564277,158.131183593616,5,2.47632562912731e-32
0.0861891814467799,0.00911039233010356,0.773171434272252,0.0833477791097476,311.440067970792,170,2.17895923526612e-10,3,1,164.666497620836,19,3.13016430931924e-25,0.420384411523245,96.6881218955537,5,2.63465452822002e-19
0.124250633953714,0.0148137847238548,0.547806349344018,0.123366151241177,288.102383289934,170,4.02784633424247e-08,1,2,31.7042014865971,19,0.0337363851462441,0.44402469309207,80.2591477686592,5,7.40692810844734e-16
0.0793267164435417,0.0115965119376491,0.689098969351339,0.0957792650025869,257.720627507494,170,1.61654428476599e-05,3,2,18.1920306992291,19,0.509647073259354,0.250637837452267,58.5380713569584,5,2.43588540956675e-11
0.0991355715231473,0.00939740073629282,0.599551809594175,0.0996654924469302,337.073646200758,170,4.18998169493534e-13,2,1,76.5750975203711,19,7.18619671614651e-09,0.513019797618803,117.491575145901,5,1.06634744490659e-23
0.111409966337548,0.00755942733449895,0.727204239150967,0.0938457265449661,454.859544754705,170,0,4,1,341.55571927314,19,5.66509451739073e-61,0.490036471299377,1092.01374025247,5,7.17104979911473e-234
0.102284498885688,0.00949699519430206,0.787892917865034,0.0799647132570215,342.520337565765,170,1.0413891970984e-13,1,3,191.57489327626,19,1.60116038867015e-30,0.499354880768636,109.549173017531,5,5.10234377350517e-22
0.0724196295392487,0.00933934725971942,0.762214176165765,0.0812778858308766,275.206731016597,170,5.78086923774812e-07,1,3,66.1332595837729,19,3.99095884466674e-07,0.409183365763496,94.5063570071488,5,7.58450927142191e-19
0.109691956506016,0.010713881440745,0.5526951443427,0.114546869729001,329.54863377128,170,2.76745293348313e-12,4,1,287.506131316138,19,7.21507167913408e-50,0.499072615996378,201.388663279859,5,1.43328325310252e-41
0.0883616341694951,0.00715941252564844,0.62958207520018,0.0844456624685802,383.698894619248,170,0,6,1,43.0226529391854,19,0.00128708539764241,0.390670039385165,137.41742098106,5,6.33160635629233e-28
0.0848928858849569,0.0111142316616237,0.743677934437204,0.0861195623616613,272.913133614954,170,9.1205307972686e-07,1,2,39.4396120870667,19,0.00387354496916322,0.403428506155089,53.0414770854408,5,3.2980409258704e-10
0.0752307875324936,0.0120520096346473,0.517912986956651,0.103082207714656,246.971530941525,170,0.000105034505147428,3,2,1382.14764303704,19,8.61319727936201e-282,0.117881978377263,NA,5,NA
0.107339196335739,0.00924776074989656,0.708245926878668,0.0902091091098584,363.910262668138,170,3.33066907387547e-16,4,1,134.558561591235,19,1.99061383862813e-19,0.491886638632326,83.204949719825,5,1.79011043905419e-16
0.0825817053984421,0.0103224677769614,0.764334518793675,0.0866888701508546,280.138769774219,170,2.12867687032769e-07,1,2,169.88866467192,19,2.98778996439605e-26,0.42090009847568,67.398906803268,5,3.56036968621069e-13
