"RMSEA","RMSEA_se","CFI","SRMR","fit_chisq","fit_df","fit_pvalue","N_factors","unidimensional_check_count","Tau_chisq_diff","Tau_Df_diff","Tau_p_diff","mean_spec","err_chisq_diff","err_Df_diff","err_p_diff"
0.0805356800680159,0.0970685027543903,0.972069824645024,0.0788710500842257,6.36205911044374,5,0.272565449491595,1,3,17.1594950398185,4,0.00179977021027212,0.298358066657194,14.6856645592631,5,0.0117933707384987
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.046721021632534,1,0.0300624922684322,1.45155069119027,5,0.918592220151352,1,4,6.62184588442088,4,0.157273190125985,-0.0317573091511926,7.74346961512224,5,0.170951736449884
0,0.059059961828801,1,0.0336616750942456,3.95655111300023,5,0.555688376350237,1,4,43.9105960342801,4,6.69604182939932e-09,0.252186523071983,40.6275374039801,5,1.11570575566826e-07
0.0585323743230987,0.0819492811913088,0.947732160262883,0.0779617357580817,6.0620720416088,5,0.300225819855713,1,4,10.8433309421092,4,0.0283823454036934,0.0695219174141116,16.9370976787637,5,0.00462065089497183
0,0.0403267080584042,1,0.0178020604316069,3.4111911418299,5,0.636866051550416,1,4,242.983276553648,4,2.11328632229524e-51,0.313840463129937,142.912285147982,5,4.30030320010681e-29
0.0733780001674318,0.0714277454481425,0.909960710351038,0.0720312262120547,6.93835912708578,5,0.225265134077575,2,3,10.6880746477028,4,0.0303025941019655,-0.0621933362562238,15.435238275637,5,0.00865585493612353
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.150024476193193,0.0733794602987474,0.841408857241929,0.0930073436650886,11.0769827334014,5,0.049874826926407,2,1,10.5209401779469,4,0.0325097637204762,0.125236810994585,18.2150151679626,5,0.00268865833653149
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.0884279505160295,1,0.0399543839303977,3.96595994487814,5,0.554327251482288,1,4,12.6702669595688,4,0.0130045254481379,0.140697197474888,11.7375999929765,5,0.0385656446178463
0.0763539432153387,0.0627059829733607,0.951885304812437,0.0586332766717304,7.56516684359372,5,0.181884527177286,1,4,41.661846256084,4,1.96027559432602e-08,-0.0880824150210016,31.8870034999281,5,6.25533367963086e-06
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0948463046684962,0.049048827134533,0.804468483283344,0.0648013470380773,10.5324302282006,5,0.0614803965610023,0,1,8.63417865920603,4,0.070922801629873,0.211425683952544,11.4298329047561,5,0.0434931475448545
0,0.0745008636031207,1,0.0358433307926499,2.85288158941971,5,0.722654626911243,1,4,21.0926464205471,4,0.000303552445296127,0.285845425510759,20.8268682322881,5,0.000873389213012486
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0338844598046446,0.102083321652748,0.981856251760225,0.0872040029685608,5.28703915406314,5,0.38186290496923,2,2,9.6815490667951,4,0.0461475632641995,0.0947465315235548,11.1834596128412,5,0.047861437050804
0.0615513448838295,0.0634904784418543,0.919774300605382,0.0594715203253001,6.76168414650878,5,0.238976004452268,0,3,11.0391220214062,4,0.0261278373818196,0.217592398117624,15.8076167996288,5,0.00741534967421973
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
