"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"QMP_ratio","numeric",829,0.102813852813853,67,0.353703904147722,0.288483116883117,0.288483116883117,NA,0.337595961345862,NA,0.00649350649350649,0.993506493506494,0.987012987012987,0.578647188088653,3.4069774306454,-0.894354491271306,-2.63605180267253,NA,NA
"QMP_ratio_1","numeric",829,0.102813852813853,86,0.880845038043983,1.00649350649351,1.00649350649351,NA,0.563756008042481,NA,0.00649350649350649,1.99350649350649,1.98701298701299,0.00200903427389665,0.0118288562866226,-0.834119003086551,-2.45851161165881,NA,NA
"QMP_type","factor",924,0,7,NA,NA,154,"Definition",NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QMP_ratio_REV","numeric",820,0.112554112554113,54,0.244249269084574,0.105194805194805,0.105194805194805,NA,0.296375427674279,NA,0.00649350649350649,0.993506493506494,0.987012987012987,1.15555541404305,6.76681692288002,0.363122049527971,1.06448794730591,NA,NA
"RepOrg","factor",924,0,3,NA,NA,462,"Original",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QMP_ratio_1_REV","numeric",820,0.112554112554113,75,0.764980976401647,1.00649350649351,1.00649350649351,NA,0.549016481443968,NA,0.00649350649350649,1.99350649350649,1.98701298701299,0.163668095276645,0.958423995417564,-0.750757029873949,-2.20083525826884,NA,NA
