"RMSEA","RMSEA_se","N_factors","unidimensional","Tau_chisq_diff","Tau_Df_diff","Tau_p_diff","mean_spec","err_chisq_diff","err_Df_diff","err_p_diff"
0.0819127214522172,0.0630905799471214,1,"Yes",4.97361590118849,4,0.29001539817861,-0.0728587553138011,10.9471940050545,5,0.0524370815305513
0.121100857819476,0.0486123862746462,1,"Yes",9.774454928987,4,0.0444032640878357,-0.0614053830352624,19.0040442896074,5,0.00191880567117972
0.149790045901433,0.0829101919469993,1,"Yes",10.3899450668652,4,0.0343472111778193,-0.291402670096882,16.7034871939889,5,0.00509786446241952
0,0.0463983557893406,1,"Yes",12.3408250123402,4,0.014988840506819,0.189404412069102,14.0566560872286,5,0.0152535062067078
0,0.0157035273372626,1,"Yes",8.34291468408865,4,0.0797943316579396,0.185150917857503,10.0189943845562,5,0.0746988342084715
0,0.0654005376373632,1,"Yes",8.80051982182065,4,0.0662835964222299,0.197859378440478,10.1250688408703,5,0.0717680526216518
0.0932112778591538,0.0485104349381955,1,"Yes",23.9386076973033,4,8.21701446432092e-05,0.197320524099335,24.3090012925442,5,0.000189348443822884
0,0.0263326081343484,1,"Yes",13.9522455371148,4,0.00744903828809327,0.150005679950856,8.32171540810112,5,0.139373915642544
0.140558640027815,0.0405684855797462,1,"Yes",10.5750691684624,4,0.031778492695322,0.116939220742284,22.9790107873553,5,0.000340699150116022
0.0814009925837781,0.0562445377283819,1,"Yes",4.4737689751129,4,0.34566914204334,0.00875998224892063,12.5423121087916,5,0.0280669226512438
0.207783127247077,0.0459181470624014,2,"No",1.80256079032911,4,0.772013807493003,0.134511542865454,18.8088743011082,5,0.00208620386002272
0.13796696827287,0.0427692184037031,1,"Yes",9.6486746387851,4,0.0467803474130746,-0.0622453977079305,21.8080763578313,5,0.000569457269455743
0.0951935231782848,0.0395483263790793,1,"Yes",3.00744208555935,4,0.556580758393333,0.115503391451319,9.92778570107473,5,0.0773074565029054
0.124875386540343,0.0476572909768414,1,"Yes",26.9514399142587,4,2.03333696389963e-05,0.0620652130010129,31.1471919662909,5,8.76080017954697e-06
0.0939510991073934,0.0336183749695774,1,"Yes",20.9550363852775,4,0.00032323594859021,0.0241975584095189,33.3483800390406,5,3.20904951316489e-06
0.165340314510967,0.0423092497540278,1,"Yes",14.6593859007508,4,0.00546240365865621,-0.0068257098973356,20.3252746314027,5,0.00108569476771631
0.0726244781663334,0.0629459802842879,1,"Yes",1.55683848577799,4,0.816527784032502,-0.0144543371932219,4.52806102590588,5,0.476137771053192
0.165578035786083,0.0577924887733428,1,"Yes",25.4448406174978,4,4.09405601885233e-05,0.122230598861759,32.9157744351954,5,3.9111676445354e-06
0.048193649314199,0.0426878875776201,1,"Yes",16.3744340170963,4,0.00255576433793288,-0.199507905215831,16.4336930462193,5,0.00570900297379879
0,0.0823756986000261,1,"Yes",7.83415137780689,4,0.0978458784351677,0.213059945864862,10.2936256311021,5,0.0673303608786927
