"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"sel_ratio","numeric",154,0,6,0.472943506493506,0.5,0.5,NA,0.360782126045483,NA,0,1,1,0.00724732235540509,0.0185354592702871,-1.25848623118496,-1.61927166583726,NA,NA
"quant_count","numeric",154,0,5,1.94155844155844,2,2,NA,0.930507016104542,NA,0,4,4,0.114905142552079,0.293876756859332,0.236133198889983,0.303828352548631,NA,NA
"quant_total","numeric",154,0,4,2.72077922077922,2.5,2.5,NA,0.896593066785897,NA,1,4,3,0.246671238814194,0.630876408689315,-1.20023716584267,-1.54432363801381,NA,NA
"quant_ratio","numeric",154,0,7,0.232140909090909,0,0,NA,0.317426550119452,NA,0,1,1,1.08043919753011,2.76328770237538,-0.06052680523766,-0.0778787549012034,NA,NA
"mod_count","numeric",154,0,5,0.571428571428571,0,0,NA,0.989204095842019,NA,0,4,4,1.73488481453872,4.43707140948949,2.3381703835843,3.00848190327276,NA,NA
"mod_total","numeric",154,0,7,1.31818181818182,0,0,NA,1.8566416566575,NA,0,6,6,0.976657651995406,2.4978602084774,-0.538738511006325,-0.693185181173176,NA,NA
"mod_ratio","numeric",59,0.616883116883117,10,0.590115254237288,0.6,0.6,NA,0.273919252394318,NA,0,1,1,-0.304322970843516,-0.488987783573602,-0.126963222370022,-0.103515549914105,NA,NA
"MP_total","numeric",154,0,13,12.8896103896104,13,13,NA,2.65822607396051,NA,8,20,12,0.346132509681447,0.885254542394934,-0.533459655061113,-0.686392971891656,NA,NA
"MP_count","numeric",154,0,14,8.07792207792208,8.5,8.5,NA,2.70688414931449,NA,1,15,14,-0.252793741481296,-0.646535074504512,-0.400354050154724,-0.515128376977415,NA,NA
"QMP_ratio","numeric",154,0,53,0.363263636363636,0.3333,0.3333,NA,0.204497032216566,NA,0,0.9231,0.9231,0.369859819155257,0.945938551850826,-0.439565031771222,-0.565580443871684,NA,NA
"op_REV_count","numeric",154,0,5,4.04545454545455,4,4,NA,1.06237438529065,NA,1,5,4,-0.869539330972374,-2.22389871220931,-0.145059434551205,-0.186645373155948,NA,NA
"op_REV_total","numeric",154,0,1,5,5,5,NA,0,NA,5,5,0,NA,NA,NA,NA,NA,NA
"op_REV_ratio","numeric",154,0,5,0.190909090909091,0.2,0.2,NA,0.21247487705813,NA,0,0.8,0.8,0.869539330972373,2.22389871220931,-0.145059434551207,-0.186645373155951,NA,NA
"sel_REV_count","numeric",154,0,5,1.81818181818182,2,2,NA,0.727198451346754,NA,0,4,4,0.895921793255795,2.2913734333716,1.74555581258672,2.2459753618423,NA,NA
"sel_REV_total","numeric",154,0,3,2.93506493506493,3,3,NA,0.954352428533286,NA,2,4,2,0.128406876371358,0.328408246561713,-1.8967676185522,-2.44053688096948,NA,NA
"sel_REV_ratio","numeric",154,0,7,0.325757142857143,0.5,0.5,NA,0.289047776284112,NA,0,1,1,0.0554364303766834,0.141781977804641,-1.45672277211655,-1.87433906817337,NA,NA
"quant_REV_count","numeric",154,0,5,2.16233766233766,2,2,NA,0.804162205378495,NA,0,4,4,0.226700588737315,0.579800279748387,0.594007173628659,0.764298378262983,NA,NA
"quant_REV_total","numeric",154,0,4,2.77272727272727,3,3,NA,0.874644482567245,NA,1,4,3,0.219439759837146,0.561230276684119,-1.25941669089186,-1.62046887165664,NA,NA
"quant_REV_ratio","numeric",154,0,7,0.175321428571429,0,0,NA,0.259384616121116,NA,0,1,1,1.28249703710671,3.28006268105714,0.702918491938183,0.904432618477547,NA,NA
"mod_REV_count","numeric",154,0,5,0.61038961038961,0,0,NA,1.01177181229405,NA,0,4,4,1.46814968576725,3.75488040530282,1.18110676306592,1.51970889181729,NA,NA
"mod_REV_total","numeric",154,0,5,0.688311688311688,0,0,NA,1.11741695905574,NA,0,4,4,1.43949192263847,3.68158646649313,1.04344316166102,1.34257960454476,NA,NA
"mod_REV_ratio","numeric",50,0.675324675324675,6,0.104998,0,0,NA,0.235586011408633,NA,0,1,1,2.47558156274252,3.67732672550139,5.898659980956,4.45579796847692,NA,NA
"MP_REV_count","numeric",154,0,11,9.23376623376623,9,9,NA,2.30030463396666,NA,4,14,10,-0.115087799911512,-0.294343913952693,-0.351055175297566,-0.451696398751726,NA,NA
"MP_REV_total","numeric",154,0,9,12.3051948051948,12,12,NA,2.12771294588898,NA,9,17,8,0.19983570245317,0.511091730424748,-1.05191011271851,-1.35347387863667,NA,NA
"QMP_REV_ratio","numeric",154,0,44,0.241127272727273,0.2143,0.2143,NA,0.171864162911198,NA,0,0.7143,0.7143,0.668020806256701,1.70850306345775,-0.180401341746375,-0.232119171374546,NA,NA
"reliability_reported","logical",73,0.525974025974026,3,NA,NA,81,NA,NA,0.357290298367424,NA,NA,NA,NA,NA,NA,NA,NA,NA
