"ResponseId","Location","HAPPY","ANGRY","GENERAL ACTION","SPECIFIC ACTION","ACTION","SUM of ACTIONs","INACTION","NEUTRAL","Not FOUND","Blank","SAT1","SAT2","SAT3","SAT4","SAT5","SAT6","SAT7","SAT8","SAT9","SAT10","SAT11","SAT12","SAT13","SAT14","SAT15","SAT16","SAT17","SAT18","SAT19","SAT20","SAT21","SATTotal","Condition"
"R_1f33Y1UzSIVDwA5","Wesleyan",3,7,1,6,5,12,8,17,3,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,10,"inaction"
"R_1ff23VWoZAklNel","Toronto",4,1,2,5,5,12,9,13,5,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,6,"action"
"R_1FKFMdLllnTHKPZ","Illinois",7,1,0,1,7,8,6,18,8,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,7,"inaction"
"R_1Fmj8wiFEPQhEks","Illinois",3,2,3,0,6,9,8,16,6,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,8,"action"
"R_1FmkXjKooH8Cncb","Wesleyan",3,5,3,3,6,12,11,15,2,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,12,"action"
"R_1FP0baXiaV9Bfrs","Wesleyan",4,3,2,1,4,7,7,22,4,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,14,"inaction"
"R_1FSeDapeHStOicB","Oregon",5,3,1,0,1,2,6,13,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,"action"
"R_1g5BzPOwstAakPQ","Wesleyan",9,1,1,1,7,9,6,10,12,3,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,12,"inaction"
"R_1g7aB4VzVzk3ixH","Illinois",3,4,3,3,5,11,11,14,4,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,9,"action"
"R_1gApuFmWdy2fPvQ","Oregon",6,3,1,2,4,7,8,22,3,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,10,"inaction"
"R_1GBVGm00GuX7JR5","Oregon",6,4,0,4,1,5,6,20,4,5,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,13,"inaction"
"R_1gLSKUKrgPMafVv","Toronto",9,2,2,3,3,8,7,17,3,5,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,10,"inaction"
"R_1gO178JDLX2uWBU","Illinois",5,2,2,3,7,12,6,17,5,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,9,"action"
"R_1gqHNU4tTeeFm3t","Wesleyan",5,5,1,4,5,10,5,23,2,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,16,"inaction"
"R_1gvhVX6r5MMnQN5","Wesleyan",5,2,1,4,4,9,4,23,4,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,12,"action"
"R_1GvJ5Jm7Reawoo8","Illinois",6,2,1,1,5,7,8,20,2,3,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,13,"inaction"
"R_1GykhHEp53ngpPV","Wesleyan",6,1,2,4,6,12,6,20,2,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,15,"action"
"R_1HdTYw64vNbFcwS","Wesleyan",4,1,2,3,5,10,8,18,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,5,"inaction"
"R_1HiuLR34J1yTRNK","Illinois",6,2,1,4,5,10,4,23,3,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,16,"action"
"R_1HjezmuYazkMlIg","Wesleyan",4,1,0,5,4,9,12,14,5,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,14,"inaction"
"R_1hLK5nHkYgAxBja","Illinois",4,2,2,1,4,7,6,18,9,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,13,"action"
"R_1i3rR5PS8CuLLFq","Oregon",6,1,1,3,4,8,7,18,7,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,10,"action"
