"Site","ID","ID2","gender","child_parent","age","age_.year","age_.month","age_.days","age_days","age_months","snake_experience","fear_snake","zoo","protocol","target_stimulus","order","stimulus_1","stimulus_2","stimulus_3","stimulus_4","stimulus_5","stimulus_6","stimulus_7","stimulus_8","stimulus_9","stimulus_10","stimulus_11","stimulus_12","stimulus_13","stimulus_14","stimulus_15","stimulus_16","stimulus_17","stimulus_18","stimulus_19","stimulus_20","stimulus_21","stimulus_22","stimulus_23","stimulus_24","RT.correct","number_errors"
"BG","NP129DCS  ","1NP129DCS   ","male","child","5y-10m-8d    ",5,10,8,2138.625,70.2628336755647,"yes","yes",1,"NP","other",1,2.84,6.162,1.716,1.638,2.309,1.95,2.903,2.932,1.919,3.323,2.465,2.839,3.26,1.311,2.512,1.7,1.685,2.293,1.404,1.544,1.513,1.498,1.206,1.716,2.31,1
"BG","NP129RCS  ","1NP129RCS   ","female","parent","25y-7m-19d   ",25,7,19,9363.3125,307.624229979466,"yes","yes",NA,"NP","other",1,4.649,1.498,1.202,3.276,1.17,1.217,1.092,1.06,1.154,1.185,0.92,2.091,1.217,0.999,1.045,1.326,1.638,1.155,1.388,0.999,1.591,1.014,2.808,0.92,1.526,0
"BG","NP130DSC  ","1NP130DSC   ","male","child","5y-7m-9d     ",5,7,9,2048.3125,67.2956878850103,"no","unknown",1,"NP","snake",2,3.339,2.246,6.832,2.106,2.184,1.966,1.997,2.387,4.056,1.56,1.856,2.403,1.981,2.464,2.574,6.537,2.763,2.2,1.716,2.309,1.762,2.371,17.918,1.747,3.303,0
"BG","NP130RSC  ","1NP130RSC   ","female","parent","39y-5m-27d   ",39,5,27,14423.9375,473.887063655031,"no","yes",NA,"NP","snake",2,2.153,3.822,1.888,2.075,1.996,2.715,1.528,1.888,1.763,3.261,1.95,1.934,1.747,1.451,1.591,2.839,1.435,2.699,1.576,2.044,2.558,1.623,1.997,1.856,2.1,0
"BG","NP131DCS  ","1NP131DCS   ","female","child","5y-10m-10d   ",5,10,10,2140.625,70.3285420944559,"no","unknown",1,"NP","other",1,4.212,3.449,3.479,3.12,2.652,7.285,4.649,2.777,23.634,4.027,2.324,4.306,3.775,4.539,1.965,2.59,2.933,2.403,3.26,3.447,3.011,2.215,2.404,3.806,4.261,0
"BG","NP131RCS  ","1NP131RCS   ","male","parent","40y-9m-11d   ",40,9,11,14894.9375,489.361396303901,"yes","yes",NA,"NP","other",1,3.167,3.105,1.825,1.888,1.56,2.574,1.529,1.888,1.638,1.919,1.435,2.262,1.342,1.388,1.217,2.558,2.637,1.81,2.122,1.576,1.497,1.357,1.435,2.106,1.91,0
"BG","NP132DSC  ","1NP132DSC   ","male","child","5y-8m-16d    ",5,8,16,2085.75,68.5256673511294,"no","no",1,"NP","snake",2,14.54,5.102,10.436,1.841,1.623,4.586,3.291,1.7,2.652,1.279,1.794,3.479,3.434,4.009,3.214,1.872,3.214,1.513,3.588,1.84,1.185,2.98,1.592,3.151,3.496,0
"BG","NP132RSC  ","1NP132RSC   ","female","parent","35y-2m-4d    ",35,2,4,12848.625,422.131416837782,"no","no",NA,"NP","snake",2,1.654,1.981,2.933,1.607,1.451,1.841,1.498,1.42,1.279,1.762,1.778,2.106,2.684,1.389,1.201,1.201,1.42,2.028,1.373,1.014,1.03,1.419,1.451,1.358,1.62,0
"BG","NP141DSC  ","1NP141DSC   ","male","child","3y-5m-26d    ",3,5,26,1273.9375,41.8542094455852,"yes","no",1,"NP","snake",2,6.895,3.604,4.836,4.134,2.73,5.663,4.618,6.006,2.543,2.527,3.292,4.118,4.54,5.304,3.339,3.947,3.494,6.552,3.962,4.572,3.432,4.119,4.118,5.429,4.324,0
"BG","NP141RSC  ","1NP141RSC   ","female","parent","33y-2m-18d   ",33,2,18,12132.125,398.591375770021,"no","yes",NA,"NP","snake",2,2.496,1.17,1.373,2.34,1.732,1.264,1.232,1.622,1.264,1.029,2.558,1.154,1.046,1.279,1.107,1.17,2.34,1.748,1.092,2.762,1.373,1.295,1.419,1.17,1.543,0
"BG","NP142DSC  ","1NP142DSC   ","male","child","3y-4m-0d     ",3,4,0,1217.5,40,"yes","no",1,"NP","snake",2,3.76,4.992,7.441,3.9,4.04,8.408,4.103,5.57,2.839,2.698,3.635,3.604,3.262,1.623,2.871,2.714,4.914,2.73,3.229,6.209,2.138,3.152,4.306,6.287,4.27,5
"BG","NP142RSC  ","1NP142RSC   ","male","parent","38y-2m-21d   ",38,2,21,13961.375,458.689938398357,"yes","yes",NA,"NP","snake",2,1.825,1.575,2.121,3.26,3.681,2.309,2.325,2.48,2.013,2.044,1.716,2.091,3.651,1.653,2.028,3.042,1.794,2.309,1.81,2.153,3.338,2.293,1.467,1.467,2.269,0
"BG","NP144DCS  ","1NP144DCS   ","female","child","3y-6m-9d     ",3,6,9,1287.375,42.2956878850103,"no","no",1,"NP","other",1,3.541,4.243,3.058,15.726,3.495,3.011,2.886,5.6,5.163,2.652,6.115,5.648,3.308,3.868,2.668,3.744,2.792,3.837,2.122,4.742,2.855,2.496,8.768,4.446,4.449,0
"BG","NP144RCS  ","1NP144RCS   ","female","parent","34y-11m-29d  ",34,11,29,12782.3125,419.952772073922,"no","yes",NA,"NP","other",1,3.447,2.2,1.513,1.217,1.482,2.262,1.248,1.451,2.043,3.026,2.386,2.09,2.137,1.576,2.044,2.434,2.013,1.857,2.137,1.997,2.714,2.059,1.388,1.716,2.018,0
"BG","NP200DCS  ","1NP200DCS   ","male","child","3y--7m--21d  ",3,7,21,1329.8125,43.6899383983573,"no","no",1,"NP","other",1,6.006,6.599,3.354,2.995,4.415,1.638,2.808,3.276,5.382,3.151,4.072,1.701,3.151,3.588,1.357,3.089,6.084,4.508,5.273,8.673,3.79,1.934,3.604,5.18,3.897,1
"BG","NP200RCS  ","1NP200RCS   ","female","parent","39y--10m--22d",39,10,22,14571.125,478.722792607803,"no","no",NA,"NP","other",1,1.638,1.435,3.183,2.2,1.185,2.169,1.076,1.202,1.638,1.124,1.934,2.246,1.294,3.432,1.654,1.763,0.967,1.404,1.092,0.983,1.154,2.06,3.104,1.358,1.721,0
"BG","NP201DCS  ","1NP201DCS   ","male","child","3y-4m-25d    ",3,4,25,1242.5,40.8213552361396,"yes","unknown",1,"NP","other",1,7.847,4.851,4.181,5.741,11.263,12.574,4.352,4.602,4.555,5.616,4.462,5.491,4.727,2.652,4.758,3.354,3.245,2.574,5.351,8.564,5.835,2.496,2.511,8.798,5.18,1
"BG","NP201RCS  ","1NP201RCS   ","female","parent","31y-8m-0d    ",31,8,0,11566.25,380,"yes","no",NA,"NP","other",1,1.124,1.482,2.168,1.591,1.341,1.17,0.998,1.965,2.309,1.577,2.262,1.216,1.389,1.825,2.262,1.56,1.935,3.213,2.73,1.638,1.435,2.044,1.279,1.232,1.739,0
"BG","RP022RSF  ","1RP022RSF   ","male","parent","36y-4m-26d   ",36,4,26,13296.75,436.854209445585,"yes","no",1,"RP","snake",4,2.746,1.856,1.107,2.995,1.404,0.827,1.747,1.732,2.636,1.232,1.372,1.326,1.435,3.058,1.638,2.293,0.904,1.313,1.14,1.279,1.248,2.403,1.903,1.544,3.927,1
"BG","RP024DFS  ","1RP024DFS   ","male","child","3y-5m-12d    ",3,5,12,1259.9375,41.394250513347,"yes","no",1,"RP","other",3,5.039,11.388,3.45,4.929,4.54,7.893,8.923,7.114,10.904,4.368,4.789,4.118,5.148,5.054,2.543,6.334,8.939,8.861,4.103,1.934,4.43,1.841,9.407,7.02,5.835,1
"BG","RP024RFS  ","1RP024RFS   ","female","parent","30y-8m-11d   ",30,8,11,11212,368.361396303901,"yes","no",NA,"RP","other",3,2.028,2.2,0.11,2.465,1.56,2.558,1.95,1.841,2.699,4.805,1.825,1.981,1.294,3.26,1.232,1.981,1.17,1.342,3.448,2.714,2.794,1.513,2.449,1.341,2.193,1
"BG","RP027DFS  ","1RP027DFS   ","male","child","3y-1m-12d    ",3,1,12,1138.1875,37.394250513347,"yes","no",1,"RP","other",3,4.056,8.221,2.996,4.087,7.239,7.613,2.074,4.415,4.524,7.317,7.831,7.16,8.986,9.032,7.503,5.928,2.293,4.945,5.46,3.432,5.804,2.98,4.805,6.63,5.664,2
"BG","RP029RSF  ","1RP029RSF   ","male","parent","35y-5m-29d   ",35,5,29,12964.9375,425.952772073922,"no","no",2,"RP","snake",4,1.482,2.216,1.28,1.263,1.482,1.139,1.685,5.444,2.231,2.246,1.934,2.73,2.09,1.217,2.527,1.42,1.856,1.997,1.31,4.243,2.043,3.245,1.513,1.295,2.079,0
"BG","RP077DFS  ","1RP077DFS   ","male","child","3y-10m-17d   ",3,10,17,1417.125,46.5585215605749,NA,NA,NA,"RP","other",3,3.167,5.429,5.241,2.262,5.835,1.872,4.056,2.59,1.95,2.09,3.526,2.621,5.444,8.362,2.246,3.448,2.074,2.574,2.606,3.261,3.915,3.572,23.431,3.604,4.382,0
"BG","RP080DSF  ","1RP080DSF   ","female","child","2y-11m-11d   ",2,11,11,1076.3125,35.3613963039014,"no","unknown",1,"RP","snake",4,8.143,30.498,10.577,3.681,3.62,3.932,3.947,11.715,3.915,2.62,2.262,2.979,2.028,2.449,5.444,14.695,2.418,3.183,4.353,2.543,5.663,7.238,10.389,3.027,5.57,4
"BG","RP080RSF  ","1RP080RSF   ","male","parent","36y-2m-13d   ",36,2,13,13222.875,434.427104722793,"yes","no",NA,"RP","snake",4,1.232,1.576,1.138,2.699,1.373,1.123,2.668,2.637,1.03,1.576,1.029,1.248,2.793,1.045,3.276,3.962,2.059,1.904,2.512,1.248,1.529,1.342,1.732,1.185,1.83,0
"BG","RP081DFS  ","1RP081DFS   ","male","child","3y-2m-28d    ",3,2,28,1184.625,38.9199178644764,"no","unknown",1,"RP","other",3,2.122,3.058,9.376,4.524,5.367,2.621,2.574,2.808,21.45,3.806,3.198,18.611,6.817,5.632,10.14,6.412,2.839,3.198,3.65,2.043,7.691,3.057,4.805,2.777,6.353,12
