"Site","ID","ID2","gender","child_parent","age","age_.year","age_.month","age_.days","age_days","age_months","snake_experience","fear_snake","zoo","protocol","target_stimulus","order","stimulus_1","stimulus_2","stimulus_3","stimulus_4","stimulus_5","stimulus_6","stimulus_7","stimulus_8","stimulus_9","stimulus_10","stimulus_11","stimulus_12","stimulus_13","stimulus_14","stimulus_15","stimulus_16","stimulus_17","stimulus_18","stimulus_19","stimulus_20","stimulus_21","stimulus_22","stimulus_23","stimulus_24","RT.correct","number_errors"
"BG","RP106DFS  ","1RP106DFS   ","male","child","3y-0m-25d    ",3,0,25,1120.75,36.8213552361396,"no","unknown",1,"RP","other",3,2.871,10.187,3.494,3.088,4.96,8.455,6.287,7.395,4.976,11.154,3.229,3.245,6.099,7.347,3.526,8.034,6.427,4.509,3.635,3.76,3.963,3.51,5.102,3.791,5.377,0
"BG","RP106RFS  ","1RP106RFS   ","female","parent","32y-7m-0d    ",32,7,0,11901.0625,391,"no","yes",NA,"RP","other",3,3.447,0.343,3.183,4.587,1.248,4.883,2.308,1.919,1.95,2.355,1.279,2.278,1.45,1.701,1.451,1.576,1.202,1.108,1.778,1.794,5.538,2.293,1.856,2.823,2.348,1
"BG","RP107DSF  ","1RP107DSF   ","male","child","3y-7m-2d     ",3,7,2,1310.8125,43.0657084188912,NA,NA,NA,"RP","snake",4,6.585,4.758,4.587,0.234,4.212,3.276,13.291,11.622,2.965,5.866,8.783,11.934,5.569,4.789,2.044,9.36,4.898,6.334,6.583,5.367,1.7,5.242,5.226,3.838,7.213,18
"BG","RP108DFS  ","1RP108DFS   ","female","child","3y-3m-26d    ",3,3,26,1213.0625,39.8542094455852,NA,NA,NA,"RP","other",3,2.621,9.297,6.552,3.604,4.945,2.808,1.935,3.354,1.217,4.212,2.496,6.88,5.741,6.536,9.22,3.198,8.253,3.9,3.12,3.104,3.931,4.43,2.793,4.321,4.723,2
"BG","RP109DFS  ","1RP109DFS   ","female","child","3y-3m-25d    ",3,3,25,1212.0625,39.8213552361396,"yes","no",1,"RP","other",3,2.355,2.402,2.527,4.275,2.995,3.307,5.211,3.728,3.12,2.434,5.226,3.417,3.011,2.745,7.706,2.075,4.461,5.819,5.554,4.384,1.95,3.853,4.929,2.636,3.755,0
"BG","RP109RFS  ","1RP109RFS   ","female","parent","33y-5m-8d    ",33,5,8,12213.4375,401.262833675565,"yes","no",NA,"RP","other",3,2.464,1.809,1.685,1.981,1.965,3.775,1.981,1.466,1.653,1.685,2.762,1.514,1.217,1.544,1.731,1.077,2.278,1.388,1.482,1.264,1.341,1.654,1.45,1.482,1.777,0
"BG","RP116DSF  ","1RP116DSF   ","female","child","3y-11m-13d   ",3,11,13,1443.5625,47.4271047227926,"yes","unknown",1,"RP","snake",4,3.697,6.459,2.621,3.697,3.416,2.808,3.447,3.776,2.933,4.29,4.165,3.229,1.841,3.01,3.947,3.198,3.323,2.839,5.725,2.278,2.246,2.465,1.778,2.574,3.323,0
"BG","RP116RSF  ","1RP116RSF   ","female","parent","29y-6m-30d   ",29,6,30,10804.875,354.985626283368,"yes","yes",NA,"RP","snake",4,4.149,1.545,2.293,1.7,1.482,2.73,1.997,2.621,1.872,1.139,1.264,1.591,2.121,1.809,1.248,1.731,1.467,1.061,1.544,1.544,1.513,1.404,1.341,1.326,1.77,0
"BG","RP133DFS  ","1RP133DFS   ","male","child","3y-4m-18d    ",3,4,18,1235.5,40.5913757700205,"no","unknown",2,"RP","other",3,15.148,4.087,4.478,3.978,1.466,7.113,2.45,1.232,2.933,3.136,2.465,5.897,4.867,4.072,2.639,3.151,2.168,12.106,5.194,2.153,8.986,3.541,7.535,2.247,4.71,0
"BG","RP133RFS  ","1RP133RFS   ","male","parent","34y-8m-6d    ",34,8,6,12668,416.197125256674,"no","no",NA,"RP","other",3,1.934,1.295,2.106,3.058,2.574,1.045,2.199,1.373,1.107,2.137,2.184,1.934,1.966,0.952,2.153,2.558,2.293,1.544,1.076,1.701,1.498,1.638,1.357,1.45,1.797,0
"BG","RP134DFS  ","1RP134DFS   ","male","child","3y-1m-7d     ",3,1,7,1133.1875,37.2299794661191,"yes","unknown",1,"RP","other",3,2.559,13.167,4.243,4.742,6.318,5.086,5.366,2.652,8.595,10.593,13.213,14.321,10.858,3.339,4.555,4.29,6.896,8.112,3.525,6.849,3.136,2.559,6.022,3.089,6.551,5
"BG","RP134RFS  ","1RP134RFS   ","male","parent","30y-5m-15d   ",30,5,15,11124.6875,365.492813141684,"yes","no",NA,"RP","other",3,1.622,2.746,1.731,3.026,3.401,1.67,1.482,1.326,1.528,1.592,1.217,1.342,1.56,1.17,1.451,1.404,1.731,1.654,2.543,1.279,2.074,1.623,2.06,1.716,1.789,0
"BG","RP136DFS  ","1RP136DFS   ","male","child","3y-4m-18d    ",3,4,18,1235.5,40.5913757700205,"no","no",1,"RP","other",3,12.574,2.199,2.48,9.75,3.073,1.982,4.929,8.158,4.695,3.978,5.663,1.997,4.336,4.634,3.307,4.181,2.948,4.368,2.496,1.575,2.87,5.055,1.436,9.406,4.504,0
"BG","RP136DFS_1","1RP136DFS_1 ","male","child","3y-4m-18d    ",3,4,18,1235.5,40.5913757700205,"no","no",1,"RP","other",3,4.274,2.932,6.255,2.309,2.59,3.869,7.41,1.7,7.519,2.308,2.761,3.573,5.117,2.028,4.087,2.761,6.349,3.354,4.711,3.12,2.403,2.247,3.837,5.132,3.86,0
"BG","RP136RFS  ","1RP136RFS   ","female","parent","37y-4m-22d   ",37,4,22,13658,448.722792607803,"no","yes",NA,"RP","other",3,2.09,1.716,2.043,2.683,2.839,4.165,2.325,1.455,1.716,2.059,1.482,1.981,1.747,2.074,1.326,2.279,1.592,1.498,2.636,3.791,1.95,2.559,1.903,2.308,2.176,0
"BG","RP137DSF  ","1RP137DSF   ","female","child","3y-0m-30d    ",3,0,30,1125.75,36.9856262833676,"yes","unknown",1,"RP","snake",4,6.084,6.661,1.841,2.386,12.293,2.355,16.77,5.132,15.928,6.24,5.476,10.655,8.393,14.165,5.054,3.26,7.41,10.125,2.091,7.971,6.302,5.507,3.588,5.788,6.512,6
"BG","RP137RSF  ","1RP137RSF   ","female","parent","31y-3m-15d   ",31,3,15,11429.0625,375.492813141684,"yes","no",NA,"RP","snake",4,1.934,1.778,1.155,2.621,2.184,1.825,1.856,1.7,1.919,1.778,2.2,1.732,3.915,2.215,1.794,2.652,1.887,1.716,1.716,1.607,2.449,1.513,1.669,1.669,1.978,0
"BG","RP138DSF  ","1RP138DSF   ","male","child","3y-6m-11d    ",3,6,11,1289.375,42.3613963039014,"yes","unknown",1,"RP","snake",4,9.75,4.461,4.446,2.917,2.652,3.775,2.98,3.198,2.543,4.852,3.978,3.245,2.231,3.354,2.153,5.195,2.59,3.791,3.9,4.43,3.338,2.699,2.45,5.024,3.748,0
"BG","RP138RSF  ","1RP138RSF   ","female","parent","36y-2m-17d   ",36,2,17,13226.875,434.558521560575,"yes","yes",NA,"RP","snake",4,5.07,3.323,3.588,2.34,1.778,2.777,1.903,1.903,1.7,1.857,2.262,2.824,1.763,1.669,2.075,1.482,1.841,1.887,1.638,1.716,1.7,2.231,1.42,1.872,2.192,0
"BG","RP139DSF  ","1RP139DSF   ","female","child","3y-10m-28d   ",3,10,28,1428.125,46.9199178644764,"yes","no",1,"RP","snake",4,9.032,3.837,5.944,7.706,4.633,4.15,2.481,4.353,6.443,6.583,3.151,4.743,5.429,5.897,5.257,7.94,5.57,4.103,2.901,6.24,4.477,13.744,4.992,4.758,5.599,0
"BG","RP139RSF  ","1RP139RSF   ","male","parent","40y-9m-3d    ",40,9,3,14886.9375,489.098562628337,"yes","no",NA,"RP","snake",4,1.888,2.215,1.498,2.824,1.373,1.982,1.545,2.824,3.213,2.324,2.574,2.184,2.153,1.841,1.825,1.935,2.246,1.653,1.591,2.371,2.434,1.357,1.934,1.263,2.044,0
"BG","RP140DFS  ","1RP140DFS   ","female","child","3y-8m-7d     ",3,8,7,1346.25,44.2299794661191,"no","unknown",2,"RP","other",3,17.565,7.176,5.632,5.6,7.192,5.211,5.694,8.986,8.97,3.604,5.163,3.229,2.184,4.524,5.585,5.757,3.853,4.087,3.496,6.225,4.352,7.301,4.399,2.293,5.753,0
"BG","RP140RFS  ","1RP140RFS   ","male","parent","37y-11m-16d  ",37,11,16,13865.0625,455.525667351129,"yes","no",NA,"RP","other",3,2.356,4.275,1.966,1.966,2.324,1.731,2.168,2.278,3.152,1.544,1.731,1.731,1.56,1.887,2.98,1.934,1.95,1.825,1.373,1.108,1.499,1.373,1.326,1.435,1.978,0
"BG","RP143DFS  ","1RP143DFS   ","female","child","3y-5m-14d    ",3,5,14,1261.9375,41.4599589322382,"no","no",2,"RP","other",3,6.427,5.636,11.029,5.912,7.956,5.304,6.349,9.126,4.962,3.666,1.466,4.946,15.678,7.753,12.699,23.977,8.205,27.846,19.328,6.271,12.964,11.903,4.867,10.889,10.157,7
"BG","RP143RFS  ","1RP143RFS   ","female","parent","31y-9m-16d   ",31,9,16,11612.6875,381.525667351129,"no","no",NA,"RP","other",3,2.418,1.544,1.7,2.621,2.34,1.217,2.668,2.542,2.824,1.638,1.576,1.919,1.436,1.654,2.418,2.168,2.137,2.215,1.529,1.466,1.186,1.326,1.498,1.092,1.88,0
"NI","NP211DSC  ","2NP211DSC   ","male","child","4y-11m-0d    ",4,11,0,1795.8125,59,"no","unknown",2,"NP","snake",2,5.35,4.93,1.856,1.934,6.271,1.623,1.95,1.732,0.499,3.12,4.493,4.68,1.513,4.508,4.088,2.371,2.745,1.404,4.212,1.279,7.254,4.024,8.315,3.167,3.472,12
"NI","NP211RSC  ","2NP211RSC   ","female","parent","36y-7m-4d    ",36,7,4,13366.0625,439.131416837782,"no","yes",NA,"NP","snake",2,2.543,1.622,2.012,1.217,1.139,1.248,1.045,1.342,1.201,1.653,1.436,1.279,1.092,1.264,1.872,1.233,1.357,1.107,1.763,1.373,1.529,1.186,1.186,1.467,1.424,0
"NI","NP212DSC  ","2NP212DSC   ","female","child","4y-1m-16d    ",4,1,16,1507.4375,49.5256673511294,"no","yes",2,"NP","snake",2,3.37,6.256,3.167,3.915,3.136,3.572,2.745,2.028,7.098,2.449,2.137,1.904,4.976,2.231,6.536,2.683,3.697,1.762,2.854,3.526,3.339,3.572,1.716,2.138,3.367,10
"NI","NP212RSC  ","2NP212RSC   ","female","parent","57y-2m-6d    ",57,2,6,20886.125,686.197125256674,"no","yes",NA,"NP","snake",2,1.544,1.794,3.806,2.199,3.76,1.264,1.294,4.306,3.619,1.981,2.527,1.638,2.465,2.387,1.919,1.825,3.76,3.074,4.103,5.132,1.778,1.201,1.451,1.186,2.501,0
"NI","NP214RSC  ","2NP214DSC   ","female","child","4y-3m-5d     ",4,3,5,1557.3125,51.1642710472279,"yes","no",1,"NP","snake",2,1.482,2.106,2.98,1.763,1.529,1.404,1.451,1.388,1.201,0.905,1.014,1.123,0.998,0.858,0.733,1.841,0.842,1.138,1.014,0.936,1.107,0.983,0.733,1.014,1.273,15
"NI","NP214RSC  ","2NP214RSC   ","female","parent","33y-11m-6d   ",33,11,6,12394.0625,407.197125256674,"yes","no",NA,"NP","snake",2,2.62,1.139,1.108,1.029,1.186,1.014,1.139,1.591,1.513,1.123,1.061,1.216,2.262,1.7,1.123,1.498,1.263,1.56,1.357,1.107,1.233,1.514,1.186,1.528,1.378,0
"NI","NP215DSC  ","2NP215DSC   ","male","child","4y-1m-30d    ",4,1,30,1521.4375,49.9856262833676,"yes","no",1,"NP","snake",2,5.694,23.49,18.315,13.775,6.755,15.835,13.463,3.557,12.698,8.284,10.249,9.532,4.072,10.327,6.974,24.883,28.814,10.733,6.474,4.274,5.943,5.086,5.351,5.507,10.837,1
"NI","NP215RSC  ","2NP215RSC   ","male","parent","36y-9m-4d    ",36,9,4,13426.9375,441.131416837782,"yes","no",NA,"NP","snake",2,1.95,2.386,4.524,2.558,1.357,1.576,1.466,2.293,1.716,1.107,2.527,1.076,1.279,1.388,4.742,1.123,1.778,1.186,2.418,1.576,1.888,1.092,1.404,1.155,1.899,0
"NI","NP218DSC  ","2NP218DSC   ","male","child","4y-7m-22d    ",4,7,22,1696.0625,55.7227926078029,"no","no",2,"NP","snake",2,2.808,5.678,3.105,3.666,6.177,4.009,3.604,2.73,5.101,3.12,5.99,6.645,4.134,6.255,2.979,3.12,3.673,2.09,2.278,1.966,1.732,1.544,1.825,2.262,3.604,0
"NI","NP218RSC  ","2NP218RSC   ","female","parent","28y-4m-26d   ",28,4,26,10374.75,340.854209445585,"no","no",NA,"NP","snake",2,2.231,1.482,1.216,1.42,2.684,1.887,1.186,1.42,1.014,1.076,1.981,2.199,1.654,1.217,1.576,1.982,1.404,1.248,1.263,1.233,1.67,1.092,1.077,1.42,1.526,0
"NI","NP220DSC  ","2NP220DSC   ","male","child","4y-5m-7d     ",4,5,7,1620.1875,53.2299794661191,"no","unknown",2,"NP","snake",2,2.792,8.471,9.75,1.638,4.852,1.31,1.919,4.415,3.962,6.802,5.819,4.633,9.329,5.553,1.389,2.87,1.435,4.836,4.493,1.389,1.497,1.419,1.092,2.715,3.932,0
"NI","NP220RSC  ","2NP220RSC   ","female","parent","33y-9m-2d    ",33,9,2,12329.1875,405.065708418891,"no","no",NA,"NP","snake",2,1.326,1.046,1.466,1.076,1.887,1.638,0.874,1.061,1.108,0.905,0.748,0.921,2.169,1.155,1.216,1.108,1.482,0.921,2.714,1.529,1.124,2.511,3.245,1.311,1.439,0
"NI","NP221DSC  ","2NP221DSC   ","female","child","4y-4m-8d     ",4,4,8,1590.75,52.2628336755647,"no","no",2,"NP","snake",2,3.635,2.964,2.839,4.617,1.201,2.481,5.195,1.747,5.741,1.607,3.011,2.652,1.747,2.886,2.403,4.056,1.935,1.81,3.697,4.228,3.806,2.683,4.68,3.682,3.138,4
"NI","NP221RSC  ","2NP221RSC   ","female","parent","37y-0m-20d   ",37,0,20,13534.25,444.657084188912,"yes","no",NA,"NP","snake",2,1.654,1.482,1.623,1.731,1.279,1.716,0.967,1.045,1.092,0.983,1.264,1.529,1.154,3.37,1.638,1.248,1.185,1.217,1.232,1.092,3.572,1.17,1.186,1.06,1.479,0
"NI","NP223DSC  ","2NP223DSC   ","male","child","4y-4m-17d    ",4,4,17,1599.75,52.5585215605749,"no","no",1,"NP","snake",2,4.556,2.528,5.414,3.495,2.542,4.197,2.902,2.34,3.151,3.557,3.79,5.132,0.062,3.12,2.98,3.494,2.527,3.744,7.222,8.861,3.993,2.449,2.777,2.434,3.636,2
"NI","NP223RSC  ","2NP223RSC   ","female","parent","35y-5m-12d   ",35,5,12,12947.9375,425.394250513347,"no","yes",NA,"NP","snake",2,1.451,1.731,1.154,1.326,1.108,2.402,2.855,1.201,1.186,0.951,1.654,5.195,2.293,1.155,1.17,1.061,1.295,1.294,1.857,3.214,1.232,1.232,1.108,1.046,1.674,0
"NI","NP225DSC  ","2NP225DSC   ","female","child","4y-2m-14d    ",4,2,14,1535.875,50.4599589322382,"no","unknown",1,"NP","snake",2,4.071,2.73,3.65,2.605,5.507,2.527,2.386,2.121,3.276,3.465,2.683,3.604,1.919,1.762,1.809,1.482,1.373,1.357,1.56,1.685,1.56,1.653,1.762,1.389,2.414,16
"NI","NP225RSC  ","2NP225RSC   ","female","parent","36y-4m-30d   ",36,4,30,13300.75,436.985626283368,"no","yes",NA,"NP","snake",2,1.7,2.153,1.014,3.027,3.042,1.716,1.03,1.966,1.887,3.931,1.092,1.701,1.014,1.622,3.089,1.217,1.56,1.326,1.201,1.669,1.591,1.155,1.872,1.497,1.795,0
"NI","NP226DCS  ","2NP226DCS   ","female","child","4y-4m-29d    ",4,4,29,1611.75,52.952772073922,"no","no",2,"NP","other",1,8.096,5.257,3.916,2.512,3.713,2.059,3.401,3.089,3.073,3.853,3.542,1.81,5.085,4.586,3.323,2.605,3.557,2.511,2.153,4.04,3.276,1.841,2.808,3.697,3.492,0
"NI","NP226RCS  ","2NP226RCS   ","female","parent","44y-0m-16d   ",44,0,16,16087,528.525667351129,"no","yes",NA,"NP","other",1,2.262,2.044,2.418,2.418,3.775,2.496,2.481,2.402,3.245,2.95,2.309,1.669,1.653,1.591,1.591,1.997,2.574,1.623,1.701,3.37,1.716,1.436,1.81,1.763,2.221,0
"NI","NP232DCS  ","2NP232DCS   ","female","child","4y-9m-30d    ",4,9,30,1764.9375,57.9856262833676,"no","no",2,"NP","other",1,2.824,2.293,5.008,3.058,2.637,2.418,2.543,6.318,3.681,2.543,2.371,1.451,3.744,5.335,1.872,4.212,1.747,3.136,3.572,2.918,1.342,2.434,1.404,1.779,2.943,0
"NI","NP232RCS  ","2NP232RCS   ","female","parent","57y-0m-23d   ",57,0,23,20842.25,684.755646817248,"no","yes",NA,"NP","other",1,2.137,1.857,1.545,3.136,1.81,6.022,6.209,1.435,1.092,1.154,4.727,2.418,3.276,3.479,2.2,1.825,1.31,1.248,2.652,1.029,2.902,1.56,1.716,1.342,2.42,0
"NI","NP233DCS  ","2NP233DCS   ","female","child","4y-7m-4d     ",4,7,4,1678.0625,55.1314168377823,"no","no",1,"NP","other",1,6.693,10.046,6.099,7.847,5.679,17.878,6.599,3.759,8.611,5.164,3.869,4.337,3.339,2.2,5.678,2.262,4.508,1.841,2.84,3.401,2.356,5.663,6.786,3.167,5.443,1
"NI","NP233RCS  ","2NP233RCS   ","female","parent","31y-6m-22d   ",31,6,22,11527.375,378.722792607803,"no","no",NA,"NP","other",1,2.355,1.17,0.828,1.155,1.217,1.357,1.295,2.293,1.014,2.122,0.843,1.123,1.498,1.56,1.731,2.277,0.905,1.248,2.403,1.139,2.153,1.731,2.902,1.154,1.561,0
"NI","NP235DCS  ","2NP235DCS   ","male","child","4y-11m-19d   ",4,11,19,1814.8125,59.6242299794661,"no","yes",1,"NP","other",1,3.339,3.744,2.605,1.7,1.888,2.075,4.15,3.37,2.044,4.353,1.622,3.214,1.373,4.508,2.137,2.387,1.81,3.994,1.311,3.323,1.778,1.529,3.307,1.42,2.624,0
"NI","NP235RCS  ","2NP235RCS   ","female","parent","34y-10m-19d  ",34,10,19,12741.875,418.624229979466,"no","yes",NA,"NP","other",1,1.669,1.716,2.028,2.137,2.48,1.903,1.263,0.967,1.139,1.575,1.809,1.841,2.247,2.574,1.404,2.574,2.657,2.527,1.419,2.215,1.888,2.137,0.999,1.123,1.845,0
"NI","NP236DCS  ","2NP236DCS   ","female","child","5y-0m-22d    ",5,0,22,1848.25,60.7227926078029,"no","unknown",2,"NP","other",1,1.763,1.327,2.34,3.729,1.685,1.17,1.607,3.697,4.602,3.526,2.371,3.494,1.451,0.983,2.075,5.538,1.373,2.73,4.352,3.822,4.009,1.591,3.541,2.699,2.728,1
"NI","NP236RCS  ","2NP236RCS   ","female","parent","39y-7m-20d   ",39,7,20,14477.8125,475.657084188912,"no","no",NA,"NP","other",1,2.402,1.154,1.404,1.357,2.605,2.324,1.093,1.466,1.653,2.09,2.246,2.917,1.295,1.264,2.558,1.857,2.496,1.17,1.092,1.606,2.075,0.951,1.42,1.498,1.75,0
"NI","NP237DCS  ","2NP237DCS   ","male","child","4y-4m-10d    ",4,4,10,1592.75,52.3285420944559,"no","no",1,"NP","other",1,9.079,5.912,6.63,1.747,2.855,3.588,1.045,1.17,0.811,1.498,0.265,1.856,1.544,1.342,2.48,1.716,1.357,2.933,3.261,1.451,0.874,1.216,0.951,1.997,2.399,14
"NI","NP237RCS  ","2NP237RCS   ","female","parent","52y-11m-23d  ",52,11,23,19350.8125,635.755646817248,"no","yes",NA,"NP","other",1,7.738,2.605,2.137,5.117,1.747,1.809,1.747,2.278,1.982,3.713,1.42,3.885,4.353,1.747,1.749,2.371,2.059,2.34,2.231,1.763,3.869,1.436,1.919,3.682,2.737,0
"NI","NP238DCS  ","2NP238DCS   ",NA,"child","4y-8m-17d    ",4,8,17,1721.5,56.5585215605749,"no","no",2,"NP","other",1,4.384,10.28,3.229,2.606,4.821,5.507,4.727,5.694,3.62,5.382,3.931,5.133,4.165,2.84,2.231,2.153,2.386,2.948,2.59,1.731,3.4,3.089,4.025,2.402,3.886,0
"NI","NP238RCS  ","2NP238RCS   ",NA,"parent","27y-6m-25d   ",27,6,25,10069.375,330.82135523614,"no","no",NA,"NP","other",1,1.763,1.326,1.123,2.824,1.358,1.544,1.186,4.602,1.123,1.279,1.544,1.872,1.014,0.999,0.92,1.139,1.404,1.388,2.216,2.371,1.123,0.905,1.576,1.872,1.603,0
"NI","NP239DCS  ","2NP239DCS   ","female","child","4y-5m-21d    ",4,5,21,1634.1875,53.6899383983573,"no","unknown",2,"NP","other",1,7.722,5.163,5.319,2.621,2.761,2.262,1.778,3.432,2.824,6.786,2.434,3.229,3.058,8.97,7.519,2.715,2.34,2.605,4.509,1.95,1.451,3.385,3.011,1.934,3.741,0
"NI","NP239RCS  ","2NP239RCS   ","female","parent","38y-8m-19d   ",38,8,19,14142,464.624229979466,"no","no",NA,"NP","other",1,1.138,2.294,2.278,1.872,0.764,1.045,2.761,1.03,3.01,1.061,1.965,1.592,1.092,1.123,0.936,0.936,1.357,0.952,1.014,3.011,1.326,0.874,0.951,0.999,1.474,0
"NI","NP240DCS  ","2NP240DCS   ","female","child","4y-8m-13d    ",4,8,13,1717.5,56.4271047227926,"no","yes",2,"NP","other",1,8.05,0.141,3.791,0.234,2.621,1.623,12.231,4.227,4.992,6.926,3.448,4.633,2.824,2.387,2.028,2.465,30.186,3.042,2.122,3.682,1.763,2.948,4.961,2.044,4.724,4
"NI","NP240RCS  ","2NP240RCS   ","female","parent","64y-6m-23d   ",64,6,23,23581.625,774.755646817248,"no","yes",NA,"NP","other",1,4.088,1.138,1.67,1.326,2.606,2.621,2.324,1.544,1.294,3.401,2.48,2.465,3.915,2.574,1.123,2.075,1.248,2.839,1.622,1.95,1.653,1.653,1.779,1.653,2.127,0
"NI","NP241DCS  ","2NP241DCS   ","male","child","4y-3m-9d     ",4,3,9,1561.3125,51.2956878850103,"yes","no",1,"NP","other",1,7.223,7.02,5.195,4.166,2.636,3.307,1.888,3.884,3.026,1.997,2.668,4.321,2.152,1.653,2.402,2.169,1.107,2.106,1.248,3.76,4.15,2.528,3.822,1.373,3.158,0
"NI","NP241RCS  ","2NP241RCS   ","male","parent","42y-8m-9d    ",42,8,9,15593,512.29568788501,"no","no",NA,"NP","other",1,1.606,2.574,1.888,2.215,1.341,2.558,1.186,1.7,1.186,1.248,1.56,1.17,1.435,3.027,3.573,1.248,1.513,1.138,1.045,3.962,2.496,2.558,2.184,2.761,1.966,0
"NI","NP251DSC  ","2NP251DSC   ","female","child","3y-3m-3d     ",3,3,3,1190.0625,39.0985626283368,"no","unknown",2,"NP","snake",2,10.764,11.764,12.764,13.764,14.764,15.764,16.764,17.764,18.764,19.764,20.764,21.764,22.764,23.764,24.764,25.764,26.764,27.764,28.764,29.764,30.764,31.764,32.764,33.764,22.264,2
"NI","NP251RSC  ","2NP251RSC   ","female","parent","39y-2m-9d    ",39,2,9,14314.625,470.29568788501,"yes","yes",NA,"NP","snake",2,1.825,2.825,3.825,4.825,5.825,6.825,7.825,8.825,9.825,10.825,11.825,12.825,13.825,14.825,15.825,16.825,17.825,18.825,19.825,20.825,21.825,22.825,23.825,24.825,13.325,0
"NI","NP252DCS  ","2NP252DCS   ","male","child","3y-6m-13d    ",3,6,13,1291.375,42.4271047227926,"no","no",1,"NP","other",1,3.588,4.588,5.588,6.588,7.588,8.588,9.588,10.588,11.588,12.588,13.588,14.588,15.588,16.588,17.588,18.588,19.588,20.588,21.588,22.588,23.588,24.588,25.588,26.588,15.088,0
"NI","NP252RCS  ","2NP252RCS   ","female","parent","41y-1m-7d    ",41,1,7,15012.6875,493.229979466119,"no","yes",NA,"NP","other",1,1.669,2.669,3.669,4.669,5.669,6.669,7.669,8.669,9.669,10.669,11.669,12.669,13.669,14.669,15.669,16.669,17.669,18.669,19.669,20.669,21.669,22.669,23.669,24.669,13.169,0
"NI","NP253DCS  ","2NP253DCS   ","female","child","3y-7m-21d    ",3,7,21,1329.8125,43.6899383983573,"no","yes",2,"NP","other",1,1.965,2.965,3.965,4.965,5.965,6.965,7.965,8.965,9.965,10.965,11.965,12.965,13.965,14.965,15.965,16.965,17.965,18.965,19.965,20.965,21.965,22.965,23.965,24.965,13.465,0
"NI","NP253RCS  ","2NP253RCS   ","female","parent","42y-8m-10d   ",42,8,10,15594,512.328542094456,"no","no",NA,"NP","other",1,2.418,1.684,1.357,2.917,2.09,1.482,2.371,1.451,1.872,1.342,1.014,1.591,1.341,1.591,1.373,2.667,1.731,1.482,1.42,1.185,1.154,1.716,1.388,1.31,1.664,0
"NI","NP254DSC  ","2NP254DSC   ","male","child","2y-7m-22d    ",2,7,22,965.5625,31.7227926078029,"no","no",2,"NP","snake",2,3.557,4.557,5.557,6.557,7.557,8.557,9.557,10.557,11.557,12.557,13.557,14.557,15.557,16.557,17.557,18.557,19.557,20.557,21.557,22.557,23.557,24.557,25.557,26.557,15.057,4
"NI","NP254RSC  ","2NP254RSC   ","female","parent","61y-2m-14d   ",61,2,14,22355.125,734.459958932238,"yes","no",NA,"NP","snake",2,2.122,3.122,4.122,5.122,6.122,7.122,8.122,9.122,10.122,11.122,12.122,13.122,14.122,15.122,16.122,17.122,18.122,19.122,20.122,21.122,22.122,23.122,24.122,25.122,13.622,0
"NI","NP255DSC  ","2NP255DSC   ","female","child","3y-9m-14d    ",3,9,14,1383.6875,45.4599589322382,"no","unknown",2,"NP","snake",2,5.21,3.775,4.213,5.475,2.698,2.98,2.933,6.879,4.134,0.453,3.432,2.356,1.388,1.185,1.95,2.761,2.48,4.29,4.01,5.382,1.888,2.901,3.369,2.746,3.287,8
"NI","NP255RSC  ","2NP255RSC   ","male","parent","38y-5m-23d   ",38,5,23,14054.6875,461.755646817248,"no","no",NA,"NP","snake",2,1.466,0.968,1.201,1.263,0.874,0.905,0.812,0.904,0.951,0.936,0.686,1.295,2.995,1.42,0.795,0.936,1.092,1.014,0.78,0.936,1.295,0.843,1.186,0.734,1.095,0
"NI","NP257DCS  ","2NP257DCS   ","male","child","3y-6m-18d    ",3,6,18,1296.375,42.5913757700205,"no","unknown",2,"NP","other",1,12.792,2.028,1.186,2.747,6.755,4.337,11.248,2.325,3.463,4.118,2.605,1.887,7.769,11.123,2.106,2.449,3.885,3.448,4.961,2.855,2.184,2.013,1.918,3.884,4.337,4
"NI","NP257RCS  ","2NP257RCS   ","male","parent","32y-3m-1d    ",32,3,1,11780.3125,387.032854209446,"no","no",NA,"NP","other",1,1.092,2.092,3.092,4.092,5.092,6.092,7.092,8.092,9.092,10.092,11.092,12.092,13.092,14.092,15.092,16.092,17.092,18.092,19.092,20.092,21.092,22.092,23.092,24.092,12.592,0
"NI","NP280DSC  ","2NP280DSC   ","male","child","3y-5m-26d    ",3,5,26,1273.9375,41.8542094455852,"no","unknown",2,"NP","snake",2,11.95,12.95,13.95,14.95,15.95,16.95,17.95,18.95,19.95,20.95,21.95,22.95,23.95,24.95,25.95,26.95,27.95,28.95,29.95,30.95,31.95,32.95,33.95,34.95,23.45,6
"NI","NP280RSC  ","2NP280RSC   ","male","parent","47y-6m-26d   ",47,6,26,17375.375,570.854209445585,"no","yes",NA,"NP","snake",2,3.9,2.34,1.435,1.482,2.558,2.528,1.31,2.013,1.934,4.711,3.698,5.242,3.448,1.747,2.574,3.978,1.295,1.201,1.139,1.311,1.17,2.73,2.512,2.356,2.442,0
"NI","NP283DCS  ","2NP283DCS   ","male","child","2y-6m-15d    ",2,6,15,928.125,30.4928131416838,"no","unknown",2,"NP","other",1,3.698,4.698,5.698,6.698,7.698,8.698,9.698,10.698,11.698,12.698,13.698,14.698,15.698,16.698,17.698,18.698,19.698,20.698,21.698,22.698,23.698,24.698,25.698,26.698,15.198,11
