"g","elm_01","elm_02","elm_03","elm_04","elm_05"
"BradleyUniversity",7,5,8,6,7
"BradleyUniversity",5,1,4,4,2
"BradleyUniversity",5,6,6,6,5
"BradleyUniversity",5,3,5,5,4
"BradleyUniversity",4,4,5,4,4
"BradleyUniversity",8,7,5,7,6
"BradleyUniversity",8,3,8,7,9
"BradleyUniversity",5,5,6,4,4
"BradleyUniversity",7,5,6,4,5
"BradleyUniversity",5,4,6,5,5
"BradleyUniversity",6,6,6,6,6
"BradleyUniversity",9,5,4,2,2
"BradleyUniversity",9,5,8,8,7
"BradleyUniversity",7,6,8,7,7
"BradleyUniversity",7,3,7,6,6
"BradleyUniversity",6,3,3,1,4
"BradleyUniversity",6,5,5,7,6
"BradleyUniversity",7,5,6,5,5
"BradleyUniversity",7,7,7,5,6
"BradleyUniversity",6,4,2,3,4
"BradleyUniversity",6,6,6,6,6
"BradleyUniversity",4,4,4,6,6
"BradleyUniversity",6,5,6,6,6
"BradleyUniversity",6,4,5,3,5
"BradleyUniversity",5,7,5,8,5
"BradleyUniversity",6,4,8,6,7
"BradleyUniversity",7,5,7,5,6
"BradleyUniversity",3,8,8,7,7
"BradleyUniversity",7,4,4,5,5
"BradleyUniversity",9,7,9,8,8
"BradleyUniversity",4,3,3,6,3
"BradleyUniversity",9,8,7,8,7
"BradleyUniversity",5,3,4,4,5
"BradleyUniversity",6,4,4,6,6
"BradleyUniversity",6,5,6,4,5
"BradleyUniversity",6,7,5,7,8
"BradleyUniversity",5,4,5,6,6
"BradleyUniversity",6,7,6,8,7
"BradleyUniversity",5,6,7,7,7
"BradleyUniversity",6,6,6,5,6
"BradleyUniversity",9,9,8,8,9
"BradleyUniversity",4,1,3,5,1
"BradleyUniversity",6,5,7,3,4
"CarletonUniversity",5,5,5,4,5
"CarletonUniversity",2,5,2,1,2
"CarletonUniversity",5,6,7,7,7
"CarletonUniversity",7,3,3,6,3
"CarletonUniversity",2,1,1,2,3
"CarletonUniversity",4,1,3,6,3
"CarletonUniversity",7,5,6,6,5
"CarletonUniversity",8,6,9,9,7
"CarletonUniversity",9,9,9,9,9
"CarletonUniversity",6,4,5,7,3
"CarletonUniversity",8,5,6,6,6
"CarletonUniversity",3,6,7,5,7
"CarletonUniversity",6,4,4,5,4
"CarletonUniversity",9,2,6,5,6
"CarletonUniversity",8,7,7,7,8
"CarletonUniversity",7,4,5,6,6
"CarletonUniversity",6,4,8,9,8
"CarletonUniversity",6,6,5,5,6
"CarletonUniversity",3,3,1,1,1
"CarletonUniversity",6,5,6,6,6
"CarletonUniversity",5,4,3,6,6
"CarletonUniversity",6,6,7,7,7
"CarletonUniversity",7,6,8,9,7
"CarletonUniversity",6,7,8,7,7
"CarletonUniversity",5,4,6,5,5
"CarletonUniversity",4,4,3,3,4
"CarletonUniversity",7,5,7,5,5
"CarletonUniversity",6,5,6,6,5
"CarletonUniversity",9,9,9,8,8
"CarletonUniversity",6,5,3,7,7
"CarletonUniversity",6,5,6,5,3
"CarletonUniversity",3,4,4,4,4
"CarletonUniversity",6,5,5,4,5
"CarletonUniversity",6,5,4,3,3
"CarletonUniversity",7,7,7,6,6
"CarletonUniversity",8,6,7,6,6
"CarletonUniversity",4,3,4,5,5
"CarletonUniversity",6,4,5,5,5
"CarletonUniversity",4,5,3,6,5
"CarletonUniversity",6,5,6,7,8
"CarletonUniversity",4,3,3,5,3
"CarletonUniversity",7,8,9,8,5
"CarletonUniversity",6,5,5,5,5
"CarletonUniversity",4,4,4,4,5
"IthacaCollege",6,2,2,6,4
"IthacaCollege",4,6,7,5,6
"IthacaCollege",4,3,2,2,3
"IthacaCollege",7,6,6,7,5
"IthacaCollege",4,3,6,7,5
"IthacaCollege",3,1,4,6,4
"IthacaCollege",7,6,7,8,6
"IthacaCollege",6,5,9,8,5
"IthacaCollege",9,8,9,7,8
"IthacaCollege",9,5,5,7,6
"IthacaCollege",5,4,5,5,4
"IthacaCollege",6,3,4,5,5
"IthacaCollege",7,6,6,7,7
"IthacaCollege",7,6,7,7,7
"IthacaCollege",5,5,7,8,9
"IthacaCollege",9,6,6,9,6
"IthacaCollege",5,6,4,5,3
"IthacaCollege",6,4,5,4,5
"IthacaCollege",6,3,2,5,2
"IthacaCollege",3,2,2,3,2
"IthacaCollege",4,5,6,6,4
"IthacaCollege",7,1,1,1,1
"IthacaCollege",8,4,6,6,4
"IthacaCollege",4,1,2,5,3
"IthacaCollege",8,7,9,8,7
"IthacaCollege",9,9,9,9,8
"IthacaCollege",5,5,5,7,6
"IthacaCollege",8,6,9,6,7
"IthacaCollege",7,5,5,6,5
"IthacaCollege",3,2,5,6,7
"IthacaCollege",6,5,7,7,6
"IthacaCollege",7,6,7,8,7
"IthacaCollege",7,5,5,3,4
"IthacaCollege",8,6,8,5,7
"IthacaCollege",9,7,7,7,7
"IthacaCollege",4,2,5,3,4
"IthacaCollege",4,5,4,2,3
"IthacaCollege",7,6,7,8,5
"IthacaCollege",6,7,8,7,8
"IthacaCollege",7,2,8,7,5
"IthacaCollege",9,7,5,5,7
"IthacaCollege",6,3,7,4,6
"IthacaCollege",3,3,3,4,4
"IthacaCollege",7,4,6,5,6
"IthacaCollege",7,6,6,5,6
"IthacaCollege",5,3,2,4,5
"IthacaCollege",4,5,3,4,4
"IthacaCollege",6,4,7,5,6
"IthacaCollege",5,5,4,3,6
"IthacaCollege",4,8,7,6,6
"IthacaCollege",5,4,6,5,5
"IthacaCollege",8,6,5,5,6
"IthacaCollege",7,4,6,4,7
"IthacaCollege",6,5,6,5,6
"IthacaCollege",7,4,5,4,6
"IthacaCollege",9,4,6,5,4
"IthacaCollege",3,2,3,2,3
"IthacaCollege",5,2,6,5,5
