"g","FAD4","FAD8","FAD12","FAD16","FAD20","FAD23","FAD26"
"Elte",3,4,4,3,4,2,3
"Elte",4,4,5,3,3,4,5
"Elte",1,5,1,4,5,1,1
"Elte",1,5,2,5,5,4,5
"Elte",2,4,4,3,4,1,3
"Elte",4,5,4,3,4,4,4
"Elte",3,5,5,5,5,3,1
"Elte",3,4,5,4,4,4,3
"Elte",3,5,5,5,1,5,3
"Elte",2,4,4,3,4,1,1
"Elte",3,3,5,4,4,2,3
"Elte",2,5,4,3,3,2,3
"Elte",4,5,5,5,3,4,4
"Elte",2,5,3,4,4,3,3
"Elte",3,1,3,2,2,4,3
"Elte",3,5,4,5,5,5,5
"Elte",4,4,4,4,3,4,3
"Elte",3,2,5,4,3,1,2
"Elte",3,4,4,4,3,3,2
"Elte",3,4,3,5,4,4,3
"Elte",3,5,4,4,4,4,4
"Elte",4,5,4,3,4,5,3
"Elte",4,5,4,4,3,4,4
"Elte",2,5,3,2,3,3,3
"Elte",3,5,2,3,4,2,1
"Elte",4,4,5,3,5,5,4
"Elte",5,5,5,3,2,4,3
"Elte",4,5,4,4,3,3,3
"Elte",4,5,5,2,4,3,4
"Elte",4,5,5,5,4,5,3
"Elte",4,4,4,4,3,4,2
"Elte",4,5,4,3,5,4,2
"Elte",3,5,3,4,5,4,3
"Elte",3,5,3,3,3,3,2
"Elte",2,5,5,4,5,2,2
"Elte",4,5,4,4,3,4,3
"Elte",3,4,4,3,5,2,3
"Elte",2,5,4,5,4,3,1
"Elte",2,5,3,2,4,3,4
"Miami",3,4,4,4,2,3,3
"Miami",1,1,1,4,4,4,2
"Miami",4,5,4,4,3,4,4
"Miami",4,4,2,3,2,2,2
"Miami",2,3,4,5,1,1,4
"Miami",4,5,5,2,3,3,5
"Miami",3,4,2,4,2,2,2
"Miami",4,4,2,4,4,2,4
"Miami",4,4,4,4,2,3,4
"Miami",4,4,5,1,1,4,4
"Miami",4,4,5,4,4,2,4
"Miami",3,4,4,3,3,2,3
"Miami",5,5,5,5,5,5,5
"Miami",4,5,2,4,3,2,2
"Miami",3,4,3,3,3,5,5
"Miami",4,4,4,4,2,4,4
"Miami",4,4,2,4,4,4,2
"Miami",2,4,2,3,5,2,2
"Miami",4,4,4,3,4,4,5
"Miami",5,5,4,2,3,3,2
"Miami",3,4,3,4,4,3,4
"Miami",2,3,2,4,5,4,4
"Miami",5,4,4,3,4,4,5
"Miami",2,4,4,4,3,4,5
"Miami",1,4,3,4,2,4,4
"Miami",5,5,4,4,2,3,2
"Miami",4,5,4,4,2,3,4
"Miami",4,5,5,4,2,4,4
"Miami",4,4,4,4,3,2,4
"Miami",2,5,4,4,3,2,4
"Miami",4,4,3,3,2,4,3
"Miami",2,4,3,2,4,2,5
"Miami",3,4,4,5,4,4,4
"Miami",2,4,4,4,2,2,2
"Miami",5,5,5,2,3,2,4
"Miami",3,5,4,5,2,5,4
"Miami",3,5,5,5,3,5,5
"Miami",4,5,4,4,4,4,5
"Miami",4,5,5,4,3,3,3
"Miami",3,2,4,2,2,2,4
"Miami",4,4,2,2,4,2,2
"Miami",2,4,1,3,3,1,2
"Miami",4,5,3,2,2,1,3
"Miami",3,4,4,3,3,3,4
"Miami",1,2,2,2,4,1,2
"Miami",3,2,5,2,4,2,3
"Miami",4,3,5,5,2,2,2
"Miami",2,3,3,4,3,2,3
"Miami",4,2,4,4,4,3,2
"Miami",1,5,2,2,4,1,4
"Miami",4,4,4,3,2,3,4
"Miami",5,4,5,4,3,3,5
"Miami",2,5,4,4,1,3,4
"Miami",5,3,5,5,4,3,4
"Miami",2,5,2,3,3,4,2
"Miami",4,5,4,3,5,2,5
"Miami",4,5,4,5,4,4,2
"Miami",4,3,5,4,5,3,4
"Miami",4,5,4,5,1,5,4
"Miami",4,2,1,4,5,1,1
"Miami",4,5,5,1,2,1,2
"Miami",5,5,5,5,4,5,5
"Miami",3,4,5,4,3,4,4
"Miami",3,4,2,4,3,4,3
"Miami",2,4,3,2,3,2,2
"Miami",3,4,4,2,2,2,4
"Miami",4,5,5,4,3,4,5
"Miami",2,4,4,4,2,2,4
"Miami",3,5,4,5,4,4,2
"Miami",3,3,3,3,3,3,3
"Miami",5,4,5,4,4,4,5
"Miami",4,3,4,3,3,2,4
"Winchester",3,5,4,4,3,4,3
"Winchester",5,5,4,4,2,2,4
"Winchester",4,5,5,4,4,4,4
"Winchester",3,4,3,2,3,4,2
"Winchester",4,5,5,2,4,2,4
"Winchester",4,4,2,2,4,4,4
"Winchester",1,4,4,2,2,4,5
"Winchester",4,4,3,2,4,3,4
"Winchester",2,4,4,2,4,2,4
"Winchester",4,3,3,4,3,3,3
"Winchester",3,3,4,2,4,2,4
"Winchester",4,5,4,4,2,5,4
"Winchester",2,3,2,3,4,1,2
"Winchester",2,4,4,5,2,3,4
"Winchester",2,4,3,4,4,4,4
"Winchester",5,5,4,4,1,4,4
"Winchester",2,5,5,5,2,4,5
"Winchester",2,5,4,4,3,4,3
"Winchester",3,4,5,4,4,3,3
"Winchester",2,4,3,3,3,3,4
"Winchester",2,3,4,1,1,2,4
"Winchester",4,5,4,2,3,2,4
"Winchester",4,4,3,4,4,4,3
"Winchester",2,4,4,4,4,2,4
"Winchester",4,2,4,3,2,3,4
"Winchester",2,5,2,4,4,4,2
"Winchester",4,4,3,4,4,4,3
"Winchester",3,4,4,3,1,2,4
"Winchester",2,4,4,2,4,2,4
"Winchester",3,4,4,4,2,4,3
"Winchester",5,2,4,4,3,5,4
"Winchester",1,4,5,4,5,4,3
"Winchester",2,3,2,2,4,2,3
"Winchester",3,4,4,2,2,3,4
"Winchester",2,4,4,3,2,2,3
"Winchester",5,5,4,4,5,5,4
"Winchester",4,4,5,4,3,4,5
"Winchester",4,4,5,5,3,3,5
"Winchester",4,5,5,5,2,5,5
"Winchester",5,4,5,3,2,2,4
"Winchester",4,5,4,4,2,4,4
"Winchester",4,4,4,2,4,4,4
"Winchester",2,4,4,2,2,4,4
"Winchester",4,4,4,2,2,2,4
"Winchester",4,4,5,4,2,5,4
"Winchester",4,4,3,4,1,4,3
"Winchester",4,4,3,4,4,3,4
"Winchester",3,4,4,4,3,2,4
"Winchester",5,5,5,5,3,5,5
"Winchester",4,5,3,4,4,4,2
"Winchester",4,5,4,4,1,3,4
"Winchester",2,4,2,4,5,4,3
"Winchester",5,5,5,5,3,5,5
"Winchester",3,4,2,4,5,4,1
"Winchester",3,3,2,5,3,4,3
"Winchester",4,5,5,4,4,2,4
"Winchester",3,4,1,3,4,3,2
"Winchester",4,5,4,5,4,4,5
"Winchester",3,4,4,4,3,3,2
"Winchester",4,4,4,4,4,4,4
"Winchester",4,4,4,4,1,4,4
"Winchester",4,4,5,4,4,2,4
"Winchester",3,3,3,1,4,1,2
"Winchester",4,4,4,5,4,4,4
"Winchester",4,4,4,2,2,2,4
"Winchester",4,4,3,4,3,3,2
"Winchester",4,4,5,4,2,4,4
"Winchester",4,4,5,4,4,4,4
"Winchester",4,2,4,4,4,3,4
"Winchester",4,5,4,4,3,4,4
"Winchester",4,4,3,4,4,3,4
