"g","imaginedexplicit1","imaginedexplicit2","imaginedexplicit3","imaginedexplicit4"
"pi      ",5,7,7,7
"pi      ",6,6,8,4
"pi      ",6,8,8,8
"pi      ",6,6,7,7
"pi      ",4,5,6,8
"pi      ",5,3,3,7
"pi      ",5,6,4,6
"pi      ",5,3,7,7
"pi      ",5,5,6,8
"pi      ",9,5,9,9
"pi      ",5,6,6,9
"pi      ",5,5,5,8
"pi      ",5,6,5,9
"pi      ",7,7,7,9
"pi      ",5,2,5,2
"pi      ",6,6,4,7
"pi      ",2,2,2,2
"pi      ",6,4,6,8
"pi      ",3,3,3,5
"pi      ",5,3,6,3
"pi      ",5,3,5,5
"pi      ",5,4,5,3
"pi      ",5,3,5,9
"pi      ",3,2,2,8
"pi      ",7,6,9,9
"pi      ",6,5,6,1
"pi      ",5,5,6,8
"pi      ",7,7,7,5
"pi      ",5,2,4,2
"pi      ",5,5,1,9
"pi      ",5,5,9,9
"pi      ",5,5,5,6
"pi      ",1,2,2,3
"pi      ",3,3,5,2
"pi      ",8,8,9,9
"pi      ",3,3,3,2
"pi      ",7,8,6,9
"pi      ",4,2,4,2
"pi      ",9,7,9,9
"pi      ",7,7,8,9
"pi      ",4,4,3,9
"pi      ",5,4,4,4
"pi      ",9,6,9,3
"pi      ",5,6,8,3
"pi      ",5,6,6,8
"pi      ",3,2,2,4
"pi      ",5,9,9,9
"pi      ",5,5,4,1
"pi      ",8,8,9,9
"pi      ",6,7,8,9
"pi      ",9,5,5,5
"pi      ",7,5,7,6
"pi      ",4,5,7,3
"pi      ",1,1,1,5
"pi      ",9,1,6,9
"pi      ",4,5,8,5
"pi      ",6,6,8,9
"pi      ",5,7,7,9
"pi      ",9,9,9,9
"pi      ",5,2,5,1
"pi      ",5,3,5,2
"pi      ",5,6,8,9
"pi      ",5,3,5,5
"pi      ",5,5,5,8
"pi      ",5,2,5,9
"pi      ",5,3,3,2
"pi      ",6,6,6,6
"pi      ",5,3,6,7
"pi      ",5,3,3,1
"pi      ",3,1,4,7
"pi      ",1,1,1,1
"pi      ",4,2,1,1
"pi      ",9,4,9,3
"pi      ",5,5,6,NA
"pi      ",7,6,8,7
"pi      ",4,4,6,7
"pi      ",6,5,7,6
"pi      ",5,5,9,9
"pi      ",4,5,5,2
"pi      ",7,6,5,7
"pi      ",9,9,9,9
"pi      ",5,5,8,9
"pi      ",6,3,6,7
"pi      ",9,6,9,9
"pi      ",2,3,5,6
"pi      ",8,3,6,9
"pi      ",9,9,9,9
"pi      ",4,3,5,2
"pi      ",1,3,3,9
"pi      ",5,5,7,9
"pi      ",2,3,7,7
"pi      ",3,3,1,1
"pi      ",4,6,7,7
"pi      ",7,4,7,9
"pi      ",6,7,7,9
"pi      ",6,6,6,5
"pi      ",5,3,6,6
"pi      ",6,6,9,6
"pi      ",9,7,8,7
"pi      ",5,9,5,9
"pi      ",5,5,9,5
"pi      ",1,4,6,1
"pi      ",5,6,8,5
"pi      ",7,4,7,8
"pi      ",6,5,3,6
"pi      ",4,7,4,9
"pi      ",6,6,6,8
"pi      ",7,7,9,9
"pi      ",6,3,6,8
"pi      ",1,4,5,5
"pi      ",5,7,7,9
"pi      ",5,2,5,7
"pi      ",6,6,8,8
"pi      ",7,6,8,8
"pi      ",5,2,3,3
"pi      ",5,6,6,6
"pi      ",5,5,5,3
"pi      ",9,9,9,9
"pi      ",6,5,3,6
"pi      ",9,7,9,9
"pi      ",4,2,3,7
"pi      ",5,5,2,7
"pi      ",3,1,5,1
"pi      ",5,2,7,9
"pi      ",9,8,9,5
"pi      ",3,3,5,9
"pi      ",7,9,9,6
"pi      ",9,9,9,9
"pi      ",7,7,7,5
"pi      ",3,3,3,7
"pi      ",7,9,9,9
"pi      ",7,8,8,7
"pi      ",6,6,8,8
"pi      ",6,5,7,8
"pi      ",7,1,8,1
"pi      ",4,3,5,5
"pi      ",3,4,3,1
"pi      ",6,6,9,8
"pi      ",7,6,8,5
"pi      ",9,5,9,9
"pi      ",3,5,6,8
"pi      ",5,3,5,6
"pi      ",5,1,7,5
"pi      ",5,5,5,9
"pi      ",7,7,9,9
"pi      ",5,6,6,7
"pi      ",1,3,4,6
"pi      ",5,5,5,3
"pi      ",4,6,7,4
"pi      ",3,3,3,4
"pi      ",5,6,5,7
"pi      ",5,6,7,9
"pi      ",8,6,9,9
"pi      ",7,9,9,9
"pi      ",5,5,6,5
"pi      ",3,2,1,1
"pi      ",7,4,5,5
"pi      ",1,1,1,1
"pi      ",6,6,6,7
"pi      ",1,5,2,1
"pi      ",7,7,9,9
"pi      ",5,3,8,9
"pi      ",5,3,1,1
"pi      ",9,5,5,1
"pi      ",5,5,3,1
"pi      ",4,4,6,9
"pi      ",7,7,6,8
"pi      ",5,6,5,4
"pi      ",9,9,9,8
"pi      ",5,6,5,3
"pi      ",4,6,5,5
"pi      ",4,2,5,6
"pi      ",9,5,9,1
"pi      ",5,5,5,8
"pi      ",3,1,3,4
"pi      ",3,4,5,3
"pi      ",3,1,4,4
"pi      ",5,NA,5,2
"pi      ",6,6,6,5
"pi      ",9,9,9,3
"pi      ",5,4,4,7
"pi      ",6,6,9,1
"pi      ",5,2,3,5
"pi      ",5,2,9,9
"pi      ",4,6,6,6
"pi      ",5,6,7,4
"pi      ",7,9,7,3
"pi      ",5,5,5,5
"pi      ",5,4,8,5
"pi      ",5,5,5,5
"pi      ",4,3,5,6
"pi      ",9,5,5,1
"pi      ",9,7,9,9
"pi      ",3,3,3,2
"pi      ",5,3,6,7
"pi      ",5,3,1,1
"pi      ",7,4,4,2
"pi      ",1,1,2,3
"pi      ",4,1,1,1
"pi      ",9,8,7,9
"pi      ",9,4,9,9
"pi      ",8,7,9,9
"pi      ",5,5,7,8
"pi      ",3,3,7,7
"pi      ",4,4,7,1
"pi      ",6,7,9,9
"pi      ",7,7,7,9
"pi      ",6,4,1,1
"pi      ",9,9,9,9
"pi      ",9,6,9,9
"pi      ",5,3,3,1
"pi      ",9,9,9,9
"pi      ",7,9,9,3
"pi      ",5,5,7,7
"pi      ",4,4,4,5
"pi      ",6,3,6,4
"pi      ",3,2,3,8
"pi      ",5,4,6,4
"pi      ",9,9,9,9
"pi      ",3,2,2,1
"pi      ",7,7,9,7
"pi      ",5,5,4,2
"pi      ",6,3,7,5
"pi      ",3,3,3,7
"pi      ",5,5,5,9
"pi      ",5,5,5,7
"pi      ",5,6,6,8
"pi      ",5,5,7,7
"pi      ",7,7,9,9
"pi      ",5,5,6,4
"pi      ",9,7,8,9
"pi      ",4,4,4,5
"pi      ",4,6,6,7
"pi      ",5,6,6,7
"pi      ",3,3,7,7
"pi      ",6,5,5,7
"pi      ",3,2,4,8
"pi      ",2,1,2,1
"pi      ",9,9,9,9
"pi      ",9,4,9,9
"pi      ",7,4,9,8
"pi      ",5,5,6,6
"pi      ",7,7,7,5
"pi      ",4,4,5,7
"pi      ",1,1,1,5
"pi      ",6,3,5,4
"pi      ",3,3,6,5
"pi      ",5,7,5,9
"pi      ",5,1,1,1
"pi      ",5,6,5,6
"pi      ",5,4,4,4
"pi      ",4,3,8,7
"pi      ",5,5,5,2
"pi      ",1,1,1,1
"pi      ",3,6,6,7
"pi      ",5,7,7,7
"pi      ",5,7,7,9
"pi      ",6,7,7,9
"pi      ",2,3,3,1
"pi      ",5,5,6,5
"pi      ",9,6,7,4
"pi      ",6,6,7,1
"pi      ",6,1,1,4
"pi      ",4,2,5,9
"pi      ",3,3,3,9
"pi      ",5,2,5,1
"pi      ",5,6,4,3
"pi      ",8,6,8,9
"pi      ",1,2,6,3
"pi      ",5,5,5,5
"pi      ",6,6,5,9
"pi      ",5,7,6,8
"pi      ",4,4,4,3
"pi      ",4,3,4,6
"pi      ",1,1,1,1
"pi      ",9,9,9,9
"pi      ",5,4,6,2
"pi      ",5,3,5,6
"pi      ",3,2,3,2
"pi      ",5,1,5,4
"pi      ",5,6,9,9
"pi      ",5,4,5,7
"pi      ",5,2,2,7
"pi      ",5,6,8,9
"pi      ",7,4,8,9
"pi      ",5,4,6,9
"pi      ",9,8,9,8
"pi      ",3,4,6,9
"pi      ",3,5,6,9
"pi      ",2,4,3,7
"pi      ",9,8,9,9
"pi      ",5,6,5,7
"pi      ",9,7,7,9
"pi      ",5,5,5,7
"pi      ",7,8,8,9
"pi      ",5,6,5,5
"pi      ",9,5,9,7
"pi      ",2,1,1,1
"pi      ",5,6,7,9
"pi      ",4,1,1,1
"pi      ",9,6,9,9
"pi      ",5,1,2,9
"pi      ",9,5,9,9
"pi      ",5,6,6,5
"pi      ",3,1,2,3
"pi      ",5,3,3,5
"pi      ",5,6,8,6
"pi      ",4,1,9,9
"pi      ",5,5,5,5
"pi      ",4,3,7,6
"pi      ",9,8,8,8
"pi      ",5,5,7,8
"pi      ",5,5,7,5
"pi      ",4,4,6,3
"pi      ",5,3,5,7
"pi      ",2,2,5,9
"pi      ",1,1,1,1
"pi      ",5,2,5,2
"pi      ",9,6,9,9
"pi      ",4,2,3,1
"pi      ",5,5,4,7
"pi      ",5,3,7,6
"pi      ",1,1,1,1
"pi      ",9,7,9,9
"pi      ",3,5,4,1
"pi      ",4,2,5,2
"pi      ",6,6,7,9
"pi      ",5,7,6,6
"pi      ",5,6,7,4
"pi      ",5,4,5,6
"pi      ",9,5,9,5
"pi      ",5,5,1,1
"pi      ",3,3,9,8
"pi      ",6,6,6,9
"pi      ",4,5,6,7
"pi      ",9,5,8,9
"pi      ",2,1,1,1
"pi      ",5,5,7,9
"pi      ",9,7,5,9
"pi      ",1,1,1,2
"pi      ",3,1,1,1
"pi      ",9,9,9,9
"pi      ",2,2,2,8
"pi      ",3,2,3,3
"pi      ",5,5,5,6
"pi      ",7,7,8,9
"pi      ",5,5,5,7
"pi      ",6,3,4,7
"pi      ",5,5,3,1
"pi      ",1,1,1,1
"pi      ",7,7,8,9
"pi      ",4,5,5,6
"pi      ",5,3,5,3
"pi      ",4,5,6,7
"pi      ",4,5,4,4
"pi      ",2,2,3,8
"pi      ",2,3,3,5
"pi      ",5,4,6,6
"pi      ",6,5,9,9
"pi      ",7,3,6,5
"pi      ",6,3,6,7
"pi      ",2,9,1,1
"pi      ",1,3,7,4
"pi      ",5,3,5,6
"pi      ",5,5,8,5
"pi      ",5,3,5,2
"pi      ",2,1,3,2
"pi      ",4,4,5,8
"pi      ",2,3,5,7
"pi      ",5,6,5,6
"pi      ",5,3,5,6
"pi      ",3,3,5,9
"pi      ",3,4,3,9
"pi      ",6,5,7,5
"pi      ",7,5,5,2
"pi      ",9,5,9,9
"pi      ",3,2,3,1
"pi      ",6,6,6,7
"pi      ",6,8,8,7
"pi      ",1,1,1,9
"pi      ",7,7,7,7
"pi      ",7,6,8,5
"pi      ",7,6,9,7
"pi      ",9,2,9,9
"pi      ",4,5,5,9
"pi      ",5,3,5,8
"pi      ",7,3,5,9
"pi      ",2,2,5,2
"pi      ",4,2,5,9
"pi      ",2,1,3,2
"pi      ",1,1,1,3
"pi      ",1,1,5,1
"pi      ",9,9,9,9
"pi      ",1,3,3,5
"pi      ",7,6,8,9
"pi      ",5,4,5,7
"pi      ",5,5,5,7
"pi      ",5,5,6,5
"pi      ",5,5,9,9
"pi      ",5,3,8,7
"pi      ",5,3,5,3
"pi      ",5,1,4,5
"pi      ",4,4,4,6
"pi      ",5,5,5,1
"pi      ",7,7,8,9
"pi      ",1,3,3,3
"pi      ",6,3,9,9
"pi      ",5,5,7,7
"pi      ",5,3,5,9
"pi      ",7,7,7,9
"pi      ",5,2,7,6
"pi      ",7,7,5,6
"pi      ",6,3,9,9
"pi      ",6,5,6,9
"pi      ",9,5,9,9
"pi      ",2,2,3,2
"pi      ",9,7,9,9
"pi      ",5,5,9,9
"pi      ",1,1,1,1
"pi      ",3,1,3,6
"pi      ",2,2,3,4
"pi      ",7,7,7,9
"pi      ",1,4,3,3
"pi      ",7,5,5,6
"pi      ",5,2,9,8
"pi      ",5,3,5,9
"pi      ",4,2,5,9
"pi      ",5,3,5,5
"pi      ",5,5,5,7
"pi      ",4,4,4,5
"pi      ",2,2,4,2
"pi      ",7,6,7,9
"pi      ",4,8,9,9
"pi      ",5,5,7,5
"pi      ",7,2,6,3
"pi      ",5,7,5,3
"pi      ",1,1,3,1
"pi      ",9,3,9,5
"pi      ",9,6,9,3
"pi      ",5,2,7,1
"pi      ",4,4,9,4
"pi      ",6,7,9,9
"pi      ",7,7,7,5
"pi      ",8,8,9,9
"pi      ",2,3,9,7
"pi      ",6,7,7,9
"pi      ",5,5,5,7
"pi      ",6,6,7,9
"pi      ",9,2,5,2
"pi      ",3,1,4,2
"pi      ",7,7,9,9
"pi      ",3,5,1,3
"pi      ",8,6,7,9
"pi      ",1,1,2,2
"pi      ",5,5,4,5
"pi      ",5,5,5,4
"pi      ",4,3,3,3
"pi      ",5,6,7,8
"pi      ",2,2,2,2
"pi      ",7,8,7,7
"pi      ",2,5,2,1
"pi      ",1,2,1,1
"pi      ",5,3,1,4
"pi      ",9,7,4,9
"pi      ",5,3,5,5
"pi      ",7,7,7,3
"pi      ",4,3,7,6
"pi      ",6,4,9,9
"pi      ",3,4,3,9
"pi      ",3,3,7,2
"pi      ",5,2,4,6
"pi      ",6,4,9,9
"pi      ",7,8,9,9
"tamuc   ",7,6,6,8
"pi      ",7,5,6,9
"pi      ",5,5,9,9
"pi      ",1,4,1,1
"pi      ",6,7,7,9
"pi      ",4,4,4,8
"pi      ",9,9,9,9
"mcdaniel",3,4,5,6
"pi      ",8,2,5,9
"pi      ",7,5,5,4
"pi      ",7,4,7,9
"pi      ",1,2,3,9
"pi      ",9,9,8,9
"pi      ",8,5,5,4
"pi      ",7,6,9,9
"mcdaniel",5,5,3,2
"pi      ",5,5,5,9
"tamuc   ",7,5,4,4
"tamuc   ",5,2,5,7
"pi      ",6,3,7,1
"pi      ",3,3,7,7
"pi      ",7,8,9,9
"pi      ",5,7,5,9
"pi      ",5,3,7,6
"pi      ",4,6,7,7
"mcdaniel",6,6,9,9
"pi      ",1,1,1,1
"pi      ",5,6,9,9
"pi      ",6,3,9,9
"pi      ",5,2,5,1
"pi      ",2,3,3,7
"mcdaniel",3,2,2,3
"mcdaniel",5,5,5,4
"pi      ",5,5,5,9
"pi      ",1,3,1,5
"pi      ",5,4,6,8
"pi      ",6,5,5,2
"pi      ",5,4,5,3
"pi      ",2,3,1,1
"pi      ",6,7,9,9
"pi      ",1,1,1,1
"pi      ",2,4,4,4
"pi      ",5,5,6,3
"pi      ",7,9,9,9
"pi      ",5,3,6,6
"pi      ",8,5,7,1
"pi      ",6,3,6,9
