"g","imaginedexplicit1","imaginedexplicit2","imaginedexplicit3","imaginedexplicit4"
"pi      ",7,6,9,9
"pi      ",2,5,3,1
"mcdaniel",4,1,4,1
"mcdaniel",5,3,6,7
"pi      ",6,5,5,7
"pi      ",5,4,5,6
"pi      ",9,7,8,9
"pi      ",3,5,3,2
"pi      ",7,4,7,5
"pi      ",5,2,2,1
"pi      ",5,3,6,4
"pi      ",5,5,7,9
"pi      ",4,2,9,2
"pi      ",7,6,9,9
"pi      ",7,1,5,4
"pi      ",5,5,5,7
"mcdaniel",1,1,4,1
"pi      ",4,5,6,9
"pi      ",9,3,9,1
"pi      ",5,6,5,9
"pi      ",1,1,1,1
"pi      ",3,2,3,1
"pi      ",2,3,5,2
"brasilia",1,2,3,1
"pi      ",3,1,5,1
"pi      ",5,5,5,9
"pi      ",7,5,9,9
"pi      ",9,6,9,9
"pi      ",5,3,7,9
"pi      ",3,2,7,2
"mcdaniel",5,5,5,5
"pi      ",6,6,6,9
"brasilia",5,4,4,3
"pi      ",5,4,6,9
"mcdaniel",2,2,4,4
"pi      ",3,4,4,6
"pi      ",4,1,4,4
"pi      ",9,1,6,9
"pi      ",5,7,8,7
"pi      ",9,1,7,1
"pi      ",9,6,9,8
"pi      ",5,6,7,6
"pi      ",9,1,9,9
"pi      ",5,3,5,9
"mcdaniel",5,6,6,4
"pi      ",5,7,9,9
"pi      ",9,9,9,9
"pi      ",1,1,1,1
"pi      ",8,5,5,8
"pi      ",6,5,9,9
"pi      ",5,2,5,5
"pi      ",9,3,5,9
"pi      ",7,8,9,9
"pi      ",8,7,8,8
"pi      ",5,3,7,8
"pi      ",5,2,8,4
"mcdaniel",5,5,6,4
"pi      ",5,4,7,3
"pi      ",5,4,2,9
"pi      ",8,5,6,6
"pi      ",1,1,5,9
"pi      ",5,6,6,2
"pi      ",7,7,7,9
"pi      ",7,6,7,6
"pi      ",7,7,9,9
"pi      ",6,6,8,5
"pi      ",5,5,5,3
"pi      ",1,1,1,1
"pi      ",9,1,9,1
"pi      ",9,1,3,6
"pi      ",5,5,5,6
"pi      ",5,4,6,9
"pi      ",3,3,1,9
"pi      ",5,2,5,1
"pi      ",5,6,5,7
"pi      ",5,5,5,4
"pi      ",3,4,4,2
"pi      ",5,6,8,9
"pi      ",4,2,9,5
"pi      ",5,5,5,8
"pi      ",6,6,5,9
"pi      ",5,2,5,6
"pi      ",6,5,9,4
"pi      ",2,1,1,1
"pi      ",3,2,3,2
"pi      ",4,3,6,5
"pi      ",2,4,5,1
"pi      ",4,1,5,5
"pi      ",7,6,7,7
"pi      ",4,1,4,3
"pi      ",1,1,1,1
"pi      ",5,5,5,5
"pi      ",7,6,7,7
"mcdaniel",7,5,7,8
"pi      ",7,5,7,1
"mcdaniel",2,2,4,7
"brasilia",5,5,5,5
"mcdaniel",5,6,8,9
"pi      ",3,1,2,3
"pi      ",9,6,9,9
"mcdaniel",5,6,7,5
"pi      ",7,1,5,5
"pi      ",5,1,5,9
"pi      ",6,5,7,7
"pi      ",4,2,4,2
"mcdaniel",5,5,5,3
"pi      ",1,1,1,1
"pi      ",4,2,4,5
"pi      ",5,3,5,3
"pi      ",5,5,8,9
"mcdaniel",4,3,8,9
"pi      ",5,7,7,9
"pi      ",8,7,8,8
"pi      ",4,6,5,2
"pi      ",7,9,7,9
"pi      ",5,6,6,6
"pi      ",6,6,8,7
"pi      ",5,6,5,1
"pi      ",2,3,5,5
"pi      ",9,7,5,5
"pi      ",9,7,6,8
"pi      ",3,4,5,9
"tamuc   ",5,2,9,9
"tamuc   ",5,5,7,5
"pi      ",3,3,4,7
"abington",3,1,5,2
"pi      ",4,1,3,1
"abington",6,2,5,9
"abington",4,4,6,7
"abington",5,4,7,5
"tamuc   ",3,2,5,2
"tamuc   ",5,1,5,3
"wl      ",7,7,9,9
"abington",9,5,1,9
"abington",9,6,9,8
"abington",4,3,5,3
"abington",4,3,4,3
"tamuc   ",6,5,5,6
"tamuc   ",9,7,9,9
"abington",5,3,3,9
"tamuc   ",9,6,9,9
"mturk   ",5,1,1,4
"mturk   ",7,6,8,9
"mturk   ",5,4,4,2
"mturk   ",3,2,2,2
"mturk   ",5,5,5,5
"mturk   ",1,3,1,1
"mturk   ",5,4,5,6
"abington",1,1,1,1
"abington",9,5,9,8
"abington",5,4,5,9
"abington",6,1,9,1
"mturk   ",2,1,1,1
"abington",6,3,7,3
"pi      ",5,5,5,9
"tamuc   ",5,5,5,4
"tamuc   ",2,5,5,5
"mturk   ",7,5,5,4
"abington",4,6,6,5
"abington",6,2,5,1
"abington",5,5,5,8
"abington",4,2,5,2
"abington",2,2,5,8
"abington",2,3,2,3
"mturk   ",5,4,5,5
"pi      ",5,4,7,8
"tamuc   ",2,1,1,1
"mturk   ",5,5,7,5
"mturk   ",9,9,6,9
"mturk   ",5,6,7,9
"mturk   ",5,5,5,1
"mturk   ",5,5,5,9
"mturk   ",5,1,5,1
"mturk   ",4,2,2,1
"mturk   ",3,1,3,7
"mturk   ",1,2,3,1
"mturk   ",5,7,5,6
"mturk   ",6,1,5,1
"mturk   ",5,5,5,1
"mturk   ",3,2,8,1
"mturk   ",6,8,8,8
"mturk   ",8,5,9,7
"mturk   ",2,3,7,5
"mturk   ",1,5,4,1
"mturk   ",1,9,1,1
"pi      ",7,7,9,9
"mturk   ",5,3,6,2
"mturk   ",5,7,6,1
"mturk   ",1,1,1,1
"mturk   ",3,1,3,3
"tamuc   ",2,2,9,9
"mturk   ",9,5,5,6
"mturk   ",2,1,5,1
"mturk   ",5,3,5,6
"mturk   ",1,2,2,1
"mturk   ",4,2,5,3
"mturk   ",8,1,8,1
"mturk   ",1,1,1,1
"mturk   ",5,2,5,1
"mturk   ",1,3,5,9
"mturk   ",5,2,5,2
"mturk   ",6,4,6,6
"mturk   ",4,2,4,6
"mturk   ",6,3,7,3
"mturk   ",2,1,1,2
"mturk   ",4,5,5,4
"mturk   ",5,2,1,2
"mturk   ",1,2,1,1
"mturk   ",5,3,4,1
"mturk   ",2,3,5,5
"mturk   ",5,4,3,1
"mturk   ",4,4,1,3
"mturk   ",5,5,5,2
"mturk   ",5,1,1,1
"mturk   ",5,3,3,1
"mturk   ",5,4,7,9
"mturk   ",5,2,3,1
"mturk   ",5,5,5,5
"mturk   ",5,7,9,4
"mturk   ",5,5,5,5
"mturk   ",5,2,5,1
"mturk   ",5,5,5,8
"mturk   ",2,2,3,2
"mturk   ",3,4,7,5
"mturk   ",5,5,6,6
"mturk   ",5,2,1,2
"mturk   ",1,2,2,1
"mturk   ",6,6,7,7
"mturk   ",6,6,5,6
"mturk   ",5,4,6,7
"mturk   ",6,6,7,5
"mturk   ",3,1,3,4
"mturk   ",5,3,5,3
"mturk   ",4,4,5,1
"mturk   ",5,3,5,4
"mturk   ",4,5,5,3
"mturk   ",2,1,1,1
"mturk   ",4,3,4,4
"mturk   ",5,1,5,1
"mturk   ",1,1,1,2
"mturk   ",5,7,5,5
"mturk   ",8,4,5,6
"mturk   ",4,4,8,9
"mturk   ",5,7,9,1
"mturk   ",5,1,4,1
"mturk   ",6,1,5,1
"mturk   ",5,1,5,1
"mturk   ",5,3,6,2
"mturk   ",5,5,5,1
"mturk   ",5,5,6,5
"mturk   ",6,7,5,2
"mturk   ",5,2,4,3
"mturk   ",2,1,1,4
"pi      ",5,4,7,9
"mturk   ",2,1,1,1
"mturk   ",8,4,5,1
"mturk   ",1,7,2,1
"tamuc   ",3,5,5,7
"mturk   ",4,4,5,5
"mturk   ",4,1,7,2
"mturk   ",3,1,5,2
"pi      ",9,9,9,9
"tamuc   ",4,3,3,2
"pi      ",5,3,5,1
"pi      ",3,2,5,9
"tamuc   ",4,7,1,3
"pi      ",5,3,3,7
"mturk   ",1,1,1,1
"pi      ",5,5,7,7
"mturk   ",5,1,5,5
"mcdaniel",5,4,6,6
"mturk   ",1,1,1,1
"mturk   ",7,4,6,7
"mturk   ",6,5,6,5
"mturk   ",4,4,4,4
"pi      ",3,2,7,9
"mturk   ",3,2,1,1
"abington",5,3,5,1
"abington",3,1,4,3
"mturk   ",5,1,5,1
"mturk   ",4,4,4,2
"mturk   ",7,5,7,6
"mturk   ",4,1,1,1
"mturk   ",7,6,7,4
"pi      ",9,6,5,9
"mturk   ",4,5,3,4
"mturk   ",1,6,1,2
"pi      ",5,3,8,7
"mturk   ",5,5,5,7
"mturk   ",9,9,9,9
"mturk   ",7,7,7,7
"mturk   ",7,5,6,9
"mturk   ",9,5,8,9
"mturk   ",5,4,5,5
"mturk   ",3,1,3,4
"mturk   ",6,3,4,2
"mturk   ",4,2,3,3
"mturk   ",5,7,9,9
"mturk   ",1,1,1,1
"mturk   ",9,9,9,1
"mturk   ",5,4,5,5
"mturk   ",9,7,9,7
"mturk   ",1,1,1,1
"mcdaniel",3,2,4,5
"mturk   ",3,3,2,1
"mturk   ",7,8,8,7
"mturk   ",6,1,9,6
"abington",7,5,5,9
"mturk   ",3,2,4,5
"abington",7,5,7,5
"mturk   ",5,5,5,5
"mturk   ",5,2,5,1
"mturk   ",5,5,5,5
"mturk   ",5,4,5,6
"mturk   ",2,1,1,1
"mturk   ",7,5,6,4
"mturk   ",1,1,1,1
"mturk   ",4,1,5,1
"abington",8,2,6,1
"mturk   ",3,1,1,1
"pi      ",7,5,2,2
"mturk   ",5,5,7,4
"mturk   ",4,1,4,1
"mturk   ",5,4,5,6
"abington",2,1,4,4
"mturk   ",6,4,9,9
"mturk   ",6,6,7,8
"mturk   ",1,1,1,1
"mturk   ",3,1,4,1
"mturk   ",5,3,5,1
"abington",5,2,2,9
"pi      ",8,4,8,9
"pi      ",2,5,8,3
"abington",2,1,2,1
"pi      ",4,4,5,5
"pi      ",9,5,5,9
"pi      ",2,4,9,1
"pi      ",4,3,5,3
"pi      ",6,3,7,7
"pi      ",7,7,9,9
"pi      ",3,1,1,2
"pi      ",5,5,5,9
"pi      ",7,6,7,8
"pi      ",5,4,5,3
"pi      ",5,6,6,3
"pi      ",1,1,1,1
"pi      ",5,2,2,9
"pi      ",5,1,5,5
"mcdaniel",5,5,6,9
"pi      ",2,1,2,1
"pi      ",5,5,5,3
"pi      ",9,7,8,9
"pi      ",7,5,9,9
"pi      ",5,3,4,1
"pi      ",5,3,3,2
"pi      ",3,7,6,3
"pi      ",4,2,5,2
"mturk   ",2,1,3,1
"mturk   ",3,1,2,1
"mturk   ",7,4,8,2
"mturk   ",3,1,2,1
"mturk   ",7,6,6,6
"mturk   ",3,2,5,2
"mturk   ",6,6,6,5
"mturk   ",3,2,4,3
"mturk   ",4,1,1,1
"mturk   ",9,8,9,9
"mturk   ",5,5,8,9
"mturk   ",5,5,5,5
"mturk   ",5,5,5,1
"mturk   ",1,3,1,1
"mturk   ",2,1,2,1
"pi      ",5,2,9,2
"mturk   ",5,1,4,1
"mturk   ",3,5,5,1
"mturk   ",6,6,9,9
"mturk   ",5,1,2,1
"mturk   ",6,6,5,3
"mturk   ",1,1,1,1
"mturk   ",6,5,3,5
"mturk   ",4,3,4,9
"mturk   ",5,4,5,7
"mturk   ",1,1,1,1
"mturk   ",2,1,4,1
"mturk   ",3,1,1,1
"mturk   ",5,2,5,2
"mturk   ",1,1,1,1
"mturk   ",5,6,7,8
"mturk   ",3,3,3,2
"mturk   ",2,3,4,2
"mturk   ",7,5,7,7
"mturk   ",5,2,3,3
"mturk   ",5,8,5,5
"mturk   ",9,3,5,5
"mturk   ",7,4,6,6
"mturk   ",5,7,9,9
"mturk   ",1,1,1,1
"mturk   ",3,5,3,3
"mturk   ",5,1,1,1
"mturk   ",3,1,4,2
"mturk   ",6,4,5,6
"mturk   ",7,5,6,7
"mturk   ",3,3,5,4
"mturk   ",5,2,5,2
"mturk   ",5,1,5,5
"mturk   ",5,3,6,5
"mturk   ",1,1,1,1
"mturk   ",7,7,9,9
"mturk   ",7,8,7,4
"mturk   ",3,3,7,8
"mturk   ",3,3,4,1
"mturk   ",5,7,7,8
"mturk   ",5,7,5,7
"mturk   ",5,1,5,1
"mturk   ",1,1,1,1
"mturk   ",1,1,1,1
"mturk   ",7,4,7,8
"mturk   ",1,2,1,1
"mturk   ",5,7,5,9
"mturk   ",8,7,7,8
"mturk   ",3,4,5,5
"mturk   ",4,3,5,3
"mturk   ",9,1,5,1
"mturk   ",9,5,7,9
"mturk   ",7,5,7,5
"mturk   ",2,1,5,1
"mturk   ",5,2,4,3
"mturk   ",5,5,6,5
"mturk   ",4,4,5,2
"mturk   ",7,3,7,8
"mturk   ",2,2,1,1
"mturk   ",6,5,6,4
"mturk   ",6,4,6,3
"mturk   ",1,1,1,1
"mturk   ",7,1,8,8
"mturk   ",6,6,5,4
"mturk   ",3,2,2,5
"mturk   ",5,2,6,8
"mturk   ",3,6,5,1
"mturk   ",1,1,1,1
"mturk   ",5,2,4,2
"mturk   ",4,2,6,3
"mturk   ",5,6,6,5
"mturk   ",4,3,5,4
"mturk   ",1,1,1,1
"mturk   ",3,6,5,1
"mturk   ",7,5,7,3
"mturk   ",3,3,3,1
"mturk   ",5,7,5,5
"mturk   ",3,3,4,2
"mturk   ",5,3,7,9
"mturk   ",5,7,4,9
"mturk   ",5,3,2,2
"mturk   ",1,1,1,2
"mturk   ",1,4,1,1
"mturk   ",3,2,4,1
"mturk   ",5,3,7,3
"mturk   ",3,8,8,2
"mturk   ",5,3,4,4
"mturk   ",6,6,6,6
"mturk   ",8,2,2,2
"mturk   ",6,1,5,5
"mturk   ",6,5,6,3
"mturk   ",3,1,3,1
"mturk   ",2,2,2,1
"pi      ",5,2,5,9
"mturk   ",3,1,1,1
"mturk   ",7,3,6,5
"mturk   ",8,1,6,1
"mturk   ",6,3,5,5
"mturk   ",5,2,5,1
"mturk   ",3,1,2,1
"mturk   ",4,2,2,1
"mturk   ",2,4,5,3
"mturk   ",5,3,3,1
"mturk   ",6,6,6,3
"mturk   ",5,1,7,1
"mturk   ",5,6,3,1
"mturk   ",5,4,5,3
"mturk   ",5,2,5,1
"mturk   ",4,6,6,2
"abington",6,3,5,3
"abington",5,1,5,9
"abington",2,1,1,1
"mturk   ",1,1,1,1
"mturk   ",6,6,5,6
"abington",8,4,7,6
"abington",5,7,8,9
"abington",4,1,3,1
"abington",7,5,8,4
"pi      ",5,2,5,9
"mturk   ",4,4,3,5
"mturk   ",5,5,5,7
"mturk   ",4,3,5,7
"mturk   ",5,5,5,8
"mturk   ",7,2,7,5
"mturk   ",8,4,9,9
"mturk   ",2,1,1,1
"mturk   ",1,5,7,9
"mturk   ",9,8,9,5
"pi      ",5,6,7,2
"mturk   ",5,1,1,2
"mturk   ",2,2,2,2
"mturk   ",5,1,5,1
"mturk   ",5,2,5,2
"mturk   ",5,5,7,3
"abington",5,1,8,1
"abington",5,2,3,2
"mturk   ",3,2,1,1
"abington",5,5,8,4
"mturk   ",3,3,1,1
"abington",2,2,3,4
"abington",2,1,1,1
"mturk   ",2,2,2,2
"mturk   ",5,5,5,4
"mturk   ",1,2,2,5
"mturk   ",7,2,5,1
"mturk   ",3,2,7,9
"mturk   ",2,2,5,6
"mturk   ",7,3,7,5
"abington",6,3,6,5
"abington",2,2,5,2
"mturk   ",1,1,1,1
"abington",5,4,3,6
"abington",7,5,8,6
"abington",4,3,4,2
"mturk   ",3,1,1,1
"pi      ",3,2,7,1
"pi      ",5,6,7,8
"pi      ",3,2,3,1
"mturk   ",3,1,4,1
"mturk   ",3,5,3,2
"mturk   ",5,6,1,3
"mturk   ",5,6,7,7
"mturk   ",4,1,7,6
"mturk   ",1,3,7,3
"mturk   ",1,1,1,1
"mturk   ",5,3,4,3
"mturk   ",6,5,7,5
"mturk   ",7,4,5,6
"pi      ",5,5,9,9
"mturk   ",6,1,6,1
"mturk   ",4,4,3,2
"mturk   ",1,1,1,1
"mturk   ",3,3,5,7
"mturk   ",5,5,5,9
"mturk   ",5,4,4,6
"mturk   ",3,3,3,4
"pi      ",5,7,5,3
"mturk   ",2,2,3,9
"mturk   ",7,2,5,4
"mturk   ",6,6,7,6
"mturk   ",5,5,5,7
"mturk   ",5,6,7,9
"mturk   ",9,9,9,9
"mturk   ",5,2,5,2
"mturk   ",5,3,5,4
"mturk   ",7,5,6,4
"mturk   ",5,4,5,3
"mturk   ",5,1,5,9
"mturk   ",5,5,5,5
"mturk   ",4,1,5,1
"mturk   ",5,6,5,3
"mturk   ",4,3,3,6
"mturk   ",2,1,4,1
"mturk   ",5,5,7,7
"mturk   ",3,1,1,1
"mturk   ",5,3,5,5
"mturk   ",6,5,6,1
"mturk   ",5,2,5,2
"mturk   ",6,4,5,3
"mturk   ",6,1,5,1
"mturk   ",4,1,1,1
"mturk   ",5,5,5,7
"mturk   ",9,1,9,4
"mturk   ",9,8,9,4
"mturk   ",1,1,5,5
"mturk   ",5,3,7,5
"mturk   ",5,3,4,3
"mturk   ",9,1,4,1
"mturk   ",6,5,6,4
"mturk   ",4,5,4,4
"abington",9,7,7,9
"abington",3,2,2,1
"abington",4,1,5,2
"mturk   ",2,3,2,1
"abington",4,2,2,6
"abington",3,1,3,1
"abington",5,6,5,5
"abington",6,6,6,5
"ithaca  ",5,3,5,7
"pi      ",3,1,5,7
"pi      ",9,2,9,4
"pi      ",2,3,6,9
"pi      ",1,1,1,1
"pi      ",5,5,5,6
"pi      ",1,1,1,1
"pi      ",4,2,1,1
"pi      ",3,4,9,9
"pi      ",5,4,9,7
"pi      ",5,5,7,6
"pi      ",4,3,3,7
"pi      ",9,5,9,9
"pi      ",8,7,9,9
"pi      ",4,2,7,2
"pi      ",5,6,5,6
"pi      ",5,3,3,6
"pi      ",4,2,6,6
"pi      ",6,2,8,5
"pi      ",5,7,9,6
"pi      ",5,3,5,1
"pi      ",4,7,7,9
"pi      ",6,6,9,9
"pi      ",4,4,6,4
"pi      ",3,2,4,2
"pi      ",3,1,2,2
"pi      ",1,1,1,9
"pi      ",3,2,3,2
"pi      ",7,7,8,9
"abington",7,3,6,9
"ufl     ",6,5,5,6
"abington",9,3,6,1
"mturk   ",3,1,2,1
"mturk   ",3,3,5,2
"mturk   ",6,5,6,6
"mturk   ",4,3,3,4
"mturk   ",5,4,6,6
"mturk   ",3,6,7,3
"mturk   ",1,1,1,1
"mturk   ",5,3,5,5
"mturk   ",1,1,1,1
"mturk   ",6,5,5,6
"mturk   ",6,3,5,2
"mturk   ",2,3,3,1
"mturk   ",8,5,7,6
"mturk   ",5,7,7,9
"mturk   ",5,7,5,4
"mturk   ",2,1,3,1
"mturk   ",6,3,5,3
"mturk   ",9,5,5,4
"mturk   ",7,7,6,3
"mturk   ",5,5,5,6
"mturk   ",5,1,4,1
"mturk   ",3,2,4,4
"pi      ",5,1,5,1
"mturk   ",5,3,6,9
"mturk   ",5,5,5,2
"mturk   ",7,3,4,7
"mturk   ",1,1,1,1
"mturk   ",2,2,2,2
"mturk   ",1,1,1,1
"pi      ",8,6,7,9
"mturk   ",5,6,5,4
"mturk   ",5,3,5,1
"mturk   ",9,9,9,9
"mturk   ",6,3,5,2
"mturk   ",2,2,2,2
"mturk   ",2,4,6,1
"mturk   ",5,4,5,8
"mturk   ",5,3,5,3
"mturk   ",3,5,6,2
"mturk   ",4,3,4,4
"mturk   ",5,6,7,7
"mturk   ",5,2,5,3
"mturk   ",5,1,1,1
"mturk   ",5,1,5,6
"mturk   ",6,7,9,6
"pi      ",3,6,6,1
"mturk   ",4,2,2,1
"pi      ",3,1,4,1
"mturk   ",7,1,7,1
"mturk   ",5,3,5,3
"mturk   ",6,7,6,4
"mturk   ",3,2,4,2
"mturk   ",6,7,7,6
"mturk   ",5,4,6,1
"mturk   ",4,1,1,1
"mturk   ",3,5,3,1
"mturk   ",1,1,1,1
"abington",5,3,3,5
"mturk   ",5,1,5,4
"mturk   ",3,1,5,1
"mturk   ",5,4,5,3
"mturk   ",5,1,3,1
"mturk   ",8,5,9,8
"mturk   ",5,4,5,5
"mturk   ",2,2,1,1
"mturk   ",5,5,8,9
"mturk   ",1,1,3,1
"mturk   ",4,5,5,5
"mturk   ",7,7,9,9
"mturk   ",1,1,1,1
"mturk   ",1,1,1,1
"mturk   ",1,1,1,1
"abington",9,5,5,7
"abington",9,4,6,1
"abington",5,5,7,8
"abington",9,9,9,9
"abington",6,7,8,9
"mturk   ",6,6,7,9
"abington",9,3,9,3
"abington",7,5,4,6
"abington",9,9,9,9
"abington",8,7,9,9
"ufl     ",6,1,9,9
"mturk   ",6,5,8,9
"ufl     ",5,2,6,2
"mturk   ",5,3,9,9
"mturk   ",3,1,1,1
"mturk   ",8,2,5,7
"mturk   ",9,6,8,9
"mturk   ",1,1,1,1
"mturk   ",7,5,8,6
"mturk   ",5,3,5,7
"mturk   ",6,1,5,3
"mcdaniel",3,4,5,2
"mturk   ",3,2,5,2
"mturk   ",5,5,6,7
"mturk   ",4,2,2,3
"mturk   ",2,1,1,1
"mturk   ",9,6,9,9
"mturk   ",5,2,3,3
"mturk   ",7,3,9,6
"mturk   ",5,7,5,3
"mturk   ",5,5,5,1
"mturk   ",2,2,2,2
"mturk   ",2,2,2,2
"mturk   ",2,1,1,1
"mturk   ",4,2,4,2
"mturk   ",3,1,2,1
"mturk   ",8,1,5,7
"mturk   ",5,3,5,7
"mturk   ",2,2,5,3
"abington",5,1,3,3
"abington",5,7,7,9
"mturk   ",1,1,1,1
"mturk   ",4,2,3,2
"mturk   ",5,4,4,5
"mturk   ",7,1,7,3
"wku     ",4,2,3,1
"wku     ",2,2,4,1
"wku     ",2,1,1,1
"wku     ",1,1,1,2
"mturk   ",1,1,1,2
"abington",5,1,1,4
"pi      ",4,3,4,5
"abington",5,5,5,5
"abington",5,3,6,5
"abington",9,9,9,9
"mturk   ",3,1,4,3
"abington",7,7,8,7
"abington",6,5,6,8
"abington",9,8,9,9
"mturk   ",5,2,5,4
"mturk   ",5,2,5,2
"abington",9,7,9,9
"abington",9,9,5,9
"mturk   ",6,6,2,6
"wku     ",4,2,3,1
"wku     ",6,4,4,2
"wku     ",6,1,5,1
"wku     ",5,5,7,5
"wku     ",2,1,3,4
"pi      ",3,2,5,7
"pi      ",4,4,4,6
"wku     ",2,5,7,4
"wku     ",2,2,2,2
"wku     ",2,2,2,1
"wku     ",4,4,6,8
"wku     ",6,5,5,5
"wku     ",2,1,4,1
"mturk   ",1,1,1,1
"pi      ",3,3,3,1
"mturk   ",2,2,2,1
"mturk   ",5,3,4,4
"mturk   ",5,3,5,5
"mturk   ",3,1,2,1
"mturk   ",5,3,6,9
"mturk   ",3,2,5,2
"mturk   ",1,1,1,1
"mturk   ",5,3,6,4
"mturk   ",5,6,6,3
"mturk   ",2,3,3,1
"mturk   ",8,5,5,7
"mturk   ",5,1,4,1
"mturk   ",6,3,5,4
"pi      ",9,6,8,7
"mturk   ",5,2,5,1
"mturk   ",5,4,3,5
"mturk   ",8,5,8,6
"mturk   ",7,7,6,9
"wku     ",5,2,5,5
"wku     ",5,5,7,4
"pi      ",5,6,9,5
"mturk   ",1,1,1,1
"mturk   ",4,3,6,7
"mturk   ",1,1,4,3
"mturk   ",5,3,5,6
"mturk   ",5,5,5,7
"mturk   ",5,6,8,4
"pi      ",5,7,9,9
"mturk   ",8,7,7,6
"mturk   ",6,4,6,3
"mturk   ",5,3,5,4
"mturk   ",1,1,1,1
"wku     ",5,7,8,9
"mturk   ",6,4,7,6
"wku     ",5,3,6,7
"wku     ",5,5,5,5
"wku     ",2,5,5,1
"mturk   ",7,5,5,5
"mturk   ",2,2,2,2
"mturk   ",1,1,1,1
"mturk   ",3,1,1,2
"mturk   ",6,5,9,6
"mturk   ",6,4,6,1
"mturk   ",1,1,1,1
"mturk   ",3,6,4,1
"mturk   ",3,2,2,2
"wku     ",7,4,6,1
"wku     ",5,5,9,5
"wku     ",3,2,6,1
"wku     ",6,7,9,6
"mturk   ",5,1,7,9
"mturk   ",7,5,7,5
"mturk   ",9,2,7,9
"mturk   ",6,4,6,8
"wku     ",5,2,7,7
"wku     ",5,4,5,3
"wku     ",1,1,1,4
"wku     ",9,2,9,9
"wku     ",3,3,3,2
"mturk   ",6,3,9,9
"mturk   ",9,9,9,9
"mturk   ",2,2,2,3
"mturk   ",7,7,9,8
"pi      ",5,3,7,8
"mturk   ",1,1,5,3
"wku     ",5,4,9,5
"wku     ",5,3,4,6
"mturk   ",7,7,4,5
"wku     ",1,2,1,1
"mturk   ",9,5,8,2
"wku     ",3,4,4,2
"wku     ",4,3,6,8
"mturk   ",6,6,6,4
"mturk   ",2,2,3,1
"mturk   ",7,5,8,8
"pi      ",5,5,5,9
"mturk   ",5,7,5,7
"pi      ",1,1,2,1
"mturk   ",5,5,6,6
"mturk   ",6,2,6,9
"pi      ",5,1,1,5
"mturk   ",5,5,5,7
"mturk   ",5,3,9,1
"mturk   ",9,6,9,1
"mturk   ",1,2,1,1
"mturk   ",5,1,5,5
"mturk   ",6,6,8,9
"mturk   ",9,4,5,5
"mturk   ",1,1,1,1
"mturk   ",1,1,1,1
"mturk   ",5,3,7,2
"mturk   ",1,1,1,1
"mturk   ",5,5,5,9
"mturk   ",1,1,1,1
"mturk   ",2,3,2,1
"mturk   ",6,1,3,1
"mturk   ",3,2,5,1
"mturk   ",1,1,1,1
"mturk   ",6,4,6,3
"mturk   ",6,6,8,3
"mturk   ",7,6,7,6
"mturk   ",5,6,5,9
"mturk   ",5,1,5,6
"pi      ",3,4,4,6
"mturk   ",5,3,5,4
"mturk   ",6,4,5,2
"mturk   ",6,4,7,9
"mturk   ",2,1,1,3
"mturk   ",1,1,1,1
"mturk   ",5,5,7,2
"mturk   ",4,2,3,3
"mturk   ",8,4,8,7
"mturk   ",5,5,8,6
"mturk   ",8,9,9,9
"mturk   ",1,1,1,1
"mturk   ",1,1,2,1
"mturk   ",5,6,5,6
"mturk   ",4,5,6,2
"mturk   ",5,5,5,5
"mturk   ",2,1,1,1
"mturk   ",5,4,5,3
"mturk   ",5,2,4,5
"mturk   ",9,4,9,1
"pi      ",9,5,9,9
"mturk   ",1,1,1,1
"mturk   ",2,3,4,7
"pi      ",6,7,9,9
"pi      ",2,1,1,1
"pi      ",5,5,5,5
"pi      ",5,3,5,6
"pi      ",4,3,1,1
"pi      ",2,2,4,7
"pi      ",6,6,6,4
"ufl     ",6,2,5,2
"ufl     ",4,1,7,1
"ufl     ",7,4,6,9
"pi      ",6,5,6,9
"pi      ",1,4,1,4
"ufl     ",2,1,1,1
"pi      ",5,7,5,9
"tamuc   ",8,7,8,7
"pi      ",5,3,5,6
"brasilia",6,6,6,1
"pi      ",5,5,5,5
"ufl     ",2,5,8,9
"ufl     ",8,3,5,2
"ufl     ",7,6,7,9
"brasilia",2,1,1,3
"tamuc   ",3,3,4,7
"tamuc   ",7,6,6,9
"tamuc   ",6,3,4,3
"ufl     ",5,6,8,9
"tamuc   ",2,1,2,1
"ufl     ",5,5,5,3
"pi      ",5,5,5,3
"pi      ",5,3,5,9
"pi      ",2,2,2,1
"tamuc   ",5,6,4,1
"pi      ",3,1,4,1
"ufl     ",4,2,2,3
"ufl     ",4,6,7,9
"ufl     ",5,1,4,2
"pi      ",6,3,6,8
"pi      ",5,3,9,9
"ufl     ",7,5,8,6
"ufl     ",5,2,5,3
"ufl     ",4,3,5,3
"pi      ",4,3,6,4
"pi      ",9,9,9,9
"pi      ",9,9,9,9
"ufl     ",5,2,5,2
"ufl     ",3,1,3,1
"ufl     ",5,3,5,3
"ufl     ",3,5,5,5
"pi      ",2,6,5,8
"pi      ",9,4,9,9
"ufl     ",5,3,4,8
"ufl     ",5,4,7,9
"ufl     ",5,6,5,6
"pi      ",5,6,9,5
"pi      ",5,8,9,9
"pi      ",5,7,6,6
"pi      ",4,2,7,5
"pi      ",5,7,9,9
"pi      ",5,3,9,9
"pi      ",4,2,2,2
"pi      ",7,9,9,7
"pi      ",5,6,8,8
