"g","van.p1.2_1","van.p1.2_2","van.p1.2_3","van.p1.2_4","van.p1.2_5","van.p1.2_6"
"wilfredlaur",1,3,5,3,6,4
"wilfredlaur",5,9,9,9,1,1
"wilfredlaur",3,8,9,5,3,7
"wilfredlaur",1,8,9,5,5,9
"wilfredlaur",5,9,9,6,2,2
"wilfredlaur",9,9,9,9,5,9
"wilfredlaur",3,8,9,7,4,2
"wilfredlaur",7,9,9,9,1,1
"wilfredlaur",5,9,6,6,3,7
"wilfredlaur",9,9,9,9,1,1
"wilfredlaur",1,9,1,1,9,9
"wilfredlaur",3,9,1,4,5,9
"wilfredlaur",1,9,6,5,5,1
"wilfredlaur",1,9,9,5,5,9
"wilfredlaur",5,9,9,8,3,3
"wilfredlaur",1,9,1,1,1,9
"wilfredlaur",1,9,9,5,5,9
"wilfredlaur",1,3,9,5,5,8
"wilfredlaur",1,9,9,1,5,9
"wilfredlaur",1,9,9,5,5,8
"wilfredlaur",1,9,9,9,1,1
"wilfredlaur",1,9,9,6,5,5
"wilfredlaur",1,9,9,5,4,7
"wilfredlaur",1,9,9,9,1,1
"wilfredlaur",1,9,9,5,5,9
"wilfredlaur",1,9,6,4,4,7
"ubc",1,9,9,1,5,9
"ubc",5,8,9,5,3,4
"ubctab",1,9,9,5,5,9
"ubctab",1,9,9,5,5,9
"ubctab",1,9,9,5,5,9
"ubctab",1,9,9,4,5,9
"ubc",1,9,9,4,4,7
"ubc",1,9,1,1,1,9
"ubc",1,9,9,9,1,1
"ubc",2,9,7,4,3,8
"ubctab",1,9,1,9,5,9
"ubctab",9,9,9,9,1,1
"ubc",1,7,9,7,3,4
"ubc",1,9,9,4,5,9
"ubctab",1,8,1,1,9,9
"ubc",1,5,9,5,5,9
"ubctab",1,9,9,5,5,9
"ubctab",1,9,9,4,5,9
"ubc",1,9,9,1,9,1
"ubctab",1,9,8,4,5,5
"ubctab",1,9,9,5,5,8
"ubc",1,9,9,4,5,9
"ubc",1,8,9,5,3,7
"ubc",1,9,9,5,1,9
"ubc",1,9,9,5,5,9
"ubc",1,9,9,5,1,5
"ubc",1,8,9,5,5,9
"ubctab",1,9,9,4,5,9
"ubc",3,2,3,2,4,6
"ubctab",1,9,9,9,5,9
"toronto",1,9,9,9,1,1
"toronto",5,7,8,5,4,5
"toronto",2,9,9,5,5,8
"toronto",1,8,9,5,5,9
"toronto",1,9,9,5,5,9
"toronto",1,9,1,3,4,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,4,3,9
"toronto",1,9,9,5,4,6
"toronto",1,9,9,5,5,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"ubctab",5,5,5,4,4,4
"toronto",9,9,9,6,1,1
"ubctab",1,9,9,5,5,9
"toronto",1,9,9,1,5,9
"toronto",1,8,2,5,9,1
"toronto",1,9,4,4,3,2
"toronto",1,9,1,5,5,9
"toronto",1,9,1,1,1,9
"toronto",1,9,9,5,5,9
"ubctab",6,9,9,5,4,6
"ubctab",1,9,9,4,5,9
"ubctab",1,9,9,6,3,4
"ubc",1,9,9,4,5,9
"ubc",1,9,9,4,5,9
"ubc",2,9,9,5,5,8
"ubc",2,9,9,5,5,9
"ubctab",1,9,9,4,5,9
"ubc",1,8,9,4,5,9
"ubc",1,9,9,5,5,5
"ubc",1,8,4,4,5,9
"ubctab",1,7,9,4,5,9
"ubc",3,8,9,6,2,4
"ubc",1,9,9,4,5,8
"ubc",1,9,9,4,5,9
"ubctab",1,9,9,1,5,9
"ubc",1,9,9,5,5,9
"toronto",1,9,9,4,5,9
"toronto",1,1,8,4,5,9
"toronto",1,9,9,9,1,1
"toronto",1,8,9,6,5,9
"ubc",1,9,9,1,5,9
"ubc",1,9,9,5,3,7
"ubctab",1,7,8,5,4,6
"ubc",3,8,9,5,5,8
"toronto",1,9,9,5,5,9
"toronto",1,9,9,4,5,9
"toronto",9,9,9,9,1,1
"toronto",1,9,9,4,5,9
"toronto",3,3,5,4,4,5
"toronto",1,9,9,4,5,9
"toronto",1,9,9,8,2,3
"toronto",1,9,9,4,5,9
"toronto",2,9,9,5,5,5
"toronto",1,8,4,4,5,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,5,5,9
"toronto",2,9,8,5,2,3
"ubc",5,8,9,5,3,9
"ubc",1,9,1,1,1,9
"toronto",1,4,9,6,1,3
"ubctab",1,8,9,4,5,9
"toronto",5,5,6,5,5,5
"toronto",1,9,9,1,5,9
"toronto",2,8,9,4,3,9
"toronto",5,3,6,3,4,5
"toronto",1,9,9,4,5,9
"toronto",2,8,6,4,3,6
"toronto",1,8,4,2,5,2
"ubc",1,7,9,4,5,9
"ubc",1,8,9,4,5,9
"ubctab",1,9,9,5,1,9
"toronto",1,9,9,5,5,9
"toronto",1,9,1,1,1,9
"toronto",1,9,9,9,5,9
"toronto",3,4,3,5,3,6
"toronto",1,9,1,4,5,9
"toronto",3,9,9,5,5,9
"toronto",7,8,9,7,6,8
"toronto",1,9,9,9,1,1
"toronto",1,9,8,2,1,6
"toronto",2,9,9,5,5,8
"toronto",1,9,9,5,5,9
"toronto",5,5,9,5,5,8
"toronto",1,9,9,4,5,9
"toronto",1,8,9,4,5,9
