"g","nore1.1","nore1.2","nore1.3","nore1.4","nore1.5","nore1.6","nore1.7","nore1.8","nore1.9","nore1.10","nore1.11","nore1.12","nore1.13","nore1.14","nore1.15","nore1.16","nore1.17","nore1.18","nore1.19","nore1.20"
"carleton",1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
"carleton",0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0
"carleton",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
"carleton",0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0
"carleton",0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1
"carleton",1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
"carleton",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"carleton",1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"carleton",0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"carleton",0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
"carleton",0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0
"carleton",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1
"carleton",1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
"carleton",0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
"carleton",1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"carleton",0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1
"carleton",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1
"carleton",1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1
"carleton",1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1
"carleton",0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"carleton",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
"seznam",1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
"seznam",1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"seznam",1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1
"seznam",0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
"seznam",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1
"seznam",1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1
"seznam",0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0
"seznam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0
"seznam",0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"seznam",0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"seznam",0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1
"seznam",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"seznam",0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0
"seznam",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
"seznamon",1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
"seznamon",0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
"seznamon",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
"seznamon",1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"seznamon",1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1
"seznamon",0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0
"seznamon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"seznamon",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"seznamon",0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0
"seznamon",0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0
"seznamon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seznamon",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"seznamon",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"seznamon",0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0
"seznamon",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0
"seznamon",1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1
"seznamon",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"seznamon",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0
"seznamon",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"seznamon",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"seznamon",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
"seznamon",0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1
"seznamon",1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1
"seznamon",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1
"seznamon",1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"seznamon",0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1
"seznamon",1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0
"seznamon",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"seznamon",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"seznamon",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"seznamon",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1
"seznamon",1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0
"seznamon",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznamon",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"radboud",1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0
"tilburg",1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0
"tilburg",1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1
"tilburg",1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0
"tilburg",1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1
"tilburg",0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0
"tilburg",1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0
"tilburg",1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0
"tilburg",0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0
"tilburg",0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
"tilburg",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0
"tilburg",0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0
"tilburg",0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"tilburg",1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0
"tilburg",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"tilburg",1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
"tilburg",1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
"tilburg",1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
"tilburg",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburg",0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"tilburg",1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
"tilburg",1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0
"tilburg",1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0
"tilburg",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"tilburg",1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0
"tilburg",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"tilburg",0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"tilburgcaf",1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0
"tilburgcaf",1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"tilburgcaf",1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0
"tilburgcaf",1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"tilburgcaf",0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1
"tilburg",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburg",0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"tilburg",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburgcaf",0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0
"tilburg",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"tilburg",0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
"tilburg",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"tilburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tilburg",0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0
"tilburg",1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0
"radboud",1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0
"tilburg",0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0
"tilburg",1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1
"tilburgcaf",0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0
"tilburgcaf",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
"tilburg",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"tilburg",1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"tilburg",1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1
"tilburgcaf",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"tilburgcaf",1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0
"tilburgcaf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tilburgcaf",1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
"tilburg",1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
"tilburgcaf",1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1
"tilburgcaf",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
"tilburg",1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0
"radboud",1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
"tilburgcaf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburgcaf",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"tilburgcaf",0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"tilburgcaf",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburg",1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1
"tilburg",1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"tilburg",1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1
"tilburg",1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
"tilburg",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburg",1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0
"tilburg",1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
"tilburg",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburg",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburgcaf",1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
"tilburgcaf",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"tilburgcaf",1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
"radboud",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburgcaf",1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1
"tilburgcaf",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburgcaf",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
"tilburgcaf",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"tilburgcaf",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0
"tilburgcaf",0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1
"tilburgcaf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"tilburgcaf",1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0
"tilburgcaf",1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0
"tilburgcaf",1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
"tilburgcaf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tilburgcaf",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"tilburgcaf",0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1
"tilburgcaf",1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1
"radboud",1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0
"radboud",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"radboud",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"radboud",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburgcaf",0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"tilburgcaf",0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0
"tilburgcaf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tilburgcaf",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
"tilburgcaf",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"tilburgcaf",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0
"radboud",0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"aus2",1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1
"aus2",0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0
"aus2",1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0
"aus2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
"aus2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"aus2",1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"aus2",1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"aus2",1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0
"aus2",0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
