"g","nfc_01","nfc_02","nfc_03","nfc_04","nfc_05","nfc_06"
"BradleyUniversity",1,4,5,2,2,4
"BradleyUniversity",3,2,4,4,5,3
"BradleyUniversity",4,2,5,5,3,2
"BradleyUniversity",4,3,4,5,4,1
"BradleyUniversity",4,2,4,4,4,4
"BradleyUniversity",2,4,4,2,2,2
"BradleyUniversity",3,2,2,2,4,2
"BradleyUniversity",3,3,4,4,4,3
"BradleyUniversity",2,4,4,2,2,4
"BradleyUniversity",4,2,2,4,4,3
"BradleyUniversity",3,2,4,3,5,4
"BradleyUniversity",2,3,4,4,2,3
"BradleyUniversity",2,2,2,2,2,4
"BradleyUniversity",3,2,3,2,3,3
"BradleyUniversity",3,4,2,4,5,2
"BradleyUniversity",3,2,3,4,3,2
"BradleyUniversity",3,2,4,4,3,3
"BradleyUniversity",2,2,4,4,4,2
"BradleyUniversity",4,2,4,2,4,4
"BradleyUniversity",3,2,4,3,4,2
"BradleyUniversity",4,1,2,4,4,2
"BradleyUniversity",3,2,3,3,3,3
"BradleyUniversity",3,2,3,3,4,2
"BradleyUniversity",3,2,3,2,4,3
"BradleyUniversity",2,1,5,2,3,4
"BradleyUniversity",2,3,4,4,3,3
"BradleyUniversity",3,2,4,3,4,4
"BradleyUniversity",2,2,4,3,4,3
"BradleyUniversity",4,2,2,4,3,5
"BradleyUniversity",3,2,4,4,4,2
"BradleyUniversity",4,1,4,3,4,2
"BradleyUniversity",2,1,3,3,5,1
"BradleyUniversity",4,2,2,4,4,2
"BradleyUniversity",3,2,4,3,2,2
"BradleyUniversity",2,4,5,1,2,4
"BradleyUniversity",4,1,5,5,5,1
"BradleyUniversity",3,3,4,2,4,3
"BradleyUniversity",3,2,4,3,5,3
"BradleyUniversity",3,3,4,2,5,2
"BradleyUniversity",3,2,2,3,4,2
"BradleyUniversity",4,5,5,5,4,2
"BradleyUniversity",4,5,5,1,1,4
"BradleyUniversity",2,2,2,4,4,1
"BradleyUniversity",2,2,4,2,4,2
"BradleyUniversity",2,4,4,3,2,3
"BradleyUniversity",4,1,3,4,4,1
"BradleyUniversity",3,3,2,3,4,3
"BradleyUniversity",2,2,5,3,2,3
"BradleyUniversity",2,4,4,3,1,2
"BradleyUniversity",3,2,4,2,2,2
"BradleyUniversity",3,3,2,4,3,4
"BradleyUniversity",4,2,3,2,4,2
"BradleyUniversity",4,2,4,2,5,2
"BradleyUniversity",2,4,5,3,2,4
"BradleyUniversity",1,2,4,3,4,2
"BradleyUniversity",4,3,4,2,2,4
"CarletonUniversity",5,3,3,3,3,4
"CarletonUniversity",3,3,4,3,3,4
"CarletonUniversity",4,4,4,2,4,2
"CarletonUniversity",2,1,4,4,4,2
"CarletonUniversity",3,2,1,4,4,2
"CarletonUniversity",3,1,4,2,3,4
"CarletonUniversity",4,1,5,5,4,4
"CarletonUniversity",4,3,3,3,4,2
"CarletonUniversity",3,3,3,3,3,4
"CarletonUniversity",3,5,4,2,4,3
"CarletonUniversity",4,1,1,5,5,2
"CarletonUniversity",3,1,5,4,5,2
"CarletonUniversity",3,1,4,3,5,1
"CarletonUniversity",3,2,3,4,4,3
"CarletonUniversity",3,1,3,4,3,2
"CarletonUniversity",2,2,3,3,2,2
"CarletonUniversity",1,4,4,3,4,4
"CarletonUniversity",2,1,2,4,4,2
"CarletonUniversity",2,3,4,4,3,2
"CarletonUniversity",4,4,5,3,2,1
"CarletonUniversity",2,3,4,3,3,5
"CarletonUniversity",3,1,1,4,4,2
"CarletonUniversity",3,2,4,2,2,4
"CarletonUniversity",4,3,4,3,2,3
"CarletonUniversity",3,2,4,3,5,2
"CarletonUniversity",4,3,3,3,4,3
"CarletonUniversity",4,2,1,4,5,2
"CarletonUniversity",3,4,4,2,3,4
"CarletonUniversity",3,4,4,4,3,2
"CarletonUniversity",4,2,4,4,4,2
"CarletonUniversity",3,2,4,3,3,2
"CarletonUniversity",3,3,3,3,3,3
"CarletonUniversity",2,2,2,4,3,2
"CarletonUniversity",3,4,4,4,4,4
"CarletonUniversity",4,1,1,5,4,2
"CarletonUniversity",3,2,2,4,3,2
"CarletonUniversity",3,2,4,1,2,3
"CarletonUniversity",3,2,2,4,5,2
"CarletonUniversity",1,4,3,3,1,4
"CarletonUniversity",4,3,4,2,5,2
"CarletonUniversity",3,5,3,3,2,2
"CarletonUniversity",4,1,1,3,3,4
"IthacaCollege",3,1,2,1,5,1
"IthacaCollege",3,1,2,4,5,3
"IthacaCollege",4,2,3,4,4,2
"IthacaCollege",2,2,4,4,4,1
"IthacaCollege",2,2,2,4,4,2
"IthacaCollege",4,1,2,2,2,1
"IthacaCollege",2,1,3,4,4,3
"IthacaCollege",4,1,3,4,4,2
"IthacaCollege",2,3,4,3,3,2
"IthacaCollege",2,2,4,5,5,1
"IthacaCollege",4,4,4,3,3,3
"IthacaCollege",3,2,2,4,4,2
"IthacaCollege",3,2,2,4,4,2
"IthacaCollege",2,2,2,2,2,4
"IthacaCollege",2,4,2,1,2,4
"IthacaCollege",3,2,4,3,2,5
"IthacaCollege",2,4,5,2,4,4
"IthacaCollege",2,4,3,3,4,2
"IthacaCollege",2,2,4,3,2,4
"IthacaCollege",4,2,3,3,4,2
"IthacaCollege",3,2,4,3,4,3
"IthacaCollege",3,3,4,2,3,4
"IthacaCollege",3,2,4,4,1,3
"IthacaCollege",4,4,4,1,5,4
"IthacaCollege",2,2,3,3,2,2
"IthacaCollege",2,2,5,3,4,2
"IthacaCollege",2,2,2,3,4,3
"IthacaCollege",4,1,2,5,5,1
"IthacaCollege",4,2,5,3,3,2
"IthacaCollege",4,2,4,4,1,4
"IthacaCollege",3,4,5,2,4,4
"IthacaCollege",2,4,3,2,4,5
"IthacaCollege",1,1,2,2,4,3
"IthacaCollege",4,3,4,3,4,2
"IthacaCollege",3,2,2,3,3,2
"IthacaCollege",2,3,4,3,4,2
"IthacaCollege",4,2,2,4,3,2
"IthacaCollege",4,2,3,3,4,4
"IthacaCollege",2,3,4,3,4,1
"IthacaCollege",3,2,2,4,4,2
"IthacaCollege",3,4,4,2,3,4
"IthacaCollege",2,2,2,3,3,2
"IthacaCollege",3,1,4,4,5,1
"IthacaCollege",3,4,4,4,3,2
