"g","zhon.dv.1_2","zhon.dv.1_3","zhon.dv.1_7","zhon.dv.1_8","zhon.dv.1_10"
"tilburg",6,6,1,1,1
"tilburg",6,2,2,2,5
"tilburg",1,1,3,2,2
"tilburg",6,5,3,3,5
"tilburg",5,5,6,4,5
"tilburg",1,1,3,2,5
"tilburg",5,4,4,4,5
"tilburg",3,5,6,5,7
"tilburgcaf",2,5,1,1,4
"tilburgcaf",5,4,3,4,3
"tilburg",4,5,1,1,4
"tilburg",7,7,6,7,7
"tilburg",4,4,3,3,3
"tilburg",7,6,3,4,6
"tilburg",6,7,2,2,6
"tilburg",6,5,1,1,2
"tilburg",6,3,2,2,2
"tilburg",4,3,5,5,6
"tilburg",6,5,5,5,6
"tilburgcaf",6,6,4,3,6
"tilburgcaf",3,4,1,5,5
"tilburg",5,4,1,1,2
"tilburg",3,4,2,3,4
"tilburg",4,4,1,4,5
"tilburgcaf",5,7,4,4,5
"tilburg",4,5,1,3,6
"radboud",6,1,3,3,7
"tilburg",5,2,2,1,4
"radboud",7,5,5,2,5
"tilburgcaf",5,4,5,4,6
"tilburgcaf",6,4,2,5,4
"radboud",1,2,5,4,5
"tilburgcaf",2,2,1,1,5
"tilburgcaf",5,4,2,5,5
"tilburgcaf",5,6,6,5,6
"tilburgcaf",6,5,5,7,7
"tilburgcaf",4,5,4,4,6
"tilburgcaf",5,5,5,3,3
"tilburg",6,4,1,3,4
"tilburg",3,3,2,3,3
"tilburg",6,5,4,2,4
"tilburg",6,3,1,1,3
"tilburg",5,6,5,5,6
"tilburg",5,2,1,1,3
"tilburg",6,6,3,5,3
"tilburg",7,3,3,3,3
"tilburg",6,6,5,4,6
"tilburg",6,4,3,4,4
"tilburgcaf",7,3,1,1,1
"radboud",7,3,3,3,7
"radboud",5,3,1,1,4
"tilburgcaf",4,5,3,2,3
"tilburgcaf",4,5,2,3,4
"tilburgcaf",4,5,4,5,5
"tilburgcaf",1,2,1,1,1
"tilburgcaf",6,3,3,2,4
"tilburgcaf",5,4,1,1,1
"tilburgcaf",4,3,3,3,4
