"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"g","factor",471,0,5,NA,NA,174,"Oregon",NA,0.727268629333622,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAT1","integer",471,0,2,0.437367303609342,0,0,NA,0.496589079357553,NA,0,1,1,0.251716039940079,1.11864549715378,-1.9407460014416,-4.32142288124704,NA,NA
"SAT2","integer",471,0,2,0.403397027600849,0,0,NA,0.491100727969754,NA,0,1,1,0.392578813496933,1.74465052803491,-1.84979574105754,-4.11890563479279,NA,NA
"SAT3","integer",471,0,2,0.110403397027601,0,0,NA,0.313725124824077,NA,0,1,1,2.47840802793191,11.0142364436362,4.15133373860228,9.2436973165798,NA,NA
"SAT4","integer",471,0,2,0.709129511677282,1,1,NA,0.454646795570971,NA,0,1,1,-0.918011528985389,-4.07971404396485,-1.1597035345938,-2.58229020496969,NA,NA
"SAT5","integer",471,0,2,0.505307855626327,1,1,NA,0.500503428179077,NA,0,1,1,-0.0211650350250624,-0.0940590481779554,-2.0037928649568,-4.46180815494234,NA,NA
"SAT6","integer",471,0,2,0.857749469214437,1,1,NA,0.349678315505586,NA,0,1,1,-2.04181901119654,-9.07400117776247,2.17365336340595,4.84003335498034,NA,NA
"SAT7","integer",471,0,2,0.575371549893843,1,1,NA,0.494812042498599,NA,0,1,1,-0.304000383628449,-1.35100115336289,-1.9116289132383,-4.25658840465733,NA,NA
"SAT8","integer",471,0,2,0.32484076433121,0,0,NA,0.468813266498904,NA,0,1,1,0.745658709704537,3.31376482095872,-1.44705187198139,-3.22212338208437,NA,NA
"SAT9","integer",471,0,2,0.254777070063694,0,0,NA,0.436199133698196,NA,0,1,1,1.12197511580693,4.98614395616103,-0.742735258489784,-1.65383473074916,NA,NA
"SAT10","integer",471,0,2,0.299363057324841,0,0,NA,0.458466010520461,NA,0,1,1,0.873395005565905,3.88143477247408,-1.23979992222112,-2.76063933563428,NA,NA
"SAT11","integer",471,0,2,0.609341825902335,1,1,NA,0.488416668922053,NA,0,1,1,-0.446789328025268,-1.98556623602852,-1.80419634822942,-4.01737031827427,NA,NA
"SAT12","integer",471,0,2,0.333333333333333,0,0,NA,0.471905748493269,NA,0,1,1,0.704856044478906,3.13243462945646,-1.50636266515207,-3.35418961770835,NA,NA
"SAT13","integer",471,0,2,0.772823779193206,1,1,NA,0.419452896890631,NA,0,1,1,-1.29809348090704,-5.76882755523648,-0.315609885881546,-0.702762639409369,NA,NA
"SAT14","integer",471,0,2,0.528662420382166,1,1,NA,0.499708547661579,NA,0,1,1,-0.114472990787501,-0.508726800726117,-1.99110983015753,-4.43356707818912,NA,NA
"SAT15","integer",471,0,2,0.571125265392781,1,1,NA,0.495441568810069,NA,0,1,1,-0.28650908928457,-1.27326849213943,-1.9219796643589,-4.27963622889472,NA,NA
