"g","and1.3_1","and1.3_2","and1.3_3","and1.3_4","and1.3_5"
"tilburgcaf",6,7,6,5,4
"tilburgcaf",6,7,7,5,6
"tilburgcaf",5,7,7,6,6
"eindhoven",7,6,7,6,7
"eindhoven",2,2,1,2,3
"eindhoventab",6,6,6,6,5
"tilburgcaf",6,6,6,6,6
"tilburgcaf",7,7,7,7,6
"eindhoven",6,6,6,6,6
"tilburgcaf",2,5,5,2,2
"tilburgcaf",3,5,5,5,2
"tilburgcaf",5,5,5,5,4
"tilburgcaf",2,5,6,5,3
"tilburgcaf",2,6,7,2,5
"tilburgcaf",5,6,5,5,3
"tilburgcaf",6,5,6,5,6
"eindhoventab",7,7,7,5,5
"eindhoven",3,2,4,5,3
"tilburgcaf",5,5,5,6,3
"eindhoven",6,6,6,6,6
"eindhoven",6,6,7,6,6
"eindhoven",6,7,6,5,6
"tilburgcaf",3,5,6,4,2
"eindhoven",6,5,6,6,6
"tilburgcaf",5,6,6,3,3
"eindhoven",5,5,6,2,2
"eindhoven",5,5,6,3,5
"eindhoven",3,6,7,5,2
"eindhoven",6,7,7,7,5
"eindhoventab",6,7,6,6,6
"eindhoven",3,6,6,7,3
"eindhoven",6,6,6,6,5
"tilburgcaf",5,6,5,3,6
"tilburgcaf",6,6,6,6,4
"tilburgcaf",2,2,3,4,2
"tilburgcaf",3,4,5,5,2
"tilburgcaf",5,6,7,5,5
"tilburgcaf",2,7,7,7,5
"tilburgcomm",7,7,7,6,6
"tilburgcomm",5,5,5,6,4
"tilburgcomm",6,6,7,7,7
"tilburgcomm",5,6,6,5,6
"tilburgcomm",5,6,6,3,3
"tilburgcomm",3,6,7,4,7
"tilburgcomm",6,6,6,5,2
"tilburgcomm",6,5,6,6,5
"tilburgcomm",6,5,6,4,5
"tilburgcomm",5,6,6,5,5
"tilburgcomm",5,6,6,7,4
"tilburgcomm",5,5,6,5,6
"tilburgcomm",5,5,5,5,5
"tilburgcomm",4,6,6,5,3
"tilburgcomm",3,4,6,2,3
"tilburgcomm",5,3,6,6,7
"tilburgcomm",5,6,7,6,6
"tilburgcomm",6,6,6,6,5
"tilburgcomm",3,2,3,1,1
"tilburgcomm",3,3,5,3,3
"tilburgcomm",6,7,6,4,5
"tilburgcomm",7,7,6,7,7
"tilburgcomm",5,6,5,3,5
"tilburgcomm",5,6,5,6,3
"tilburgcomm",6,7,5,6,3
"tilburgcomm",5,5,5,4,5
"tilburgcomm",6,6,7,6,5
"tilburgcomm",5,6,5,5,4
"tilburgcomm",6,6,6,6,3
"tilburgcomm",7,7,7,7,7
"tilburgcomm",5,5,6,4,6
"tilburgcomm",5,5,6,6,5
"tilburgcomm",5,6,6,5,3
"tilburgcomm",5,6,6,4,5
"tilburgcomm",5,5,7,7,3
"tilburgcomm",6,6,6,7,1
"tilburgcomm",5,7,6,5,6
"tilburgcomm",5,6,6,6,2
"tilburgcomm",5,5,6,5,6
"tilburgcomm",5,6,5,4,3
"tilburgcomm",5,5,6,2,2
"tilburgcomm",6,7,6,6,5
"tilburgcomm",5,6,6,6,5
"tilburgcomm",1,1,1,4,4
"tilburgcomm",6,6,5,2,1
"tilburgcomm",5,5,6,5,2
"tilburgcomm",4,5,5,3,4
"tilburgcomm",6,7,7,5,7
"tilburgcomm",5,3,7,6,6
"tilburgcomm",4,6,5,5,3
"tilburgcomm",5,5,6,6,2
"tilburgcomm",6,5,6,5,5
"tilburgcomm",5,5,5,5,3
"tilburgcomm",5,6,6,5,6
"tilburgcomm",6,6,6,4,6
"tilburgcomm",6,6,6,5,3
"navarra",5,6,6,6,6
"navarra",6,7,7,6,7
"navarra",3,4,3,4,2
"navarra",7,7,7,7,7
"navarra",6,7,5,6,5
"navarra",4,6,5,4,3
"navarra",5,7,6,5,5
"navarra",5,6,6,5,6
"navarra",5,3,6,2,2
"navarra",6,6,5,7,6
"navarra",4,5,4,3,1
"navarra",4,6,5,4,3
"navarra",6,6,6,6,6
"navarra",4,5,4,5,3
"navarra",3,6,5,3,3
"navarra",5,7,5,6,2
"navarra",7,6,6,5,6
"navarra",5,5,5,5,3
"navarra",2,5,5,5,2
"navarra",4,4,4,3,4
"navarra",6,7,6,5,6
"navarra",6,6,7,6,7
"navarra",6,6,6,6,6
"navarra",6,6,6,5,5
"navarra",3,6,5,4,4
"navarra",6,6,6,6,3
"navarra",3,7,6,3,3
"navarra",5,5,6,5,1
"lausanne",5,5,5,5,6
"lausanne",3,6,5,5,3
"lausanne",6,7,6,6,7
"lausanne",2,7,2,6,7
"lausanne",5,6,5,6,5
"lausanne",6,6,6,5,6
"lausanne",4,6,6,5,7
"lausanne",6,7,6,7,6
"lausanne",4,6,5,4,4
"lausanne",5,4,5,5,3
"lausanne",5,6,7,6,7
"lausanne",6,5,6,6,6
"lausanne",4,4,4,5,4
"lausanne",4,5,5,3,3
"lausanne",5,7,6,4,2
"lausanne",2,4,3,3,2
"lausanne",5,6,6,5,5
"lausanne",6,6,6,5,5
"lausanne",7,7,7,6,6
"lausanne",6,7,6,5,6
"lausanne",6,7,7,6,7
"lausanne",4,5,5,6,4
"lausanne",5,5,5,5,3
"lausanne",4,3,5,4,4
"lausanne",3,6,5,5,4
"lausanne",6,5,7,5,3
"lausanne",2,6,2,4,1
"lausanne",5,5,5,7,7
"lausanne",4,6,6,5,4
"lausanne",6,1,1,5,1
"lausanne",6,6,7,5,7
"lausanne",5,6,5,6,3
"lausanne",6,6,6,5,7
"lausanne",5,7,5,7,5
"lausanne",5,4,5,6,4
"lausanne",1,4,2,3,1
"lausanne",5,6,6,6,4
"lausanne",4,6,6,5,4
"lausanne",1,4,1,3,2
"lausanne",7,6,7,7,5
"lausanne",6,7,7,6,6
"lausanne",5,6,6,6,6
"lausanne",6,7,6,5,5
"lausanne",5,6,7,6,6
"lausanne",7,7,6,7,7
"lausanne",6,4,5,3,2
"lausanne",3,5,2,4,4
"poitiers",5,6,6,5,4
"poitiers",6,6,5,6,6
"poitiers",6,6,6,5,5
"poitiers",6,5,6,6,2
"poitiers",4,4,5,2,3
"poitiers",4,4,6,4,4
"poitiers",2,6,4,5,1
"poitiers",3,5,5,5,2
"poitiers",4,5,6,6,7
"poitiers",6,6,5,7,5
"poitiers",6,7,7,7,5
"poitiers",4,4,7,4,4
"poitiers",5,6,6,2,2
"poitiers",5,6,7,5,5
"poitiers",6,6,6,5,4
"poitiers",6,5,6,4,4
"poitiers",6,6,5,5,3
"poitiers",6,6,7,6,7
"poitiers",7,7,6,7,7
"poitiers",6,6,6,1,6
"poitiers",6,5,6,3,6
"poitiers",7,5,6,5,7
"poitiers",3,4,3,3,2
"poitiers",3,5,4,4,1
"eltetab",6,6,6,6,5
"eltetab",4,5,3,3,2
"eltetab",5,5,6,6,5
"elte",6,7,7,4,7
"eltetab",4,5,6,5,3
"eltetab",5,6,6,7,6
"elte",6,6,6,5,6
"elte",4,6,4,5,1
"elte",4,6,5,5,5
"eltetab",6,7,5,6,2
"elte",7,7,7,7,3
"eltetab",6,6,7,6,1
"elte",6,5,5,6,7
"eltetab",4,5,6,6,3
"eltetab",6,6,6,7,7
"eltetab",6,5,6,6,2
"eltetab",6,3,6,7,5
"elte",4,5,5,5,3
"elte",5,4,5,4,3
"elte",5,7,6,5,2
"eltetab",5,5,4,3,2
"eltetab",3,7,5,7,4
"elte",5,7,7,6,5
"elte",7,7,6,6,5
"elte",5,7,5,4,5
"eltetab",5,2,6,6,7
"eltetab",3,3,5,5,4
"eltetab",5,5,6,5,5
"eltetab",6,7,6,7,5
"elte",6,6,5,6,5
"elte",6,6,6,6,6
"elte",5,6,6,5,6
"eltetab",6,7,6,6,5
"elte",2,3,4,5,3
"elte",6,7,6,6,5
"eltetab",6,7,6,6,4
"elte",5,7,6,6,6
"eltetab",6,5,5,5,6
"elte",6,6,6,5,5
"elte",7,6,7,7,5
"eltetab",2,3,5,5,3
"eltetab",7,6,6,7,6
"elte",4,5,6,5,3
"eltetab",6,6,6,7,6
"elte",3,5,5,6,2
"eltetab",7,6,6,7,7
"elte",5,2,6,3,5
"eltetab",7,7,7,7,5
"eltetab",6,6,6,7,6
"elte",6,5,7,6,5
"eltetab",5,5,3,6,5
"elte",4,5,4,5,3
"elte",3,6,5,2,2
"eltetab",5,3,5,6,5
"eltetab",6,4,6,6,6
"elte",5,5,6,5,5
"elte",6,6,7,4,6
"eltetab",6,7,6,3,4
"elte",5,4,7,7,7
"elte",5,5,5,5,1
"eltetab",7,7,6,7,6
"eltetab",5,5,6,5,4
"elte",6,7,6,7,7
"elte",5,5,5,6,5
"eltetab",6,5,6,6,6
"elte",6,7,5,7,3
"elte",3,5,5,4,3
"eltetab",6,7,6,6,6
"eltetab",6,5,5,5,3
"elte",6,5,5,6,3
"eltetab",1,4,2,5,1
"elte",6,5,5,7,7
"eltetab",6,7,5,7,6
"eltetab",7,7,7,7,6
"eltetab",7,7,7,7,7
"elte",6,6,7,6,7
"eltetab",3,4,5,3,3
"elte",4,5,5,4,3
"eltetab",6,6,7,7,6
"mturk_india",6,5,6,6,5
"mturk_india",6,6,7,7,6
"mturk_india",7,2,7,5,7
"mturk_india",7,7,7,7,6
"mturk_india",5,5,6,5,5
"mturk_india",6,6,6,5,6
"mturk_india",5,5,6,6,5
"mturk_india",6,5,4,4,7
"mturk_india",5,5,5,5,5
"mturk_india",1,4,4,3,1
"mturk_india",6,5,6,5,4
"mturk_india",5,6,6,7,5
"mturk_india",3,3,4,4,2
"mturk_india",6,7,4,7,7
"mturk_india",6,7,6,5,6
"mturk_india",4,5,4,7,6
"mturk_india",5,5,6,6,5
"mturk_india",5,3,3,3,1
"mturk_india",4,5,5,6,4
"mturk_india",5,6,6,6,4
"mturk_india",5,6,6,7,2
"mturk_india",7,7,7,7,1
"mturk_india",5,5,6,5,5
"mturk_india",5,1,2,1,1
"mturk_india",6,6,6,6,4
"mturk_india",3,3,5,5,4
"mturk_india",6,6,7,6,7
"mturk_india",5,6,5,6,5
"mturk_india",1,1,2,2,1
"mturk_india",6,6,5,6,3
"mturk_india",6,3,6,5,1
"mturk_india",5,4,6,5,3
"mturk_india",4,5,5,5,5
"mturk_india",4,5,5,6,5
"mturk_india",6,6,3,4,2
"mturk_india",3,4,4,3,2
"mturk_india",2,2,2,2,1
"mturk_india",7,7,7,7,7
"mturk_india",7,4,6,5,5
"mturk_india",6,5,6,5,3
"mturk_india",4,4,5,4,4
"mturk_india",5,6,6,6,7
"mturk_india",7,6,5,3,2
"mturk_india",6,6,6,6,5
"mturk_india",6,6,6,6,4
"mturk_india",6,5,6,6,2
"mturk_india",7,7,7,7,7
"mturk_india",5,5,5,6,5
"mturk_india",7,7,7,7,7
"mturk_india",3,3,3,4,4
"mturk_india",2,5,6,5,2
"mturk_india",6,3,3,2,7
"mturk_india",5,7,7,7,7
"mturk_india",4,4,6,5,3
"mturk_india",4,4,5,6,2
"mturk_india",6,6,6,6,6
"mturk_india",5,5,6,4,5
"mturk_india",1,3,5,2,2
"mturk_india",6,6,6,6,5
"mturk_india",7,6,6,6,5
"mturk_india",4,2,2,2,2
"mturk_india",6,5,6,5,5
"mturk_india",3,1,2,2,1
"mturk_india",6,6,6,5,5
"mturk_india",5,5,5,5,5
"mturk_india",5,5,5,5,5
"mturk_india",6,6,7,7,7
"mturk_india",6,7,7,6,5
"mturk_india",6,5,7,6,6
"mturk_india",5,4,3,2,3
"mturk_india",5,3,5,5,3
"mturk_india",1,4,3,3,4
"mturk_india",3,2,4,4,5
"mturk_india",6,6,6,5,3
"mturk_india",5,5,4,5,3
"mturk_india",4,5,5,4,6
"mturk_india",3,4,4,3,3
"mturk_india",5,6,6,5,1
"mturk_india",4,5,5,6,5
"mturk_india",6,7,6,5,4
"mturk_india",5,5,6,6,7
"mturk_india",7,6,5,6,5
"mturk_india",5,5,6,6,4
"mturk_india",5,6,6,6,5
"mturk_india",2,1,1,1,1
"mturk_india",5,5,6,5,2
"mturk_india",6,6,6,5,4
"mturk_india",7,6,6,6,6
"mturk_india",4,2,4,3,2
"mturk_india",4,3,5,5,5
"mturk_india",5,5,5,5,5
"mturk_india",3,2,2,2,1
"mturk_india",4,5,5,3,2
"mturk_india",6,6,6,6,6
"mturk_india",4,4,4,5,3
"mturk_india",4,5,4,3,2
"mturk_india",4,3,6,2,1
"mturk_india",6,7,6,6,5
"mturk_india",6,6,6,6,4
"mturk_india",4,4,4,4,2
"mturk_india",4,5,5,4,5
"mturk_india",4,5,5,5,2
"mturk_india",5,4,4,4,5
"mturk_india",5,7,6,5,3
"mturk_india",6,6,7,2,6
"mturk_india",7,6,7,6,6
"mturk_india",6,6,7,6,6
"mturk_india",6,6,6,6,5
"mturk_india",6,6,6,6,5
"mturk_india",1,1,2,1,2
"mturk_india",7,7,7,7,7
"mturk_india",6,6,6,6,6
"mturk_india",3,5,1,2,1
"mturk_india",6,6,6,6,6
"mturk_india",2,5,6,5,7
"mturk_india",1,3,2,2,1
"mturk_india",6,7,7,5,5
"mturk_india",5,4,6,5,4
"mturk_india",6,6,6,6,6
"mturk_india",6,6,6,6,6
"mturk_india",5,5,5,5,5
"mturk_india",6,5,6,6,4
"mturk_india",6,6,6,6,6
"mturk_india",3,1,1,1,4
"mturk_india",6,6,6,6,6
"mturk_india",6,6,6,6,6
"mturk_india",7,6,6,7,3
"mturk_india",4,3,4,5,5
"mturk_india",6,7,7,6,5
"mturk_india",5,1,3,2,2
"mturk_india",6,3,7,4,5
"mturk_india",6,6,6,6,5
"mturk_india",6,5,6,5,6
"mturk_india",5,4,5,5,4
"mturk_india",6,6,7,6,7
"mturk_india",7,7,7,6,7
"mturk_india",6,6,6,6,4
"mturk_india",6,4,6,5,2
"mturk_india",5,6,7,4,3
"mturk_india",5,6,6,6,5
"mturk_india",5,5,6,5,4
"mturk_india",4,5,6,3,5
"mturk_india",6,6,6,6,5
"mturk_india",5,3,5,5,2
"mturk_india",6,7,5,7,7
"mturk_india",6,6,7,6,1
"mturk_india",6,5,4,3,5
"mturk_india",6,6,6,6,6
"mturk_india",7,7,7,7,7
"mturk_india",1,4,5,3,1
"mturk_india",4,5,3,3,1
"mturk_india",7,6,6,3,4
"mturk_india",5,6,6,5,5
"mturk_india",6,5,6,3,3
"mturk_india",5,5,6,5,5
"mturk_india",1,6,4,3,4
"mturk_india",5,5,6,4,4
"mturk_india",1,4,2,5,3
"mturk_india",3,3,4,3,4
"mturk_india",2,4,6,3,3
"mturk_india",6,6,6,6,6
"mturk_india",2,5,5,5,3
"mturk_india",4,3,3,4,2
"mturk_india",6,6,6,6,6
"mturk_india",2,3,1,1,2
"mturk_india",4,5,6,2,1
"mturk_india",7,7,7,7,7
"mturk_india",6,4,4,4,3
"mturk_india",3,5,4,2,4
"mturk_india",4,3,5,5,5
"mturk_india",5,7,7,6,4
"mturk_india",3,3,3,3,3
"mturk_india",6,6,6,5,6
"mturk_india",4,4,6,3,1
"mturk_india",6,6,7,7,5
"mturk_india",5,4,6,5,6
"mturk_india",7,6,7,6,5
"mturk_india",4,4,6,3,3
"mturk_india",2,3,4,4,3
"mturk_india",7,7,7,7,6
"mturk_india",6,5,6,5,6
"mturk_india",5,6,5,5,6
"mturk_india",6,7,7,4,6
"mturk_india",6,6,6,7,6
"mturk_india",2,4,4,4,2
"mturk_india",5,5,6,6,6
"mturk_india",6,4,6,6,5
"winchester",6,6,6,6,6
"winchester",6,6,6,7,6
"winchester",6,6,5,5,3
"winchester",3,4,4,4,3
"winchester",5,6,6,6,6
"winchester",6,7,7,7,5
"winchester",4,6,4,5,3
"winchester",1,5,2,5,1
"winchester",2,2,5,4,1
"winchester",4,5,4,3,3
"winchester",6,6,6,1,7
"winchester",6,5,5,6,6
"winchester",3,6,2,1,2
"winchester",6,7,6,6,6
"winchester",4,5,6,7,2
"winchester",3,5,6,5,4
"winchester",6,6,6,6,5
"winchester",2,2,6,5,7
"winchester",5,5,5,6,4
"winchester",7,7,7,7,7
"winchester",3,4,6,4,3
"winchester",3,5,5,5,1
"winchester",3,5,4,3,5
"winchester",5,6,6,5,7
"winchester",5,6,6,6,5
"winchester",6,6,6,7,5
"winchester",6,6,6,6,2
"winchester",1,6,2,5,1
"winchester",4,5,5,5,3
"winchester",3,5,5,6,6
"winchester",5,5,6,5,4
"winchester",6,6,6,6,6
"winchester",1,3,5,1,4
"winchester",3,4,3,3,1
"winchester",6,4,6,6,4
"winchester",5,4,5,5,3
"winchester",3,5,4,5,3
"winchester",5,6,6,6,5
"winchester",4,5,6,6,4
"winchester",5,6,6,5,3
"winchester",6,7,7,5,7
"winchester",5,4,5,6,3
"winchester",6,6,6,6,5
"winchester",5,6,6,6,6
"winchester",5,5,5,7,5
"winchester",1,1,2,3,2
"winchester",6,7,6,7,5
"winchester",5,5,5,5,1
"winchester",5,6,4,5,3
"winchester",5,6,7,5,5
"winchester",2,3,4,4,1
"winchester",6,6,6,6,6
"winchester",4,4,5,4,6
"winchester",3,4,4,4,1
"winchester",6,5,6,6,6
"winchester",6,6,6,2,6
"winchester",5,5,6,6,3
"winchester",5,6,6,6,6
"winchester",5,6,6,4,3
"winchester",1,4,5,6,6
"winchester",3,3,3,4,3
"winchester",5,7,6,6,3
"winchester",5,5,6,6,5
"winchester",1,1,1,1,1
"winchester",5,5,5,4,2
"winchester",5,5,6,5,5
"doshisha",5,6,6,3,5
"doshisha",1,2,1,3,3
"doshisha",3,4,5,4,2
"doshisha",2,3,3,3,1
"doshisha",2,5,5,3,3
"doshisha",3,4,4,3,5
"doshisha",3,7,7,4,5
"doshisha",5,6,6,3,5
"doshisha",1,5,6,2,3
"doshisha",4,4,5,4,2
"doshisha",4,4,3,3,3
"doshisha",1,1,1,1,1
"doshisha",2,2,2,1,2
"doshisha",5,5,6,4,5
"doshisha",4,5,6,7,3
"doshisha",1,5,6,2,4
"doshisha",4,2,4,2,2
"doshisha",4,5,5,4,3
"doshisha",6,6,6,6,7
"doshisha",4,5,5,5,4
"doshisha",6,6,6,1,4
"doshisha",3,6,5,4,5
"doshisha",2,3,6,5,6
"doshisha",1,1,2,4,1
"doshisha",6,7,7,7,4
"doshisha",4,5,5,4,3
"doshisha",1,4,4,1,1
"doshisha",2,3,5,2,2
"doshisha",2,5,5,3,6
"doshisha",6,7,2,7,1
"doshisha",5,5,6,6,3
"doshisha",3,2,2,5,1
"doshisha",1,1,1,1,1
"doshisha",1,5,5,2,4
"doshisha",6,6,7,5,6
"doshisha",3,4,5,4,3
"doshisha",2,5,6,5,3
"doshisha",5,6,7,7,5
"doshisha",2,4,6,3,2
"doshisha",2,3,3,4,3
"doshisha",2,6,7,6,2
"doshisha",1,1,2,1,1
"doshisha",5,6,3,3,6
"doshisha",3,5,4,2,3
"doshisha",3,3,5,3,2
"doshisha",3,4,3,6,3
"doshisha",5,6,5,5,4
"doshisha",5,3,4,5,4
"doshisha",2,5,5,2,2
"vuw",4,4,3,5,4
"vuw",5,5,6,6,5
"vuw",4,5,3,4,3
"vuw",5,6,5,6,2
"vuw",4,7,7,5,4
"vuw",2,6,5,3,3
"vuw",5,6,5,4,5
"vuw",5,6,5,4,2
"vuw",5,4,5,4,6
"vuw",7,7,7,7,4
"vuw",5,5,5,6,5
"vuw",3,3,5,5,2
"vuw",7,7,7,7,7
"vuw",3,6,5,5,3
"vuw",4,5,5,3,3
"vuw",5,6,5,4,3
"vuw",6,7,7,7,6
"vuw",3,5,4,5,2
"vuw",5,5,5,3,4
"vuw",4,5,4,6,6
"vuw",4,5,5,4,2
"vuw",2,5,2,7,2
"vuw",5,6,6,7,6
"vuw",2,6,2,2,2
"vuw",5,6,6,3,2
"vuw",7,7,5,7,4
"vuw",6,6,6,5,6
"vuw",6,6,6,6,5
"vuw",6,6,6,6,5
"vuw",5,6,6,6,1
"vuw",4,7,5,4,2
"vuw",3,1,2,4,2
"vuw",5,4,4,6,3
"vuw",3,5,6,4,6
"vuw",7,7,7,7,6
"vuw",5,4,5,6,1
"vuw",5,6,6,5,7
"wroclaw",3,5,3,3,3
"wroclaw",4,5,5,3,3
"wroclaw",5,5,4,4,3
"wroclaw",5,6,6,4,5
"wroclaw",3,5,6,3,5
"wroclaw",6,6,6,5,2
"wroclaw",5,7,7,3,3
"wroclaw",5,5,6,4,3
"wroclaw",5,5,6,4,6
"wroclaw",3,5,4,3,5
"wroclaw",6,6,6,6,5
"wroclaw",4,4,6,4,2
"wroclaw",5,5,5,6,2
"wroclaw",5,4,4,3,3
"wroclaw",3,4,5,5,2
"wroclaw",4,5,5,6,2
"wroclaw",7,7,7,7,5
"wroclaw",6,5,6,6,6
"wroclaw",3,2,4,2,2
"wroclaw",5,5,6,5,5
"wroclaw",5,5,6,6,3
"wroclaw",6,5,7,5,6
"wroclaw",7,7,7,3,7
"wroclaw",5,5,5,4,2
"wroclaw",2,2,5,2,5
"wroclaw",6,6,7,7,6
"wroclaw",3,5,6,5,3
"wroclaw",1,3,3,1,5
"wroclaw",3,6,5,6,5
"wroclaw",5,5,6,6,6
"wroclaw",2,1,4,3,2
"wroclaw",4,4,4,3,1
"wroclaw",3,4,4,4,4
"wroclaw",6,5,4,6,4
"wroclaw",5,4,5,4,2
"wroclaw",3,5,5,4,5
"wroclaw",4,6,5,5,6
"wroclaw",3,4,4,3,5
"wroclaw",5,5,6,6,5
"wroclaw",3,4,3,3,2
"wroclaw",3,6,5,2,4
"wroclaw",2,3,3,2,2
"wroclaw",4,6,6,4,5
"wroclaw",1,1,5,3,3
"wroclaw",3,4,5,6,3
"wroclaw",4,4,2,4,2
"wroclaw",4,1,5,6,1
"wroclaw",3,4,4,3,2
"wroclaw",4,6,5,2,5
"wroclaw",4,6,6,6,3
"swps",4,4,4,4,3
"swps",3,3,4,2,5
"swps",2,3,5,5,6
"swps",1,2,2,2,1
"swps",4,5,5,2,4
"swps",3,5,4,5,3
"swps",1,3,3,1,2
"swps",6,5,6,6,6
"swps",4,5,6,5,4
"swps",4,4,6,5,5
"swps",4,5,5,5,5
"swps",2,5,2,3,2
"swps",5,6,6,5,5
"swps",2,4,5,1,1
"swps",1,3,1,1,2
"swps",6,6,7,5,4
"swps",4,5,5,5,3
"swps",4,5,5,5,5
"swps",1,2,1,1,4
"swps",3,6,5,4,1
"swps",4,4,5,3,2
"swps",5,6,6,3,3
"swps",4,5,5,4,3
"swps",4,3,4,5,3
"swps",2,4,5,2,3
"swps",4,5,5,5,3
"swps",6,7,6,6,6
"swps",3,5,5,5,2
"swps",5,6,6,5,2
"badaniaon",5,6,6,6,6
"badaniaon",1,1,3,1,1
"badaniaon",1,4,4,4,1
"badaniaon",4,3,5,4,2
"swps",6,5,6,6,6
"badaniaon",5,5,6,2,5
"badaniaon",3,3,6,3,6
"badaniaon",6,4,6,6,4
"badaniaon",3,2,4,3,5
"badaniaon",2,5,5,4,3
"swps",6,7,6,7,5
"swps",4,4,5,4,4
"swps",4,6,4,5,3
"badaniaon",5,5,6,2,1
"swps",4,5,5,4,5
"swps",6,7,7,6,5
"badaniaon",1,2,1,1,1
"badaniaon",1,1,3,1,1
"swps",3,6,7,2,6
"badaniaon",3,6,2,4,4
"badaniaon",4,5,4,5,3
"swps",4,6,5,6,3
"swps",6,6,7,4,7
"swps",4,4,4,3,3
"swps",4,5,5,5,6
"badaniaon",5,6,4,2,1
"badaniaon",5,6,5,5,5
"badaniaon",5,6,5,6,3
"badaniaon",5,5,5,5,5
"badaniaon",5,4,6,2,6
"badaniaon",6,5,5,6,5
"badaniaon",2,5,3,2,1
"badaniaon",5,5,6,5,5
"badaniaon",1,4,1,1,1
"uniporto",6,6,6,6,4
"uniporto",7,5,6,4,3
"uniporto",6,6,7,6,4
"uniporto",6,3,6,7,7
"uniporto",5,7,6,3,4
"uniporto",6,5,6,7,6
"uniporto",6,4,6,5,6
"uniporto",6,7,6,6,5
"uniporto",2,3,5,4,6
"uniporto",6,6,6,6,5
"uniporto",6,6,5,4,5
"uniporto",2,3,2,3,3
"uniporto",6,5,6,5,5
"uniporto",3,3,6,5,4
"uniporto",3,2,3,2,3
"uniporto",4,4,5,6,6
"uniporto",5,6,6,6,5
"uniporto",4,4,4,4,4
"uniporto",5,5,4,5,3
"unibelgrade",3,5,2,5,2
"unibelgrade",7,7,6,6,6
"unibelgrade",5,5,6,5,5
"unibelgrade",6,7,6,6,6
"unibelgrade",6,6,6,6,6
"unibelgrade",6,7,7,7,6
"unibelgrade",2,1,4,4,6
"unibelgrade",2,2,5,5,2
"unibelgrade",5,7,5,7,3
"unibelgrade",6,6,6,6,5
"unibelgrade",3,5,5,6,5
"unibelgrade",6,7,7,7,5
"unibelgrade",6,6,6,7,5
"unibelgrade",3,6,6,5,5
"unibelgrade",2,2,6,5,5
"unibelgrade",4,6,6,6,5
"unibelgrade",3,5,6,5,5
"unibelgrade",6,5,6,6,5
"unibelgrade",2,6,2,5,1
"unibelgrade",5,5,6,6,5
"unibelgrade",1,7,1,6,1
"unibelgrade",4,6,6,6,7
"unibelgrade",2,2,2,3,1
"unibelgrade",4,6,6,6,2
"unibelgrade",5,6,6,7,2
"unibelgrade",7,6,7,7,6
"unibelgrade",3,5,6,5,5
"unibelgrade",5,6,6,7,6
"unibelgrade",4,6,6,6,4
"unibelgrade",3,6,6,6,5
"unibelgrade",6,6,6,6,3
"unibelgrade",6,6,7,7,7
"unibelgrade",2,3,5,4,2
"unibelgrade",6,7,7,6,7
"unibelgrade",6,5,7,6,7
"fmkbelgrade",6,5,6,6,6
"fmkbelgrade",6,2,6,6,2
"fmkbelgrade",6,7,6,2,3
"fmkbelgrade",3,6,6,5,5
"fmkbelgrade",3,5,5,6,5
"fmkbelgrade",5,5,6,5,6
"fmkbelgrade",3,7,4,4,2
"fmkbelgrade",4,5,6,7,2
"fmkbelgrade",6,6,6,7,6
"fmkbelgrade",4,5,6,6,5
"fmkbelgrade",6,6,6,6,7
"fmkbelgrade",4,5,6,6,2
"fmkbelgrade",5,7,7,7,7
"fmkbelgrade",5,6,5,6,3
"fmkbelgrade",3,6,6,1,2
"fmkbelgrade",7,7,6,7,6
"fmkbelgrade",5,6,6,6,6
"johannesburg",5,6,5,3,2
"johannesburg",7,7,7,7,7
"johannesburg",6,6,6,6,6
"johannesburg",3,5,5,5,4
"johannesburg",4,3,4,4,5
"johannesburg",5,6,6,6,6
"johannesburg",3,3,6,5,1
"johannesburg",7,7,7,7,7
"johannesburg",7,6,6,6,7
"johannesburg",5,5,5,5,2
"johannesburg",7,6,7,6,7
"johannesburg",6,5,6,5,2
"johannesburgother",3,6,4,5,5
"johannesburg",2,1,2,1,1
"johannesburgother",3,6,4,7,5
"johannesburgother",6,5,6,6,5
"johannesburgother",5,5,3,7,1
"johannesburgother",6,5,7,7,7
"johannesburgother",6,6,7,6,6
"johannesburgother",4,3,3,4,2
"johannesburgother",6,5,5,6,5
"johannesburgother",5,7,6,6,6
"johannesburgother",5,7,5,6,6
"johannesburgother",3,6,5,5,6
"johannesburg",6,6,6,5,7
"johannesburg",5,5,5,5,1
"johannesburg",3,3,3,3,7
"johannesburg",7,6,7,7,7
"johannesburg",6,5,6,5,6
"johannesburg",2,2,2,4,1
"johannesburg",5,6,7,7,5
"johannesburg",6,6,6,6,5
"johannesburg",5,1,4,2,1
"johannesburg",6,5,6,7,6
"johannesburg",6,6,6,5,5
"johannesburg",5,2,2,2,2
"johannesburg",6,7,6,7,5
"johannesburg",5,4,7,5,6
"johannesburg",3,6,1,6,3
"udd",3,4,5,4,2
"udd",4,6,5,5,2
"udd",6,7,6,6,3
"udd",6,6,5,5,4
"udd",6,6,6,5,3
"udd",6,5,6,5,7
"udd",6,7,7,7,6
"udd",5,5,6,6,5
"udd",2,3,3,4,1
"udd",4,5,4,5,4
"udd",6,5,6,7,7
"udd",6,5,6,6,7
"udd",6,6,6,6,3
"udd",4,5,4,2,4
