"g","and1.3_1","and1.3_2","and1.3_3","and1.3_4","and1.3_5"
"toronto",3,4,5,3,2
"toronto",4,6,6,7,2
"toronto",5,3,5,6,2
"toronto",2,7,1,3,1
"toronto",4,5,6,3,1
"toronto",5,5,6,6,5
"toronto",3,3,4,5,2
"toronto",6,7,6,5,1
"toronto",4,5,5,6,6
"toronto",5,5,6,6,2
"toronto",6,6,6,6,5
"toronto",6,6,6,6,7
"toronto",3,4,4,4,3
"toronto",3,5,5,4,6
"toronto",7,7,7,7,7
"toronto",6,7,6,7,5
"toronto",5,5,5,5,3
"toronto",5,6,5,3,5
"toronto",5,4,5,2,5
"toronto",6,6,6,5,5
"toronto",4,4,6,3,3
"ubctab",6,7,7,6,6
"ubc",5,5,6,6,6
"ubc",3,4,6,5,7
"ubc",4,4,4,3,2
"ubc",3,5,3,3,3
"ubc",6,7,7,7,5
"ubctab",3,5,4,3,1
"ubc",3,2,4,3,3
"ubctab",5,6,6,4,2
"ubctab",6,6,6,6,7
"ubc",2,4,2,4,2
"toronto",1,3,2,1,3
"ubctab",5,4,5,3,4
"toronto",5,6,3,5,4
"toronto",4,7,7,5,2
"toronto",2,2,2,4,3
"toronto",5,6,6,5,2
"ubctab",7,7,7,6,7
"toronto",3,5,5,6,1
"toronto",3,6,4,5,1
"toronto",5,3,4,1,2
"toronto",6,6,6,6,2
"toronto",3,6,6,4,1
"toronto",1,6,3,2,1
"toronto",5,5,6,2,5
"ubctab",2,4,4,6,2
"toronto",4,3,3,5,3
"toronto",6,4,6,6,6
"toronto",7,7,7,6,6
"toronto",5,5,5,5,3
"toronto",6,7,7,6,6
"toronto",3,5,3,4,2
"toronto",5,6,5,2,6
"toronto",6,6,6,6,6
"toronto",4,4,3,4,2
"toronto",4,5,5,5,3
"toronto",4,5,4,7,1
"toronto",5,6,6,5,2
"ubctab",5,6,6,6,5
"ubctab",2,5,2,3,2
"ubctab",5,7,6,6,6
"toronto",4,6,2,2,5
"toronto",5,5,6,5,5
"toronto",4,6,2,5,2
"toronto",7,5,7,7,6
"toronto",3,3,4,3,3
"toronto",6,7,7,6,3
"toronto",6,7,5,7,6
"toronto",4,6,5,6,6
"toronto",3,4,3,3,5
"toronto",5,6,5,7,6
"toronto",5,5,5,5,2
"toronto",5,5,7,7,6
"toronto",5,6,5,5,3
"toronto",5,5,6,6,5
"ubctab",3,6,3,2,2
"toronto",2,6,3,3,6
"toronto",1,4,3,2,3
"toronto",3,6,4,6,1
"toronto",5,5,5,5,4
"toronto",2,5,3,5,6
"toronto",5,7,7,4,6
"toronto",5,6,4,5,1
"toronto",5,5,3,6,2
"ubc",5,7,5,7,1
"toronto",2,5,2,1,2
"toronto",7,7,7,7,7
"toronto",6,6,6,7,2
"toronto",3,5,4,6,2
"toronto",5,6,6,6,5
"toronto",2,2,3,3,1
"toronto",3,3,5,5,3
"toronto",6,6,6,6,3
"toronto",6,5,6,6,5
"toronto",5,6,7,6,3
"toronto",1,1,1,4,3
"toronto",4,4,4,2,1
"toronto",4,5,3,2,2
"toronto",3,5,3,2,3
"toronto",6,3,1,2,2
"toronto",6,7,7,7,6
"ubctab",3,5,5,5,3
"ubc",5,6,6,6,6
"ubc",5,7,7,6,5
"ubc",1,7,7,7,1
"toronto",6,5,5,5,4
"toronto",6,6,6,4,6
"toronto",3,3,6,2,7
"toronto",6,6,6,6,6
"toronto",6,7,7,6,6
"toronto",2,3,3,2,1
"toronto",6,6,6,7,6
"toronto",4,6,6,4,3
"toronto",5,6,6,5,4
"toronto",5,6,5,6,1
"ubc",6,5,5,4,5
"ubc",5,6,6,5,5
"ubctab",6,6,6,6,6
"ubctab",2,2,2,2,2
"ubc",6,7,7,7,6
"ubc",7,7,7,7,6
"ubc",4,5,5,3,3
"toronto",4,2,3,5,1
"toronto",3,2,3,3,2
"ubctab",1,3,3,2,1
"toronto",5,4,4,5,1
"ubc",6,6,5,5,3
"ubctab",4,3,2,5,5
"ubctab",7,7,7,7,5
"ubctab",2,5,4,3,2
"ubc",5,7,7,7,5
"toronto",5,6,6,6,5
"toronto",5,6,6,7,3
"toronto",5,4,5,5,5
"toronto",6,7,7,7,7
"toronto",2,2,5,2,3
"toronto",3,6,5,5,5
"toronto",2,6,5,3,3
"toronto",2,3,1,1,1
"toronto",5,5,6,3,3
"ubc",3,5,6,4,5
"ubc",4,5,5,5,2
"ubc",3,5,5,4,5
"ubc",5,5,5,6,4
"ouhktab",5,5,5,3,3
"ouhktab",5,6,6,6,6
"ouhktab",3,4,3,3,3
"ouhktab",2,4,3,3,2
"ouhktab",3,4,4,4,2
"ouhktab",2,3,4,4,1
"ouhktab",4,5,5,4,2
"ouhktab",4,4,4,3,1
"ouhktab",5,5,5,5,4
"ouhktab",1,3,3,4,2
"ouhktab",5,4,5,2,2
"ouhktab",5,6,6,5,4
"ouhktab",2,6,6,6,2
"ouhktab",3,3,5,3,1
"ouhktab",3,4,5,5,1
"ouhktab",6,6,7,7,2
"ouhktab",5,5,5,5,3
"ouhktab",4,4,5,4,4
"ouhktab",6,5,6,7,2
"ouhktab",4,5,5,4,6
"ouhktab",2,2,2,2,2
"ouhktab",5,6,7,6,5
"hkust",3,2,3,5,3
"hkust",5,5,5,4,1
"hkust",4,5,5,7,4
"hkust",5,5,5,5,2
"hkust",6,7,7,6,7
"hkust",3,5,6,3,6
"hkust",2,5,5,3,6
"hkust",6,6,6,5,7
"hkust",3,3,3,3,2
"hkust",5,5,6,3,2
"hkust",3,4,4,6,3
"hkust",5,5,6,4,3
"hkust",6,5,4,2,1
"hkust",3,3,4,2,2
"hkust",2,2,2,2,1
"hkust",6,4,6,5,3
"hkust",2,4,4,2,1
"hkust",5,6,6,6,4
"hkust",2,2,2,3,1
"hkust",3,3,4,4,4
"hkust",3,4,3,3,1
"hkust",4,5,5,3,4
"hkust",3,4,3,3,5
"hkust",4,5,5,5,5
"hkust",2,3,1,3,1
"hkust",6,5,6,5,4
"hkust",2,6,6,5,2
"hkust",3,4,4,3,2
"hkust",5,5,6,5,6
"hkust",1,7,2,1,1
"hkust",5,6,5,5,2
"hkust",4,5,4,5,3
"hkust",5,3,5,2,2
"hkust",3,3,3,4,3
"hkust",2,4,2,2,6
"hkust",2,4,4,3,2
"hkust",1,1,1,1,1
"hkust",2,5,6,4,2
"hkust",1,1,2,1,2
"hkust",3,3,5,3,2
"hkust",1,1,1,1,2
"hkust",4,5,6,3,2
"hkust",5,5,5,3,2
"hkust",3,4,3,4,3
"hkust",5,6,6,6,4
"hkust",6,6,6,2,4
"hkust",3,5,5,5,2
"hkust",6,6,6,7,6
"hkust",5,5,5,3,5
"hkust",5,6,7,6,4
"hkust",1,2,2,2,3
"hkust",4,5,5,5,6
