"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"sel_existing_text","factor",77,0,74,NA,NA,4,"",NA,0.984651711924439,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_1","logical",77,0,3,NA,NA,66,"TRUE",NA,0.244897959183674,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_2","logical",77,0,3,NA,NA,69,"TRUE",NA,0.186203406982628,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_3","logical",36,0.532467532467532,2,NA,NA,41,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_4","logical",37,0.519480519480519,3,NA,NA,40,NA,NA,0.149013878743608,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence","factor",77,0,3,NA,NA,40,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,0.499241018721538,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence_text","factor",77,0,2,NA,NA,77,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_1","logical",77,0,3,NA,NA,66,"TRUE",NA,0.244897959183674,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_2","logical",64,0.168831168831169,3,NA,NA,55,"TRUE",NA,0.24169921875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_3","logical",17,0.779220779220779,3,NA,NA,60,NA,NA,0.41522491349481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_4","logical",44,0.428571428571429,3,NA,NA,33,NA,NA,0.490702479338843,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_check","factor",77,0,4,NA,NA,52,"True",NA,0.490470568392646,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_1","logical",34,0.558441558441558,3,NA,NA,43,NA,NA,0.41522491349481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_2","logical",25,0.675324675324675,3,NA,NA,52,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_3","logical",44,0.428571428571429,3,NA,NA,33,NA,NA,0.49896694214876,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_4","logical",29,0.623376623376623,3,NA,NA,48,NA,NA,0.185493460166468,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_5","logical",26,0.662337662337662,3,NA,NA,51,NA,NA,0.20414201183432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_6","logical",22,0.714285714285714,3,NA,NA,55,NA,NA,0.483471074380165,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_time","factor",77,0,3,NA,NA,53,"Before",NA,0.429077416090403,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_1_REV","logical",77,0,3,NA,NA,75,"TRUE",NA,0.0505987518974531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_2_REV","logical",77,0,2,NA,NA,77,"TRUE",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_5_REV","logical",77,0,3,NA,NA,65,"TRUE",NA,0.263113509866757,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_1_REV","logical",77,0,3,NA,NA,74,"TRUE",NA,0.0748861528082307,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_3_REV","logical",34,0.558441558441558,3,NA,NA,43,NA,NA,0.250865051903114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence_REV","factor",77,0,4,NA,NA,43,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,0.524540394670265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence_text_REV","factor",77,0,4,NA,NA,74,"",NA,0.0755608028335302,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_1_REV","logical",77,0,3,NA,NA,71,"TRUE",NA,0.143700455388767,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_2_REV","logical",73,0.051948051948052,3,NA,NA,66,"TRUE",NA,0.173390880090073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_3_REV","logical",18,0.766233766233766,3,NA,NA,59,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_check_REV","factor",77,0,3,NA,NA,42,"True",NA,0.495867768595041,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_1_REV","logical",19,0.753246753246753,2,NA,NA,58,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_2_REV","logical",7,0.909090909090909,3,NA,NA,70,NA,NA,0.244897959183674,NA,NA,NA,NA,NA,NA,NA,NA,NA
