"g","sysjust1","sysjust2","sysjust3","sysjust4","sysjust5","sysjust6","sysjust7","sysjust8"
"pi      ",2,2,3,6,3,2,4,3
"pi      ",3,1,3,3,3,1,4,1
"pi      ",6,3,4,2,5,2,5,2
"pi      ",4,3,2,2,4,1,4,2
"pi      ",1,1,1,4,4,1,1,1
"pi      ",2,3,6,7,5,NA,6,4
"pi      ",1,1,4,7,4,4,4,4
"pi      ",2,1,2,1,3,1,4,2
"pi      ",1,1,2,7,2,1,7,1
"pi      ",3,3,2,4,3,2,4,3
"pi      ",5,5,5,7,7,7,6,6
"pi      ",4,4,4,4,4,4,4,1
"pi      ",1,2,5,5,3,2,5,3
"pi      ",4,5,3,4,3,3,3,4
"pi      ",5,1,6,5,5,1,5,3
"pi      ",3,3,5,5,3,2,4,3
"pi      ",1,1,1,4,4,1,1,1
"pi      ",3,3,6,2,2,7,1,3
"pi      ",4,3,4,3,3,2,3,3
"pi      ",5,3,2,7,5,1,3,2
"pi      ",5,3,3,2,3,1,4,2
"pi      ",3,2,3,7,6,2,3,3
"pi      ",4,3,3,5,3,2,4,2
"pi      ",3,1,3,7,5,5,5,1
"pi      ",2,3,2,4,4,1,4,3
"pi      ",4,5,5,6,5,1,4,1
"pi      ",4,4,4,7,4,4,4,4
"pi      ",2,2,3,7,6,2,6,3
"pi      ",2,3,5,7,5,5,4,3
"pi      ",4,4,4,NA,NA,1,4,2
"pi      ",3,5,3,3,5,3,5,3
"pi      ",1,1,1,5,3,1,5,1
"pi      ",2,2,3,3,4,2,3,2
"pi      ",5,6,3,5,3,1,3,1
"pi      ",4,3,3,2,5,1,7,2
"pi      ",4,3,7,5,4,1,4,2
"pi      ",3,2,2,4,3,1,4,2
"pi      ",2,1,4,7,5,4,3,3
"pi      ",1,1,1,2,5,1,5,2
"pi      ",3,3,2,3,5,2,4,3
"pi      ",1,2,3,4,2,1,3,1
"pi      ",6,6,2,7,7,6,2,3
"pi      ",4,3,6,6,5,5,4,5
"pi      ",2,1,2,4,2,1,5,1
"pi      ",6,6,5,3,5,7,6,6
"pi      ",2,2,5,NA,3,1,4,2
"pi      ",1,3,2,3,5,1,6,1
"pi      ",4,4,4,5,5,3,3,3
