"g","sysjust1","sysjust2","sysjust3","sysjust4","sysjust5","sysjust6","sysjust7","sysjust8"
"pi      ",3,2,2,4,2,3,6,2
"pi      ",3,1,2,5,5,1,3,2
"pi      ",1,1,1,3,1,1,5,1
"pi      ",4,3,3,4,5,1,1,1
"pi      ",5,5,4,3,4,4,4,5
"pi      ",5,3,5,5,3,3,5,1
"pi      ",2,2,2,3,4,1,4,2
"pi      ",3,5,5,6,5,1,4,2
"pi      ",2,2,1,3,3,5,1,2
"pi      ",3,3,3,5,3,2,5,3
"pi      ",4,1,4,7,4,7,1,3
"pi      ",3,3,5,5,3,4,2,5
"pi      ",1,1,1,7,4,4,5,5
"pi      ",3,3,5,5,4,3,5,2
"pi      ",4,5,4,4,4,3,4,2
"pi      ",3,3,5,5,4,3,4,2
"pi      ",3,4,3,4,5,3,3,2
"pi      ",5,3,3,6,5,5,2,5
"pi      ",5,6,6,4,6,3,5,5
"pi      ",3,2,3,5,4,3,3,3
"pi      ",4,4,4,5,4,4,4,4
"pi      ",1,5,3,7,5,3,2,4
"pi      ",1,1,5,7,2,4,1,2
"pi      ",3,3,6,5,3,1,4,1
"pi      ",4,4,4,5,4,2,4,4
"pi      ",3,1,1,5,4,1,4,2
"pi      ",3,2,6,7,3,1,5,2
"pi      ",3,6,6,3,4,1,6,3
"pi      ",3,2,3,6,4,2,4,1
"pi      ",5,6,6,3,5,3,6,5
"pi      ",2,2,1,4,2,1,4,2
"pi      ",1,3,3,1,3,1,5,1
"pi      ",1,1,1,3,1,1,1,1
"pi      ",2,3,7,4,5,3,4,3
"pi      ",3,2,4,4,4,3,4,4
"pi      ",2,1,2,6,2,2,5,2
"pi      ",3,1,3,7,5,3,3,2
"pi      ",5,5,5,4,4,2,4,3
"pi      ",6,5,6,6,5,3,3,3
"pi      ",2,2,3,2,4,1,3,3
"pi      ",4,3,4,4,5,3,6,4
"pi      ",4,3,5,6,5,3,4,5
"pi      ",3,3,6,5,6,1,6,5
"pi      ",5,5,6,3,6,5,3,5
"pi      ",6,6,4,7,5,3,4,4
"pi      ",3,3,3,4,5,2,3,2
"pi      ",2,2,3,4,2,1,4,1
"pi      ",NA,NA,NA,NA,NA,NA,NA,NA
"pi      ",5,3,4,7,5,5,3,3
"pi      ",3,2,3,4,3,1,2,2
"pi      ",6,6,7,7,5,5,6,6
"pi      ",6,3,4,4,5,2,3,2
"pi      ",3,3,3,5,4,3,4,4
"pi      ",3,3,4,3,2,2,3,3
"pi      ",3,3,3,3,2,1,4,3
"pi      ",3,3,3,4,3,3,3,3
"pi      ",4,5,6,4,3,3,3,3
"pi      ",3,2,2,3,5,2,4,2
"pi      ",2,2,4,4,2,1,7,1
"pi      ",5,1,5,5,5,2,2,4
"pi      ",4,4,3,4,3,2,5,3
"pi      ",5,5,5,7,3,5,4,5
"pi      ",4,4,4,5,4,2,3,2
"pi      ",1,1,1,4,2,1,1,1
"pi      ",4,2,3,3,4,3,4,4
"pi      ",3,3,4,5,4,3,4,3
"pi      ",5,5,5,6,5,3,4,5
"pi      ",3,2,4,3,4,3,3,3
"pi      ",1,1,1,4,6,2,1,1
"pi      ",5,5,7,7,4,3,3,5
"pi      ",3,3,3,4,4,2,5,3
"pi      ",5,3,5,5,5,6,6,4
"pi      ",1,1,2,3,1,1,3,1
"pi      ",5,5,7,5,5,7,5,4
"pi      ",1,3,4,1,3,1,4,2
"pi      ",5,3,4,7,3,7,3,2
"pi      ",1,1,1,5,3,1,5,1
"pi      ",3,2,3,6,5,1,6,2
"pi      ",3,2,3,5,2,2,3,2
"pi      ",3,2,4,2,3,2,3,3
"pi      ",2,3,4,4,2,1,4,3
"pi      ",4,4,NA,7,5,5,1,4
"pi      ",3,3,3,5,5,1,4,4
"pi      ",3,1,4,3,2,6,7,4
"pi      ",1,2,1,7,3,1,1,1
"pi      ",4,5,3,6,5,3,3,3
"pi      ",1,1,1,3,2,1,4,1
"pi      ",5,1,1,1,5,1,4,7
"pi      ",1,3,4,2,4,1,7,1
"pi      ",2,2,1,5,3,1,3,1
"pi      ",2,2,2,3,3,1,5,1
"pi      ",5,2,5,6,5,3,5,5
"pi      ",5,3,3,6,5,3,4,3
"pi      ",3,7,6,7,7,7,7,7
"pi      ",5,2,5,6,3,2,5,3
"pi      ",2,2,7,4,3,1,5,2
"pi      ",3,2,2,4,3,1,1,2
"pi      ",1,1,1,7,5,3,1,1
"pi      ",3,4,6,3,4,4,4,2
"pi      ",2,2,2,1,2,1,4,2
"pi      ",1,1,1,1,2,1,2,1
"pi      ",3,2,6,5,2,1,5,2
"pi      ",3,2,5,6,4,2,5,3
"pi      ",5,3,4,5,5,5,5,5
"pi      ",4,2,3,7,5,6,2,4
"pi      ",3,2,2,5,5,5,2,3
"pi      ",3,5,3,6,3,3,5,3
"pi      ",NA,1,1,5,3,1,4,1
"pi      ",1,4,3,6,5,2,2,4
"pi      ",3,2,4,4,4,2,5,4
"pi      ",2,2,3,1,4,1,6,1
"pi      ",1,1,1,1,4,1,4,1
"pi      ",2,2,2,5,2,1,2,1
"pi      ",2,5,5,2,4,2,3,1
"pi      ",4,3,3,4,4,7,4,4
"pi      ",2,2,7,4,5,1,1,2
"pi      ",5,5,6,6,5,3,4,3
"pi      ",4,2,3,3,2,1,4,2
"pi      ",3,2,3,5,3,2,2,2
"pi      ",2,1,7,6,2,2,6,5
"pi      ",1,1,1,1,1,1,1,1
"pi      ",5,1,5,6,3,2,3,2
"pi      ",4,5,7,4,5,3,2,3
"pi      ",3,2,2,5,2,1,5,2
"pi      ",5,2,5,6,3,3,5,2
"pi      ",2,1,3,4,1,1,3,1
"pi      ",1,2,5,2,3,1,5,1
"pi      ",5,1,5,5,3,2,4,3
"pi      ",1,1,1,4,1,1,2,2
"pi      ",3,1,2,5,5,3,4,3
"pi      ",6,4,4,5,5,3,5,5
"pi      ",2,2,2,2,2,1,3,1
"pi      ",3,5,4,4,1,2,5,2
"pi      ",1,1,1,3,2,1,1,1
"pi      ",1,3,3,4,4,1,4,1
"pi      ",4,2,2,4,4,2,3,3
"pi      ",5,5,5,7,5,4,5,3
"pi      ",3,3,3,2,3,2,4,3
"pi      ",5,6,4,7,6,5,5,2
"pi      ",2,1,4,5,2,3,6,3
"pi      ",3,2,2,4,3,1,4,3
"pi      ",3,1,4,1,3,1,4,1
"pi      ",3,1,2,7,5,7,1,1
"pi      ",4,4,2,7,4,5,2,4
"pi      ",3,2,2,2,4,1,4,1
"pi      ",6,3,5,6,3,5,4,5
"pi      ",3,3,6,5,4,2,4,3
"pi      ",2,1,1,2,1,1,4,2
"pi      ",2,2,3,6,3,3,4,3
"pi      ",3,1,4,5,5,1,4,2
"pi      ",2,2,1,4,2,1,4,1
"pi      ",2,1,2,4,2,1,2,1
"pi      ",4,4,4,4,5,3,5,3
"pi      ",1,1,3,4,3,3,4,1
"pi      ",4,3,7,6,4,5,4,4
"pi      ",3,3,5,3,4,2,3,2
"pi      ",3,4,4,6,2,4,4,4
"pi      ",2,2,1,1,1,2,4,2
"pi      ",3,4,4,5,3,3,4,2
"pi      ",3,3,4,4,3,2,4,3
"pi      ",2,2,4,4,6,1,6,4
"pi      ",2,4,1,2,2,1,4,1
"pi      ",6,3,7,5,3,3,5,4
"pi      ",5,5,6,6,5,4,6,5
"pi      ",2,2,3,4,2,1,4,1
"pi      ",3,1,1,2,2,1,1,1
"pi      ",2,1,2,3,2,1,4,2
"pi      ",2,2,2,2,2,5,3,3
"pi      ",3,1,3,7,3,7,4,2
"pi      ",4,1,3,5,4,1,5,1
"pi      ",5,3,6,6,3,1,3,2
"pi      ",2,1,3,7,3,3,3,1
"pi      ",5,6,2,5,7,6,4,3
"pi      ",3,2,3,1,1,1,4,1
"pi      ",5,5,5,6,6,3,5,4
"pi      ",4,3,5,5,3,4,6,3
"pi      ",3,6,2,7,6,7,4,6
"pi      ",1,2,2,2,2,1,2,1
"pi      ",1,3,3,3,1,1,4,1
"pi      ",2,2,5,2,4,1,4,2
"pi      ",4,3,3,6,4,3,4,3
"pi      ",3,2,3,1,2,2,3,1
"pi      ",5,5,6,7,6,5,3,4
"pi      ",1,1,3,5,4,2,3,3
"pi      ",3,2,3,3,2,2,3,5
"pi      ",2,3,3,2,2,1,6,1
"pi      ",3,4,3,6,4,2,5,3
"pi      ",2,1,1,1,2,1,1,1
"pi      ",4,3,4,6,4,2,3,3
"pi      ",5,1,3,6,3,6,2,4
"pi      ",1,5,2,4,4,5,1,1
"pi      ",1,1,2,7,4,1,1,4
"pi      ",2,3,3,4,5,2,5,3
"pi      ",3,3,4,5,3,3,3,3
"pi      ",2,2,1,4,3,4,4,1
"pi      ",2,5,6,4,4,1,6,5
"pi      ",1,1,1,1,1,1,1,1
"pi      ",1,2,6,4,2,1,5,1
"pi      ",3,1,5,7,4,1,1,1
"pi      ",2,2,3,6,2,2,5,1
"pi      ",6,3,5,6,5,6,6,3
"pi      ",2,2,3,4,3,1,4,1
"pi      ",3,2,3,1,5,1,7,4
"pi      ",2,3,4,4,4,3,7,2
"pi      ",3,3,4,4,4,4,3,4
"pi      ",5,5,5,3,5,3,2,4
"pi      ",1,1,1,4,4,1,1,1
"pi      ",5,3,2,6,5,5,3,5
"pi      ",1,4,5,1,1,4,3,1
"pi      ",2,2,2,3,3,1,4,1
"pi      ",2,2,2,2,4,2,1,2
"pi      ",2,1,2,4,5,3,1,5
"pi      ",1,1,1,3,3,1,2,2
"pi      ",5,1,5,7,6,5,5,5
"pi      ",1,1,1,1,1,1,6,1
"pi      ",3,3,4,4,3,1,4,3
"pi      ",3,1,3,7,5,1,1,3
"pi      ",2,3,7,7,6,5,7,5
"pi      ",2,1,3,4,3,1,3,2
"pi      ",2,1,3,3,1,1,4,1
"pi      ",2,3,3,4,5,3,4,2
"pi      ",4,4,4,7,5,3,3,4
"pi      ",5,5,5,5,4,3,4,1
"pi      ",2,3,2,2,3,2,2,2
"pi      ",4,2,4,6,3,3,3,3
"pi      ",3,1,4,6,4,3,4,4
"pi      ",4,5,5,4,3,3,5,3
"pi      ",2,3,4,4,5,3,3,2
"pi      ",5,3,6,6,6,5,4,3
"pi      ",1,1,3,4,1,1,4,1
"pi      ",4,3,6,4,3,2,4,2
"pi      ",4,1,1,1,3,7,1,4
"pi      ",7,7,2,7,5,6,3,5
"pi      ",2,5,5,4,4,1,3,2
"pi      ",7,3,3,NA,5,3,3,3
"pi      ",3,2,2,6,2,2,2,2
"pi      ",4,2,3,4,4,4,1,1
"pi      ",1,2,3,3,3,3,5,2
"pi      ",5,3,6,7,4,6,7,5
"pi      ",3,3,5,4,3,3,5,3
"pi      ",2,3,5,5,5,2,6,2
"pi      ",2,3,3,5,2,1,5,2
"pi      ",1,1,3,2,5,2,3,2
"pi      ",2,2,2,6,4,1,4,1
"pi      ",5,2,3,3,3,3,2,3
"pi      ",2,2,3,3,5,3,4,3
"pi      ",1,1,1,3,1,1,1,1
"pi      ",3,1,6,7,4,4,3,5
"pi      ",4,5,4,3,4,3,4,5
"pi      ",5,5,5,5,NA,3,4,3
"pi      ",5,5,7,5,2,5,7,3
"pi      ",3,2,3,2,2,1,3,1
"pi      ",1,2,1,2,2,1,1,1
"pi      ",2,1,6,6,4,3,2,NA
"pi      ",1,5,4,5,3,1,5,1
"pi      ",1,5,2,5,2,1,1,1
"pi      ",2,2,2,3,2,2,6,2
"pi      ",3,5,7,5,4,5,5,2
"pi      ",3,5,3,7,3,3,3,3
"pi      ",3,3,3,4,3,3,5,4
"pi      ",2,2,3,4,5,1,4,1
"pi      ",4,5,7,5,4,3,6,3
"pi      ",3,3,3,4,5,3,7,1
"pi      ",5,5,7,7,6,5,7,2
"pi      ",2,2,2,3,3,1,4,2
"pi      ",5,3,4,5,5,3,4,4
"pi      ",5,3,3,2,5,2,4,2
"pi      ",3,3,3,6,5,4,2,3
"pi      ",3,2,3,6,6,6,5,5
"pi      ",5,2,3,2,3,3,3,2
"pi      ",5,5,2,3,6,1,5,2
"pi      ",4,2,4,7,4,5,3,4
"pi      ",3,3,5,5,5,2,4,4
"pi      ",5,5,6,7,6,5,3,2
"pi      ",4,2,4,4,5,2,6,2
"pi      ",2,1,2,3,2,2,3,2
"pi      ",5,3,5,7,4,5,7,3
"pi      ",5,5,7,5,3,2,6,2
"pi      ",4,3,3,4,3,1,2,3
"pi      ",1,1,3,3,1,1,2,1
"pi      ",3,2,4,7,2,3,4,5
"pi      ",2,2,2,1,4,1,2,1
"pi      ",3,5,6,7,4,3,3,6
"pi      ",2,5,6,6,4,1,4,2
"pi      ",4,4,6,5,4,3,3,4
"pi      ",5,3,3,NA,3,3,5,3
"pi      ",1,1,2,1,4,2,4,1
"pi      ",1,1,1,7,1,1,1,1
"pi      ",4,6,6,4,4,3,5,2
"pi      ",3,3,4,4,5,5,4,2
"pi      ",1,NA,3,4,3,1,4,1
"pi      ",3,3,2,4,5,4,5,4
"pi      ",5,3,5,6,6,3,5,5
"pi      ",3,3,6,6,5,5,4,4
"pi      ",5,2,4,6,5,6,4,5
"pi      ",6,4,3,7,5,6,2,4
"pi      ",7,3,1,4,1,7,7,4
"pi      ",4,4,4,1,4,2,4,4
"pi      ",4,3,4,4,4,4,4,4
"pi      ",5,3,2,5,4,6,2,4
"pi      ",4,5,6,7,6,6,6,6
"pi      ",1,1,1,5,3,1,3,1
"pi      ",3,3,2,3,3,1,4,3
"pi      ",4,4,5,4,5,2,4,2
"pi      ",1,3,3,4,3,1,4,1
"pi      ",2,3,5,4,5,3,4,2
"pi      ",2,3,3,3,5,1,6,4
"pi      ",2,1,1,7,4,5,1,6
"pi      ",4,1,2,3,3,2,7,1
"pi      ",1,1,1,1,1,7,6,1
"pi      ",3,3,4,5,4,3,2,4
"pi      ",3,2,3,4,4,2,1,4
"pi      ",2,2,5,3,4,2,3,3
"pi      ",4,4,4,4,4,3,5,3
"pi      ",1,1,2,1,1,1,3,1
"pi      ",4,3,7,4,5,3,5,5
"pi      ",3,3,4,7,5,7,3,6
"pi      ",5,3,2,6,5,3,2,3
"pi      ",3,2,3,3,3,1,6,3
"pi      ",7,3,3,4,2,1,4,1
"pi      ",2,2,2,7,5,2,1,3
"pi      ",3,4,4,4,4,2,5,4
"pi      ",3,3,3,4,5,3,5,3
"pi      ",2,2,3,4,5,2,5,2
"pi      ",2,2,2,4,4,1,3,1
"pi      ",1,1,2,3,5,1,4,1
"pi      ",1,1,1,3,2,1,5,1
"pi      ",2,2,3,3,4,1,6,2
"pi      ",1,1,3,7,6,3,2,2
"pi      ",5,5,6,6,6,3,5,5
"pi      ",2,2,3,7,3,1,3,1
"pi      ",1,1,3,1,2,1,1,1
"pi      ",3,2,4,3,5,1,5,3
"pi      ",1,4,4,4,3,5,4,4
"pi      ",2,2,3,1,4,1,3,2
"pi      ",6,4,6,7,6,4,4,2
"pi      ",1,1,3,2,3,1,6,1
"pi      ",6,5,6,2,5,2,6,4
"pi      ",6,6,5,5,4,2,5,2
"pi      ",5,2,4,7,7,5,4,5
"pi      ",2,2,2,7,2,1,2,1
"pi      ",1,2,3,3,3,1,4,1
"pi      ",4,2,3,5,4,2,4,2
"pi      ",4,1,5,6,5,7,2,4
"pi      ",4,3,5,5,5,5,6,3
"pi      ",2,3,1,4,2,1,2,1
"pi      ",3,3,5,4,4,1,5,3
"pi      ",5,5,5,7,5,6,4,4
"pi      ",3,5,3,6,5,3,2,2
"pi      ",5,3,3,5,5,5,4,3
"pi      ",5,3,5,7,5,2,4,1
"pi      ",2,1,3,6,4,2,4,3
"pi      ",3,2,3,7,5,2,7,5
"pi      ",2,2,4,2,3,2,4,3
"pi      ",4,3,5,6,4,5,2,3
"pi      ",4,4,6,4,5,3,6,3
"pi      ",4,3,3,7,5,6,NA,5
"pi      ",1,1,1,4,1,1,5,1
"pi      ",3,3,5,1,2,1,5,2
"pi      ",3,4,4,6,4,6,2,4
"pi      ",3,4,6,4,3,1,4,2
"pi      ",3,3,3,5,3,3,3,2
"pi      ",3,3,3,7,4,1,4,3
"pi      ",6,7,6,7,5,4,4,4
"pi      ",4,3,6,4,2,4,4,4
"pi      ",4,4,3,3,3,5,3,4
"pi      ",4,3,4,5,4,2,4,2
"pi      ",4,5,5,6,3,4,5,4
"pi      ",3,2,2,3,3,2,2,2
"pi      ",2,5,6,5,5,3,4,3
"pi      ",4,4,4,7,7,7,6,3
"pi      ",3,2,3,6,5,3,6,1
"pi      ",3,1,3,4,1,1,1,3
"pi      ",3,3,4,7,5,6,6,3
"pi      ",5,2,4,4,4,7,3,5
"pi      ",1,1,1,1,1,1,1,1
"pi      ",5,5,7,5,5,3,4,3
"pi      ",3,4,5,5,5,3,3,3
"pi      ",2,2,2,4,2,1,5,2
"pi      ",4,5,4,4,5,2,2,6
"pi      ",5,2,3,5,4,2,4,2
"pi      ",2,2,4,6,5,3,5,3
"pi      ",5,5,7,7,6,5,6,6
"pi      ",1,4,1,7,4,7,1,4
"pi      ",3,3,5,5,4,4,4,5
"pi      ",3,4,5,3,4,2,3,2
"pi      ",5,5,5,7,6,6,5,5
"pi      ",4,5,4,5,5,4,5,5
"pi      ",1,1,3,7,4,7,4,5
"pi      ",1,1,5,6,3,2,5,3
"pi      ",3,3,3,2,2,2,3,3
"pi      ",3,3,4,6,5,5,5,3
"pi      ",1,5,5,3,3,1,5,3
"pi      ",5,5,6,7,5,6,5,5
"pi      ",5,3,6,7,7,5,1,5
"pi      ",2,1,1,4,1,4,1,4
"pi      ",3,3,1,7,7,6,1,3
"pi      ",4,2,3,4,3,2,3,4
"pi      ",3,3,5,7,5,5,6,2
"pi      ",1,1,2,7,4,2,1,1
"pi      ",5,5,6,6,5,5,5,5
"pi      ",3,2,3,6,2,6,1,2
"pi      ",6,5,6,3,6,2,7,3
"pi      ",5,2,3,6,3,3,6,3
"pi      ",1,2,1,3,3,1,2,3
"pi      ",3,3,5,5,5,5,6,5
"pi      ",4,2,5,4,4,2,5,2
"pi      ",2,1,4,2,3,2,3,2
"pi      ",3,1,4,7,3,3,5,2
"pi      ",3,1,3,3,3,2,6,3
"pi      ",2,2,2,6,5,4,3,5
"pi      ",5,3,3,6,5,3,3,3
"pi      ",4,3,4,5,4,2,5,4
"pi      ",1,1,1,7,7,7,7,1
"pi      ",2,1,3,6,5,3,3,3
"pi      ",3,4,4,5,4,3,4,4
"pi      ",4,2,4,2,2,1,4,1
"pi      ",3,3,5,6,NA,2,5,3
"pi      ",4,4,6,7,3,1,3,1
"pi      ",2,4,5,3,5,2,4,3
"pi      ",3,2,2,3,4,1,4,1
"pi      ",2,2,5,3,2,1,4,1
"pi      ",1,4,3,5,2,1,3,3
"pi      ",6,1,3,7,4,7,2,4
"pi      ",4,3,2,7,6,3,2,3
"pi      ",3,3,3,6,2,6,3,2
"pi      ",2,1,1,1,2,1,1,1
"pi      ",6,1,4,4,4,4,2,3
"pi      ",2,4,3,4,5,3,4,4
"pi      ",3,6,5,4,4,3,5,3
"pi      ",3,4,5,7,4,5,3,4
"pi      ",5,3,4,5,6,3,4,3
"pi      ",2,2,3,5,2,1,4,1
"pi      ",3,3,6,6,5,1,7,2
"pi      ",4,3,4,4,4,3,4,3
"pi      ",2,2,2,7,3,1,6,2
"pi      ",1,2,1,5,5,2,1,3
