"g","iatexplicitart1","iatexplicitart2","iatexplicitart3","iatexplicitart4","iatexplicitart5","iatexplicitart6"
"pi      ",-2,-3,-3,-2,-2,-2
"pi      ",-2,-3,0,0,-3,-3
"pi      ",0,0,0,0,0,0
"pi      ",-2,-2,-2,-3,-3,-3
"pi      ",-3,-3,-3,-2,-3,-3
"pi      ",-3,-2,-1,-3,-3,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-3,-3,-3,-2,-2,-3
"pi      ",-2,-2,-3,-2,-2,-3
"pi      ",-2,-1,-1,-1,-1,-1
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-2,NA,-2,-2,-2,-3
"pi      ",-2,-2,NA,-2,NA,-3
"pi      ",-1,-1,-2,-1,-1,-1
"pi      ",-3,0,0,-1,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-1,-2,-2,-2,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-3,-2,-2,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,0,-2,-3,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-2
"pi      ",-2,-2,-2,-2,-2,-3
"pi      ",0,0,0,-1,-1,-1
"pi      ",0,-3,-3,-3,0,0
"pi      ",-2,NA,-2,-2,-2,-3
"pi      ",0,0,0,0,0,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-2,-2,-3,-2
"pi      ",-2,-2,-2,-2,-2,-1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,1,0,-1,-1,1
"pi      ",-2,-2,-3,-2,-2,-3
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",NA,-2,-2,-3,-3,-3
"pi      ",2,2,1,1,2,2
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-2,-1,-3,-1,-1,1
"pi      ",-3,-3,-3,-3,-3,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-1,-2,0,-1,0
"pi      ",-2,-3,-2,-2,-3,-2
"pi      ",0,-1,-3,-2,-1,0
"pi      ",-1,-2,-2,-1,-2,-3
"pi      ",-3,-3,-2,-3,-2,-3
"pi      ",-1,-2,-3,-2,-1,-3
"pi      ",-2,0,-3,0,-2,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,0,-1,-1,-1,1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-1,-1
"pi      ",-3,-2,-3,-3,-2,-3
"pi      ",-1,-2,-2,-2,-2,-2
"pi      ",-2,-3,-2,-2,-2,-3
"pi      ",-3,-3,-3,-2,-2,-3
"pi      ",-3,-3,-1,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,-1,-2,-3,-2,1
"pi      ",-3,-3,0,0,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-1,-1,1,-1,-1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-3,-2,-2,-3
"pi      ",1,0,-2,0,0,-1
"pi      ",-3,-3,-2,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",1,0,0,0,2,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-3,-3,-3,-2
"pi      ",-1,-1,-2,-1,-1,0
"pi      ",-2,-2,-2,-2,0,-2
"pi      ",-3,-3,-1,-2,-2,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-3,-3,-1,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,0,0,0,-2,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-1,0,0
"pi      ",-3,-2,-3,-3,-2,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,-1,-1,-1,-2,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,NA,-3,-3
"pi      ",0,-2,-2,-3,-2,-2
"pi      ",-3,-2,-3,-3,-2,-3
"pi      ",0,0,0,0,0,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,-1,-1,-1,-1,-1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-1,0,0,0,-3
"pi      ",-3,-2,-3,-2,-2,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-2,-2
"pi      ",NA,-3,-3,NA,-3,-3
"pi      ",-2,-2,-2,-3,-2,-3
"pi      ",-3,-2,-2,-2,-3,-3
"pi      ",0,-1,-3,-1,-2,0
"pi      ",-2,-2,-3,-3,-2,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,0,-2,-2,-2,-3
"tamuc   ",-2,-2,-3,-2,-1,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-1,-1,0,0,0
"pi      ",1,2,2,2,2,1
"pi      ",0,-1,-3,-1,0,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,0,-1,-1,0,-3
"mcdaniel",-3,-2,-2,-3,-2,-2
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-3,-1,-3,-2,-1,-1
"pi      ",-2,-1,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-2,-2,-2
"mcdaniel",-2,NA,-3,-2,2,0
"pi      ",-3,0,-3,-3,-3,-3
"tamuc   ",-3,-3,-3,-3,-3,-3
"tamuc   ",-2,-2,-2,-3,-3,-2
"pi      ",-1,0,-2,-2,-3,-3
"pi      ",-1,0,-1,0,-1,0
"pi      ",-2,-2,-3,-3,-2,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-2,-2,-2,-2
"pi      ",-1,0,-1,-1,1,-1
"mcdaniel",-3,-3,-3,-3,-3,-3
"pi      ",-2,-3,-3,-3,-3,-2
"pi      ",-3,-3,-3,-3,-2,-2
"pi      ",-3,-3,-2,-2,-2,-2
"pi      ",-2,-3,-3,-2,-3,0
"pi      ",-3,0,-3,-3,-3,-3
"mcdaniel",-2,-2,-2,-2,-2,-2
"mcdaniel",-3,-3,-3,-3,-3,0
"pi      ",-2,-1,-2,-2,-2,-1
"pi      ",1,NA,1,0,0,1
"pi      ",-3,-3,-2,-2,-3,-3
"pi      ",-3,NA,-3,-3,-3,-3
"pi      ",-1,-3,-3,-3,-3,-3
"pi      ",-1,-1,-2,-1,1,1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",2,-1,-2,-1,2,-1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,-1,-2,-2,-1,-1
"pi      ",-3,-3,0,0,-3,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,-1,-2,-1,-1,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,0,0,-2,0
"pi      ",-3,-3,-2,0,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,-2,-2,-2,-2,-3
"pi      ",-3,-2,-3,-2,-2,0
"pi      ",-1,-1,-3,-3,-1,1
"abington",-2,0,-3,-2,-1,-1
"abington",0,0,0,2,0,0
"abington",-2,-2,-2,-2,-1,-3
"abington",-1,-1,-2,-1,-1,0
"abington",0,1,-2,0,1,0
"abington",-1,0,-2,-1,-2,0
"abington",-1,-1,-1,-1,-1,-3
"abington",0,-1,-1,-1,-1,0
"abington",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-1,-1,0,0,1
"wku     ",-2,-2,-3,-3,-3,-2
"pi      ",-3,-2,-2,-2,-2,-2
"pi      ",-1,0,-3,-1,2,0
"wku     ",0,1,-1,0,-1,0
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-1,-1,-2,-2,-1,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-2,-2,-2
"mcdaniel",1,0,-1,0,1,0
"brasilia",-1,-1,-1,-1,-1,-1
"brasilia",-2,-2,-2,-2,-1,NA
"brasilia",-3,-3,-3,-3,-2,0
"brasilia",-3,-1,-3,-3,0,-3
"brasilia",-2,-2,-1,-2,0,-3
"brasilia",-2,-2,-2,-2,-2,-3
"brasilia",-2,-3,-2,-2,-1,-1
"brasilia",-2,-2,0,0,-2,-2
"brasilia",-1,-3,-3,-3,-2,-2
"brasilia",-2,-2,-1,-2,-1,-3
"brasilia",-1,-2,-2,-2,-1,0
"brasilia",-3,-3,-3,-3,-3,-2
"brasilia",-3,-3,-3,-3,-2,-2
"wku     ",-1,-2,-3,-3,-3,0
"wku     ",-2,-2,-3,-2,-2,-2
"wku     ",0,-1,-3,-1,-1,1
"wku     ",-3,-3,-3,-3,-1,1
"wku     ",-1,-1,-1,-1,0,0
"brasilia",-2,-3,-3,-3,-3,-2
"brasilia",-1,-3,-3,-3,-2,-2
"brasilia",-2,0,-2,0,-1,-3
"brasilia",-3,-3,-3,-3,-3,-3
"brasilia",-3,-2,-3,-3,-3,-1
"brasilia",-3,-3,-3,-3,-3,-3
"brasilia",-3,-3,-3,-3,-3,-3
"brasilia",-3,-3,-3,-3,-3,-3
"brasilia",-3,-3,-3,-3,-3,-1
"brasilia",-3,-3,-3,-3,-2,-3
"brasilia",-1,-2,-2,-2,-1,-3
"brasilia",-3,-2,0,-3,-3,-2
"brasilia",-2,-2,-1,-2,-2,-2
"brasilia",-2,-3,-3,-3,-3,-3
"brasilia",-3,-3,-3,-3,-3,-3
"brasilia",-2,-3,-3,-3,-3,-3
"brasilia",-3,0,-2,-3,-1,-3
"brasilia",-3,-3,-3,-3,-3,-3
"brasilia",-1,0,-1,-1,0,-3
"brasilia",-1,-2,0,-3,-2,-3
"brasilia",-2,-2,-2,-1,0,-2
"brasilia",-3,-3,-3,-3,-2,-3
"brasilia",-3,-2,-3,-2,-1,1
"brasilia",-3,-3,-3,-3,-2,-1
"brasilia",-1,0,-2,-1,-3,0
"brasilia",-2,-3,-3,-3,-2,-3
"brasilia",-3,NA,NA,NA,NA,NA
"brasilia",-2,-2,-3,-2,-1,-2
"brasilia",-2,-2,-2,-3,-2,-1
"brasilia",-3,-2,-3,-3,-3,-3
"brasilia",-2,-1,-2,-2,-1,-3
"brasilia",-2,-3,-3,-2,-2,-2
"brasilia",-3,-3,-3,-3,-3,-2
"brasilia",-3,-3,-3,-3,-2,-2
"wku     ",NA,0,-3,-2,-2,-2
"brasilia",-2,-1,-1,-1,-2,-2
"brasilia",-3,-3,-3,-3,-3,-3
"brasilia",-2,-2,-3,-3,-2,-3
"brasilia",-3,-2,-3,-3,-3,-3
"brasilia",-2,-3,-3,-3,-2,0
"brasilia",-3,-3,-3,-3,-3,-1
"brasilia",-1,-2,-2,-2,-1,-3
"brasilia",-2,-3,-3,-3,-2,1
"brasilia",-3,-2,-3,-3,-3,-2
"brasilia",-2,-3,-2,-2,-1,-2
"brasilia",-3,NA,-3,-3,-3,-3
"brasilia",-2,-3,-3,-3,-1,1
"brasilia",-3,-2,-1,-2,-1,-2
"brasilia",-2,-3,-3,-3,-3,-3
"pi      ",0,0,-1,-1,-1,-2
"pi      ",-3,-2,-3,-2,-3,-3
"pi      ",-1,0,-1,-2,-1,0
"pi      ",-2,-3,-3,-3,-2,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-2,-3,-1,0
"pi      ",-3,-2,-3,-3,-3,-3
"pi      ",-3,-2,-3,-2,-3,-3
"pi      ",-2,-2,-2,-2,-1,1
"pi      ",-3,-1,-2,-2,-2,-3
"pi      ",0,0,-3,-3,-2,-3
"mcdaniel",-2,-3,-3,0,-2,0
"mcdaniel",1,1,1,1,0,2
"pi      ",0,0,0,0,0,0
"pi      ",-3,-3,-3,-3,-3,-1
"pi      ",-3,0,-2,-1,-3,2
"pi      ",-2,-3,-3,-2,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,-3,-3,-2,-1,-1
"wl      ",-2,-2,-3,-2,-3,-3
"wl      ",-2,-2,-3,-2,-2,-3
"wl      ",-2,-2,-3,-2,-1,-3
"mturk   ",-3,-3,-3,-3,-2,-3
"mturk   ",-2,-2,-2,-2,-2,1
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,-2,-2,-1,-3,0
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-1,-2,-2,-2,-2
"mturk   ",-2,-2,-2,-2,-2,-2
"mturk   ",-2,-1,0,-2,0,-2
"mturk   ",-1,-1,-1,-1,-1,-1
"pi      ",-3,-3,-3,-3,-3,-3
"mturk   ",-1,-2,-1,1,0,1
"mturk   ",-2,-2,-2,-3,-3,0
"mturk   ",-2,-2,-1,-1,-3,-3
"mturk   ",-2,-3,-3,-3,-3,-3
"mturk   ",-3,-3,-3,-2,-3,-3
"mturk   ",-2,-2,-2,-2,-2,-2
"mturk   ",0,0,-1,-1,-2,-2
"mturk   ",-2,-2,-3,-1,0,1
"mturk   ",-3,-2,-3,-2,-2,-2
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-1,0,-2,-2,-2,-1
"mturk   ",-2,-1,-2,-2,-2,-2
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-1,-1,0,1,-1,-1
"mturk   ",-2,-1,-2,-2,-2,-1
"mturk   ",-2,-2,-1,-2,-2,-2
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,-3,-3,-3,-3,1
"mturk   ",-2,-2,-3,-3,-2,-2
"mturk   ",-3,-3,-3,-2,-2,-2
"mturk   ",-2,-1,-2,-2,-1,-3
"mturk   ",0,0,1,0,0,1
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-2,-1,-2,-2,-2
"mturk   ",-1,-2,-2,-2,-2,1
"mturk   ",-2,0,-3,-1,-2,-1
"mturk   ",-3,-2,-3,-3,-3,-2
"mturk   ",-3,-2,-3,-3,-2,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-1,-1,-1,1,-2,0
"mturk   ",-2,-3,-2,-3,-2,-3
"mturk   ",-3,-2,-2,-2,-2,-2
"mturk   ",3,3,3,3,3,3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",0,-3,-3,-1,-1,0
"mturk   ",0,-1,-2,-2,1,-3
"mturk   ",-2,-2,-3,-2,-3,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,-3,-3,-2,-3,-3
"mturk   ",-3,-3,-2,-2,-3,-2
"mturk   ",-2,0,0,1,-2,-1
"mturk   ",-1,-3,-1,-2,-3,-1
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,-2,-3,-2,-2,-1
"mturk   ",-3,-2,-2,-3,-3,-2
"mturk   ",-2,-3,-1,-2,-2,-3
"mturk   ",-1,-1,-1,0,0,0
"mturk   ",-2,-2,-2,-2,-2,-2
"mturk   ",-2,-1,-2,-2,-3,-1
"mturk   ",-2,-3,-2,-1,-3,-2
"mturk   ",-2,-2,0,-2,1,2
"mturk   ",-2,-2,-2,-1,-1,-2
"mturk   ",-2,-2,1,-2,-2,1
"mturk   ",-2,-3,-2,-1,0,2
"mturk   ",-3,-2,-3,-3,-3,-2
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,-2,-3,-2,-3,-3
"mturk   ",-2,-2,-1,0,-3,-1
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-2,-3,-1,-3,-2
"mturk   ",-2,-2,-2,-1,-1,-1
"mturk   ",-2,-2,-2,-1,-1,0
"mturk   ",-3,-2,-2,-3,-3,-2
"mturk   ",-2,-2,-2,-2,-2,-2
"mturk   ",-2,-2,-2,-2,-2,-2
"mturk   ",-2,-2,-1,-2,-2,-2
"mturk   ",-3,-2,-3,-3,-2,-3
"mturk   ",-3,-3,-3,-3,-2,-3
"mturk   ",-3,-2,-3,-3,0,0
"mturk   ",-1,-1,0,-2,-1,-1
"mturk   ",-2,-2,-2,-2,-3,0
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,-2,-1,-1,-1,-2
"mturk   ",-2,-2,-2,-2,-3,-3
"mturk   ",-3,0,-2,-2,-3,-3
"mturk   ",-3,-3,-3,-3,-3,-2
"mturk   ",-3,-1,1,-3,-3,-2
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,NA,-3,-3,-3,-2
"mturk   ",-2,-2,-2,-1,-1,-2
"pi      ",-1,-2,-1,-1,-1,-1
"mturk   ",-3,-3,-3,-2,-2,0
"pi      ",-3,-3,-3,-3,-3,-3
"mturk   ",0,0,0,0,0,0
"wl      ",-1,-1,-2,-1,-2,1
"pi      ",-2,-2,0,0,0,-3
"pi      ",-3,-2,-2,-2,-2,-2
"pi      ",-3,-3,-3,-3,-2,-3
"mturk   ",-1,-2,-2,-2,-2,-2
"mturk   ",-2,-2,-3,-2,-2,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-3,-1,-2,-2,-3
"mturk   ",-2,-1,-2,-1,-3,-1
"mturk   ",-1,-2,-3,-2,-2,-2
"pi      ",-2,-1,-2,-2,-1,-2
"brasilia",-2,-2,-2,-2,-1,-1
"mcdaniel",-1,-2,-2,-1,-3,-3
"tamuc   ",-2,-2,-3,-2,-2,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-2,-3
"pi      ",0,0,-3,-3,0,0
"pi      ",0,0,0,0,0,0
"pi      ",0,0,0,-1,0,0
"pi      ",-3,0,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-1,-2,-3
"mcdaniel",0,-1,0,0,0,0
"mcdaniel",-1,1,-3,0,-1,0
"pi      ",0,0,-1,-2,-1,-2
"pi      ",-2,0,0,0,-2,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-2
"pi      ",-2,-1,-2,-1,-2,-2
"pi      ",1,1,-1,-1,0,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,1,-2,-2,0,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,0,0,0,-2,0
"pi      ",-3,-3,-3,-3,-3,-3
"mcdaniel",0,-2,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,-1,-1,-1,-1,-1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-3,-3,-2,-2,-2
"brasilia",-1,0,-3,-3,0,-3
"pi      ",-2,0,-2,-2,0,-1
"pi      ",-3,-2,-2,-2,-2,-3
"pi      ",-3,-2,-3,-2,-3,-3
"pi      ",-3,-2,-3,-2,-2,-3
"pi      ",-2,0,-2,-2,-2,-3
"pi      ",-2,-2,-2,-2,-1,-2
"mcdaniel",-1,-1,-1,-1,-1,-1
"pi      ",-3,-3,-3,-1,-2,-2
"brasilia",-3,-3,-3,-3,-1,-2
"pi      ",-2,-2,-2,-2,-2,-3
"mcdaniel",0,1,2,1,3,1
"pi      ",-3,-3,-3,-3,-2,-2
"pi      ",0,-2,0,0,0,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-1,0,0,-2,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,NA
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-1,-2,-1,-1,-2
"mcdaniel",-2,-2,-2,-2,-1,-1
"pi      ",-3,-1,-3,-1,-2,-3
"pi      ",-3,-2,-2,-3,-2,-2
"pi      ",-1,-1,-1,-1,-1,-1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-2
"pi      ",-2,-2,-2,-2,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-3,-2,-2,-2
"pi      ",-3,-3,-3,-3,-3,-3
"mcdaniel",-2,0,-2,-1,-2,-3
"pi      ",-2,-1,-1,-2,-1,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-2,-2,-3,-2
"pi      ",-1,-2,-2,-2,-3,-3
"pi      ",-3,-3,-3,-3,-3,-2
"pi      ",-3,-3,-2,-3,-3,1
"pi      ",-2,-3,-3,-3,-2,1
"pi      ",-1,-1,-1,-1,-1,-1
"pi      ",-3,-3,-3,-3,-3,-2
"pi      ",-2,-3,-2,-3,-3,-3
"pi      ",0,0,-3,-1,-2,NA
"pi      ",0,0,0,-2,-1,1
"pi      ",-2,-2,-1,-2,NA,-2
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-2,-2,-3,-3,-2,1
"pi      ",-3,-3,0,0,-3,-3
"pi      ",2,0,0,1,2,-3
"pi      ",-2,-2,-2,-2,-2,-3
"pi      ",-1,0,-3,-2,0,0
"pi      ",-3,-2,-2,-2,-2,-2
"pi      ",-2,-3,-3,-3,-3,-3
"pi      ",0,0,-3,-3,0,0
"pi      ",-3,-2,-3,-2,-2,1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-3,-2,-2,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",0,-1,-3,-1,-2,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-2,-3,-3,-3
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",0,0,0,0,0,0
"pi      ",-2,-2,-2,-2,-2,-2
"mcdaniel",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-3,-2,-1,-2
"mcdaniel",-3,-3,-3,-3,-3,-3
"brasilia",-2,-2,-3,-3,-1,-3
"mcdaniel",-3,-3,-3,-3,-3,-3
"pi      ",0,-1,-1,0,-1,1
"pi      ",-3,-3,-3,-3,-3,-3
"mcdaniel",-3,-3,-2,-2,-3,-3
"pi      ",-2,-1,-2,-1,0,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"mcdaniel",-3,-3,-3,-3,-3,0
"pi      ",1,-1,-3,-2,-2,-1
"pi      ",-2,0,-2,-2,-1,-3
"pi      ",-2,-1,-3,-2,-2,-3
"pi      ",-3,-3,-3,-3,-3,-3
"mcdaniel",-3,-3,-3,-3,-2,-1
"pi      ",-3,-2,-2,0,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,-1,-3,-3,-2,-3
"pi      ",-2,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-2,-1,-1
"pi      ",-3,-2,-2,-2,-2,-1
"pi      ",-2,-2,-3,-2,-2,-3
"pi      ",-2,-2,-3,-3,-2,-2
"pi      ",1,0,1,0,-2,-1
"pi      ",-2,-3,-3,-3,-3,-3
"pi      ",0,-1,-2,-2,-2,-2
"tamuc   ",-1,-1,-3,-2,-2,-3
"tamuc   ",-2,-1,-1,1,0,-1
"pi      ",-1,-2,-2,-2,-1,1
"abington",-3,-2,-3,-3,-3,-3
"pi      ",0,-1,-2,-1,0,0
"abington",-2,-2,-2,-1,-2,-2
"abington",-2,-2,-2,-3,-2,-2
"abington",-3,-3,-3,-3,-3,-3
"tamuc   ",-2,-2,-3,-2,-3,-3
"tamuc   ",0,0,-1,-1,-1,-2
"wl      ",-3,-3,-3,-3,-3,-3
"abington",1,0,1,0,0,0
"abington",-3,-3,-3,-3,-3,-3
"abington",-2,-2,-2,-3,-2,-2
"abington",-3,-3,-3,-2,-2,-3
"tamuc   ",-3,-3,-3,-3,-2,-1
"tamuc   ",-3,-3,-3,-3,-3,-3
"abington",-2,-1,-1,0,0,0
"tamuc   ",0,0,0,-1,0,-3
"mturk   ",1,-1,-1,-1,1,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,-1,-2,-2,-1,-3
"mturk   ",1,0,-1,-1,1,0
"mturk   ",0,0,-2,-1,-1,-2
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"abington",3,3,0,0,3,-3
"abington",0,-1,-3,-2,0,0
"abington",-3,-3,-3,-3,-3,-3
"abington",0,0,-2,-2,-2,-2
"mturk   ",0,0,0,-1,-1,-2
"abington",-3,-1,-3,-2,-2,-1
"pi      ",-3,-3,-3,-3,-3,-3
"tamuc   ",-3,-3,-3,-3,-3,-3
"tamuc   ",-1,0,-2,0,0,1
"mturk   ",-2,-1,-2,-2,-2,-2
"abington",-1,-1,-1,0,-1,-3
"abington",-2,-2,-2,-2,-3,-3
"abington",-3,-3,-3,-3,-3,-3
"abington",-1,-1,-3,-2,1,0
"abington",-3,-3,-3,-3,-3,-3
"abington",-3,-2,-3,-1,-2,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"tamuc   ",0,-1,-2,-2,0,0
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-3,-2,-1,-1,-2,-3
"mturk   ",1,0,-1,-1,2,1
"mturk   ",0,-1,-1,-2,-1,-1
"mturk   ",0,0,0,0,2,-2
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,-2,-3,-2,-3,-3
"mturk   ",-2,-2,-2,-2,-2,-2
"mturk   ",-3,-2,-2,-2,-2,-3
"mturk   ",-2,-2,-2,-2,-2,-2
"mturk   ",-1,0,-2,-1,0,-1
"mturk   ",-1,0,1,-2,-1,-2
"mturk   ",-1,-1,-2,-1,-2,-3
"mturk   ",-3,-2,0,0,-2,0
"pi      ",-1,-2,-3,-2,-2,-1
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,-1,-2,-3,-3,-3
"mturk   ",-2,-3,-2,-3,-3,-3
"mturk   ",-2,-2,-2,-2,-2,0
"tamuc   ",-3,-2,-2,-2,-2,0
"mturk   ",-3,-2,-3,-2,-3,-3
"mturk   ",1,1,-1,0,1,0
"mturk   ",-3,-3,-3,-3,-3,-3
"mturk   ",-2,-1,-2,-2,-2,-2
"mturk   ",-3,-2,-3,-3,-2,-3
"mturk   ",-3,-3,-3,-3,-3,0
"mturk   ",-1,-1,-1,0,-1,0
"mturk   ",-2,-2,-2,-2,-2,-2
