"g","iatexplicitart1","iatexplicitart2","iatexplicitart3","iatexplicitart4","iatexplicitart5","iatexplicitart6"
"pi      ",-3,-3,-3,-3,-2,-2
"pi      ",-3,-3,-3,-2,-2,-3
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-2,-2,0,0,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,0,-2,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-2,-3,-2
"pi      ",-1,-1,-3,0,1,1
"pi      ",-3,-2,-3,-2,-1,-3
"pi      ",-3,-2,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-1,-1
"pi      ",-3,-2,-3,-2,-3,0
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-3,-1,-2,-2,-1,-2
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-1,0,-1,0,-1,0
"pi      ",-2,-2,-3,NA,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",0,0,0,0,0,0
"pi      ",-1,-2,-2,-2,-1,0
"pi      ",-2,-2,-1,-2,-2,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-3,-3,-2,-3
"pi      ",-3,-3,0,0,-3,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-2,-3,1
"pi      ",-2,-2,-2,-2,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",2,0,-1,1,3,-2
"pi      ",-3,-3,-3,-3,-3,3
"pi      ",-1,-1,-1,-1,-1,-1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-1,-2,-1,-3,-3
"pi      ",0,0,0,0,0,-3
"pi      ",-3,-3,-2,-2,-3,-2
"pi      ",-3,-3,0,0,-2,-3
"pi      ",-1,0,-2,-2,-2,-1
"pi      ",-2,0,0,-3,-3,-3
"pi      ",-3,-3,-2,-2,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-1,-2,-2,-2,-1,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-3,-2,-3,-1
"pi      ",-2,-3,-3,-3,-1,NA
"pi      ",-3,-2,-3,-3,-3,-2
"pi      ",-3,-2,-3,-2,-3,-3
"pi      ",-3,-3,-2,-2,-2,-3
"pi      ",-3,-2,-2,-2,-2,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,0,0,0,0,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-3,-3,-3,-2
"pi      ",-2,-1,-3,-2,-2,-2
"pi      ",-3,-2,-3,-3,-2,1
"pi      ",-2,-2,-2,-2,-1,-2
"pi      ",-3,-3,0,0,-2,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-2,-2,-3
"pi      ",-3,-1,-2,-2,-3,-3
"pi      ",-1,-1,-1,-1,-1,-1
"pi      ",-3,-3,-3,-3,-3,-2
"pi      ",-2,-1,-2,-2,-2,-2
"pi      ",-1,-2,-3,-2,0,-1
"pi      ",-3,-3,-3,-3,-2,-3
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-3,-3,-3,-3,-3,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-3,-2,-2,-3
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",0,-1,-2,-2,0,0
"pi      ",-1,-1,-2,-2,-1,-1
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,0,-3,-2,-2,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-3,-2,-3,0
"pi      ",-3,-2,-3,-3,-2,-2
"pi      ",-3,-3,-3,-3,-3,0
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-2,-2,-2,-2,-2,-2
"pi      ",-3,-3,0,0,-3,1
