"g","and1.4_2","and1.4_3","and1.4_6","and1.4_7","and1.4_10","and1.4_11","and1.4_13","and1.4_15","and1.4_16","and1.4_20"
"johannesburg",2,1,1,1,1,1,1,1,1,1
"johannesburg",2,2,1,1,4,1,2,1,1,3
"johannesburg",1,2,1,1,2,1,2,1,2,2
"johannesburg",2,2,1,2,3,1,3,2,2,3
"johannesburg",2,1,1,1,1,1,1,1,3,1
"johannesburg",2,4,1,2,4,1,4,2,3,4
"johannesburg",1,4,1,1,1,1,1,1,1,1
"johannesburg",3,2,1,2,2,1,1,1,1,1
"johannesburg",1,2,4,1,4,1,1,2,1,2
"johannesburg",4,2,1,1,1,1,2,1,1,4
"udd",3,1,1,2,2,1,1,2,3,1
"udd",4,1,1,1,1,1,1,3,4,1
"udd",1,2,1,1,2,1,1,1,2,2
"udd",1,2,3,1,5,1,2,1,4,4
"udd",1,1,1,1,3,1,1,1,1,1
"udd",3,4,3,2,5,3,5,1,4,5
"udd",1,1,1,1,1,1,1,1,2,1
"udd",1,1,2,1,2,1,1,1,2,1
"udd",2,4,1,2,4,4,4,2,4,4
"udd",2,1,1,2,1,1,1,1,2,1
"udd",1,1,1,1,1,1,1,1,2,1
"udd",1,2,1,1,1,1,1,1,1,1
"udd",1,1,1,1,1,1,1,1,1,1
"udd",1,1,2,1,3,1,1,1,3,2
"udd",3,1,1,1,1,1,1,1,1,3
"udd",1,1,1,1,1,1,1,1,1,1
"udd",2,1,1,1,1,1,1,1,1,1
"udd",3,4,1,5,5,5,4,1,5,4
"udd",3,1,1,1,5,1,1,1,5,1
"udd",4,1,1,3,1,1,1,4,3,1
"udd",2,1,1,1,1,1,1,1,3,3
"udd",4,4,2,2,2,1,1,3,4,1
"udd",1,1,1,1,2,1,1,1,1,1
"udd",4,2,1,3,3,1,1,2,4,1
"udd",1,1,1,1,1,1,1,1,1,1
"santiagoon",1,1,4,1,4,1,2,1,2,1
"udd",4,3,1,3,5,4,3,2,5,2
"udd",2,1,1,1,1,1,1,1,1,1
"udd",1,1,1,1,1,1,1,1,1,1
"santiagoon",1,1,1,1,2,1,1,1,2,1
"santiagoon",1,1,1,1,1,1,1,1,1,3
"santiagoon",1,2,1,1,2,2,1,1,3,1
"santiagoon",1,1,1,1,1,1,1,1,1,1
"santiagoon",5,1,1,1,2,1,1,2,1,1
"udd",1,1,1,1,1,1,1,1,1,1
"santiagoon",2,4,1,3,4,1,3,2,4,4
"udd",4,1,1,4,2,1,1,3,5,3
"udd",2,1,1,1,1,1,1,1,1,1
"santiagoon",4,3,4,4,3,2,4,3,3,4
"santiagoon",1,2,1,1,1,1,1,1,4,1
"santiagoon",1,1,1,2,1,1,1,1,1,1
"santiagoon",3,3,1,5,4,1,4,1,4,3
"santiagoon",4,5,3,5,5,4,5,2,5,4
"udd",1,1,1,1,1,1,1,1,2,1
"udd",5,4,1,3,4,1,3,1,5,3
"udd",1,1,1,1,3,1,1,1,2,1
"santiagoon",1,2,1,1,3,1,2,1,1,3
"santiagoon",1,1,1,1,1,1,1,1,1,1
"udd",1,1,1,1,1,1,1,1,1,1
"udd",3,3,2,2,3,2,2,2,3,2
"santiagoon",1,1,1,1,1,1,1,1,2,1
"udd",2,1,1,1,2,2,1,2,3,2
"udd",2,3,2,1,4,1,3,2,3,3
"udd",1,1,1,1,1,1,1,1,1,1
"santiagoon",1,3,1,1,3,1,1,1,2,1
"santiagoon",2,5,1,3,3,5,1,1,4,3
"santiagoon",1,2,1,1,3,2,2,3,4,3
"santiagoon",2,1,1,1,1,1,1,1,1,1
"santiagoon",2,3,1,3,4,3,2,1,3,3
"santiagoon",3,1,1,1,2,3,1,2,2,2
"santiagoon",4,5,5,4,4,5,2,2,4,5
"ucron",1,1,1,1,1,1,1,1,1,1
"ucron",1,1,1,1,4,1,1,1,4,1
"ucron",2,4,1,1,3,1,1,1,4,1
"ucron",3,1,1,2,1,1,1,3,1,1
"ucron",1,3,1,1,1,1,2,1,2,3
"ucron",2,2,1,2,2,2,2,3,5,1
"ucron",2,3,2,2,2,1,1,2,3,1
"ucron",4,5,5,5,5,2,4,2,5,5
"ucron",4,1,1,1,1,1,1,2,5,1
"ucron",1,1,1,1,3,2,1,1,1,1
"ucron",1,1,1,2,1,1,1,1,1,1
"ucron",1,1,1,1,1,1,1,1,2,1
"ucron",1,3,1,1,2,2,1,1,1,1
"ucron",2,3,1,2,2,1,4,2,4,2
"ucron",1,3,4,1,3,1,4,1,4,3
"ucron",1,1,1,1,2,1,1,1,5,1
"ucron",1,1,1,1,1,1,1,1,3,1
"ucron",2,2,1,1,2,1,1,2,3,1
"ucron",4,1,1,3,1,1,1,3,1,1
"ucron",1,1,1,1,1,1,1,1,1,1
"ucron",1,3,3,1,3,4,3,1,3,3
"ucron",5,5,4,2,5,3,1,4,5,3
"ucron",1,2,1,1,1,1,1,1,1,1
"ucron",1,2,1,2,3,1,2,1,2,2
"ucron",3,1,1,1,1,1,1,1,1,1
"ucron",3,1,1,4,2,2,1,2,2,2
"ucron",1,3,2,1,2,1,1,1,3,2
"ucron",1,3,1,1,4,2,1,1,2,1
"ucron",2,2,1,1,1,1,1,1,1,1
"ucron",2,3,1,1,1,1,1,1,5,1
"ucron",2,1,2,1,1,3,3,1,3,1
"ucron",2,3,1,2,3,2,3,1,3,3
"ucron",3,4,3,3,4,3,4,2,5,4
"ucron",4,2,1,1,1,1,1,3,3,1
"ucron",4,4,1,4,4,1,1,4,4,1
"ucron",4,1,1,1,1,1,1,1,3,1
"ucron",3,1,1,3,1,1,1,3,1,1
"ucron",1,3,1,1,1,1,2,1,2,2
"ucron",5,3,3,4,2,2,1,2,4,1
"ucron",2,1,1,1,4,1,2,1,5,1
"ucron",1,2,1,3,2,1,2,1,2,2
"ucron",2,2,1,3,1,2,4,4,3,2
"ucron",2,1,1,1,1,1,1,1,2,1
"ucron",2,2,1,2,2,1,1,1,2,1
"ucron",1,1,1,1,1,1,1,1,1,1
"unam",2,3,1,1,4,1,2,1,4,3
"unam",4,2,2,3,3,2,2,3,4,3
"unam",3,4,1,2,5,3,5,2,5,2
"unam",4,3,3,2,3,2,2,3,4,3
"unam",1,3,1,1,2,1,1,1,2,1
"unam",1,3,1,1,3,1,1,1,1,1
"unam",3,2,1,3,2,1,2,2,1,2
"unam",2,1,1,1,1,2,1,1,5,1
"unam",3,5,3,4,5,2,3,3,5,4
"unam",2,1,1,3,2,1,1,1,3,1
"unam",1,1,1,1,1,1,1,1,1,1
"unam",1,1,1,1,1,1,1,1,4,1
"unam",3,3,1,3,4,1,2,2,5,2
"unam",2,4,2,2,4,1,4,4,4,4
"unam",1,2,1,2,3,2,3,3,2,2
"unam",1,1,1,1,2,1,1,1,2,2
"unam",1,1,1,1,1,1,1,1,1,1
"unam",4,3,4,4,4,4,4,3,5,4
"unam",1,1,1,1,3,1,1,1,2,3
"unam",1,2,1,2,2,1,2,2,2,2
"unam",1,4,1,3,4,2,1,1,4,4
"unam",2,2,2,2,2,1,1,1,2,2
"unam",1,4,1,1,1,1,1,1,1,1
"unam",2,2,2,2,2,1,2,2,4,2
"unam",3,3,4,3,3,3,3,3,3,3
"unam",2,1,1,1,3,1,3,2,3,3
"unam",1,1,2,1,2,1,1,1,2,1
"unam",1,1,2,1,1,1,1,1,1,2
"unam",1,1,1,1,1,1,1,2,3,1
"unam",3,2,1,2,2,1,1,1,2,1
"unam",1,1,1,1,2,1,1,1,1,1
"unam",1,1,1,1,1,1,1,1,2,1
"unam",1,1,1,1,1,1,1,1,1,1
"unam",1,1,1,1,1,1,1,1,1,1
"unam",1,2,2,1,2,1,1,2,2,2
"unam",3,1,3,2,2,3,2,3,3,3
"unam",1,1,1,2,4,1,1,1,5,3
"unam",2,3,3,3,3,2,2,2,3,2
"unam",2,2,1,2,3,1,2,1,2,2
"unam",1,1,1,1,2,1,1,1,2,1
"unam",1,1,1,1,1,1,1,1,2,1
"unam",3,1,1,1,1,1,1,3,3,1
"unam",2,4,1,2,1,2,1,3,4,2
"unam",1,1,1,1,1,1,1,4,1,1
"unam",1,1,1,1,2,1,2,4,3,2
"unam",4,1,1,3,2,1,1,3,4,1
"unam",4,4,1,3,4,1,3,1,4,4
"unam",2,3,2,2,2,2,1,1,2,2
"unam",1,1,1,1,1,1,1,1,2,1
"unam",1,1,1,1,1,1,1,1,1,1
"unam",2,4,1,5,4,2,4,2,3,4
"unam",1,3,1,1,1,2,1,1,2,1
"unam",1,2,1,1,1,1,1,1,4,1
"unam",3,5,2,1,4,1,2,3,4,2
"unam",1,1,1,1,1,1,2,1,2,2
"unam",2,2,1,1,1,1,1,2,1,1
"unam",1,1,1,1,1,1,1,1,2,3
"unam",1,2,1,1,3,1,2,1,2,1
"unam",3,2,2,3,2,1,2,3,1,3
"unam",1,1,1,1,2,1,1,1,4,1
"unam",1,1,1,1,2,1,1,1,1,1
"unam",1,2,1,1,1,1,1,1,2,2
"unam",1,3,1,1,1,1,1,1,1,1
"unam",2,1,1,2,3,1,1,3,1,1
"unam",2,1,2,1,1,1,1,2,1,2
"unam",4,3,4,3,4,1,2,2,4,3
"unam",2,2,1,2,3,1,2,1,3,3
"unam",3,3,2,3,2,2,3,2,3,3
"unam",1,1,1,1,1,1,1,1,1,2
"unam",1,2,1,1,2,3,1,1,2,2
"unam",2,1,1,1,4,1,1,3,1,1
"unam",4,4,2,2,4,1,2,1,4,4
"pscio",4,2,1,3,1,1,1,2,1,1
"pscio",1,1,1,2,3,1,2,2,3,5
"pscio",1,1,1,1,2,2,2,1,1,2
"pscio",3,3,2,2,4,2,3,1,1,2
"pscio",2,1,1,2,4,1,1,1,3,1
"pscio",1,1,1,1,1,1,1,1,2,1
"pscio",1,4,1,3,2,2,1,1,1,2
"pscio",1,2,2,1,2,1,1,1,2,2
"pscio",1,1,1,1,2,1,1,1,1,1
"pscio",3,3,1,3,2,4,1,1,3,1
"pscio",2,1,1,2,2,1,1,2,2,2
"pscio",1,1,1,1,2,1,1,1,2,1
"pscio",2,1,1,1,1,1,1,1,1,1
"pscio",1,1,2,1,2,1,1,1,2,1
"pscio",1,1,1,3,2,1,1,2,1,1
"pscio",1,1,1,1,1,1,1,1,2,1
"pscio",1,1,1,1,1,1,1,1,2,1
"pscio",1,3,1,1,1,2,1,3,1,2
"pscio",1,1,1,1,1,1,1,1,1,1
"pscio",1,1,1,2,1,1,1,1,2,1
"pscio",1,1,1,1,1,1,1,1,1,1
"pscio",1,1,1,1,3,1,1,1,1,1
"pscio",1,1,1,1,4,1,1,1,3,1
"pscio",1,1,1,1,1,1,1,1,1,1
"pscio",1,1,1,1,3,1,1,1,2,1
"pscio",2,1,2,2,3,1,2,2,2,2
"pscio",1,1,1,3,4,1,2,2,2,2
"pscio",1,2,1,1,1,2,1,2,1,1
"pscio",1,1,1,1,1,1,1,1,3,1
"pscio",1,1,1,1,2,1,1,1,1,1
"pscio",1,1,1,1,1,1,2,1,1,1
"pscio",1,1,1,1,1,1,1,2,1,1
"pscio",1,2,2,1,3,2,2,1,2,2
"pscio",1,1,1,1,1,1,1,1,1,1
"pscio",1,1,1,2,4,4,1,1,2,2
"pscio",2,2,1,1,1,1,1,1,1,2
"pscio",4,3,2,2,4,2,1,1,4,2
"pscio",2,3,3,1,4,2,2,2,3,2
"pscio",1,3,3,3,2,1,3,1,3,2
"pscio",2,2,1,2,3,2,1,1,1,2
"pscio",4,4,2,3,1,4,1,2,2,3
"pscio",1,1,1,1,1,2,1,1,1,1
"lundon",3,3,3,2,3,3,2,2,3,2
"lundon",1,2,2,1,1,1,1,1,1,1
"lundon",1,1,1,1,1,1,4,1,3,1
"lundon",2,1,1,1,1,1,1,1,1,1
"lundon",1,1,1,1,1,1,1,1,1,1
"lundon",2,1,1,1,1,1,1,1,1,1
"lundon",1,1,1,1,1,1,1,1,2,1
"lundon",4,1,1,1,1,1,1,1,1,1
"lundon",4,4,2,3,3,1,3,3,1,4
"lundon",3,2,2,3,2,2,2,2,1,2
"lundon",2,3,2,3,3,1,1,1,3,1
"lundon",3,3,4,2,5,1,1,1,1,4
"lundon",3,4,1,1,1,1,1,4,1,1
"lundon",3,3,1,1,2,1,1,1,1,1
"lundon",1,1,1,1,1,1,1,1,2,1
"lundon",2,1,1,2,2,1,1,2,4,2
"lundon",1,3,1,1,2,2,1,1,2,1
"lundon",2,1,1,2,1,2,1,1,2,1
"lundon",2,4,4,3,3,4,1,2,1,3
"lundon",4,5,4,4,4,2,3,2,1,4
"lundon",3,2,1,2,1,1,1,1,1,1
"lundon",4,4,4,4,4,3,3,4,3,3
"lundon",1,2,1,2,2,1,1,1,2,2
"lundon",1,1,1,1,1,1,1,1,2,1
"lundon",1,1,1,2,1,1,1,1,1,1
"lundon",1,1,1,1,2,1,1,1,4,1
"lundon",3,1,1,1,2,2,1,2,1,2
"lundon",2,3,1,1,1,3,1,3,2,1
"lundon",1,2,1,1,1,1,1,1,1,1
"lundon",1,3,1,1,2,2,3,1,4,3
"lundon",2,1,1,1,1,1,1,1,1,1
"lundon",1,1,1,1,5,1,3,1,5,3
"lundon",1,1,1,1,1,1,1,1,1,1
"lundon",2,1,1,1,2,1,1,1,4,1
"lundon",4,2,1,3,1,2,1,2,1,2
"lundon",1,2,2,3,2,2,3,1,3,3
"lundon",2,2,1,1,1,1,1,2,1,1
"lundon",1,1,1,1,2,1,1,1,2,1
"lundon",4,3,2,1,1,2,1,1,1,1
"lundon",1,1,2,1,4,3,1,1,2,2
"lundon",1,2,1,2,4,1,2,1,4,1
"lundon",3,2,1,2,2,3,1,3,2,1
"lundon",1,1,1,1,1,1,1,1,1,1
"lundon",2,3,2,1,1,1,2,1,2,2
"lundon",2,4,4,1,3,4,2,1,4,2
"lundon",2,3,2,3,3,1,1,1,1,2
"lundon",1,3,1,1,1,2,1,1,1,1
"lundon",3,1,1,2,3,1,3,1,3,2
"lundon",1,5,4,1,4,4,1,2,4,1
"lundon",1,1,1,1,1,1,1,1,1,1
"lundon",1,2,1,1,2,1,1,1,4,1
"lundon",1,2,1,1,3,3,1,2,2,1
"lundon",2,1,1,2,1,1,1,1,1,1
"lundon",1,1,1,1,1,1,1,1,1,1
"lundon",3,1,2,1,1,1,1,3,1,1
"lundon",2,1,1,2,4,3,1,1,3,1
"ntnu",3,3,3,4,3,2,3,3,3,3
"ntnu",2,1,1,2,1,1,3,2,1,2
"ntnu",1,1,1,2,2,3,1,1,2,2
"ntnu",4,1,1,2,2,1,1,3,1,3
"ntnu",5,4,3,5,4,4,4,2,4,3
"ntnu",2,1,1,2,4,1,1,1,1,1
"ntnu",4,2,2,3,2,1,1,2,3,3
"ntnu",3,1,1,4,4,1,3,1,1,4
"ntnu",2,1,2,3,2,2,3,1,1,2
"ntnu",2,2,1,4,2,1,1,1,2,3
"ntnu",4,1,2,4,3,2,2,3,2,3
"ntnu",2,2,3,4,4,2,2,3,1,2
"ntnu",5,3,3,4,4,4,2,3,4,4
"ntnu",4,2,3,4,4,1,1,2,2,3
"ntnu",2,1,2,3,3,2,2,1,2,1
"ntnu",1,1,3,1,4,4,1,3,5,2
"ntnu",4,4,2,4,4,2,2,2,2,4
"ntnu",1,1,1,1,2,1,1,1,1,2
"ntnu",5,2,1,5,1,1,1,2,1,1
"ntnu",1,1,1,2,1,1,1,1,1,1
"ntnu",1,1,1,1,3,1,1,1,2,1
"ntnu",4,1,1,2,4,1,2,4,1,2
"ntnu",4,1,3,4,3,3,2,2,1,4
"ntnu",2,1,2,2,2,2,2,2,1,2
"ntnu",2,2,2,2,2,2,2,2,2,2
"ntnu",5,1,1,1,1,1,1,1,1,1
"ntnu",1,1,1,1,1,2,1,1,1,1
"ntnu",2,1,2,2,2,2,1,1,1,1
"ntnu",1,2,1,4,3,1,1,2,2,2
"ntnu",2,1,1,2,1,1,1,1,1,1
"ntnu",3,1,1,3,1,1,1,1,1,1
"ntnutab",5,1,2,5,1,3,1,2,4,1
"ntnutab",3,2,3,2,2,3,1,1,3,1
"ntnutab",2,3,3,2,2,3,2,1,3,2
"ntnutab",3,3,2,4,2,2,2,3,4,2
"ntnutab",1,2,1,2,2,1,1,3,4,2
"ntnutab",2,1,1,3,4,1,2,1,3,2
"ntnutab",1,1,1,2,1,1,1,4,1,2
"ntnutab",2,2,2,3,2,1,2,3,3,2
"ntnutab",2,2,2,3,2,2,2,1,2,3
"ntnutab",3,2,3,3,4,3,2,1,3,2
"ntnutab",3,1,1,2,2,1,1,1,1,1
"ntnutab",4,3,2,4,4,2,2,4,3,3
"ntnutab",4,3,1,5,4,1,1,1,1,2
"ntnutab",3,3,3,3,3,3,3,3,3,3
"ntnutab",2,2,2,2,2,2,1,3,1,1
"ntnutab",4,1,4,3,2,3,1,1,1,1
"ntnutab",1,1,3,3,3,1,1,1,2,1
"ntnutab",1,1,1,1,3,1,1,1,1,1
"ntnutab",3,2,3,2,3,3,3,1,4,4
"ntnutab",2,1,1,1,1,1,1,1,1,1
"ntnutab",1,1,1,2,1,1,1,1,1,1
"ntnutab",1,1,1,1,1,1,1,1,1,1
"ntnutab",4,1,1,4,3,1,1,1,1,1
"ntnutab",1,1,1,1,2,1,1,1,1,1
"ntnutab",3,3,3,3,3,3,3,3,3,3
"ntnutab",4,4,4,5,4,4,4,3,4,4
"ntnutab",4,2,1,3,4,2,4,4,4,4
"bilgi",5,4,1,4,5,1,3,4,5,2
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",1,1,1,2,1,1,1,1,1,1
"bilgi",3,4,3,5,3,4,3,1,3,2
"bilgi",1,2,1,1,1,2,1,1,2,2
"bilgi",3,4,4,3,3,1,1,3,4,4
"bilgi",1,1,1,1,3,1,1,1,1,1
"bilgi",1,1,1,1,1,1,1,1,2,1
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",2,2,1,1,2,1,1,1,2,1
"bilgi",2,2,1,1,3,1,1,1,2,1
"bilgi",3,2,1,1,2,1,1,1,2,1
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",4,5,2,3,3,1,1,1,4,1
"bilgi",4,3,3,4,3,3,5,4,5,5
"bilgi",4,3,3,2,5,3,1,2,4,2
"bilgi",1,2,1,1,1,1,1,1,1,1
"bilgi",4,4,1,3,4,1,2,2,4,2
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",3,4,1,3,3,2,1,1,4,1
"bilgi",1,2,1,5,2,2,3,1,2,5
"bilgi",1,1,1,2,1,1,1,1,2,1
"bilgi",1,1,1,2,1,3,1,1,1,1
"bilgi",1,3,3,1,2,1,1,1,1,1
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",1,3,1,2,3,1,2,2,2,2
"bilgi",2,3,1,2,2,1,2,1,2,1
"bilgi",1,3,1,1,1,1,1,1,1,1
"bilgi",2,5,1,4,2,1,1,1,2,1
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",3,5,3,5,5,3,5,1,3,5
"bilgi",2,2,1,1,2,1,1,1,2,1
"bilgi",1,2,1,1,2,1,1,1,1,1
"bilgi",1,2,2,1,2,2,1,1,1,1
"bilgi",1,4,1,2,3,2,1,2,3,1
"bilgi",1,2,1,2,2,2,1,2,2,1
"bilgi",1,2,1,1,1,2,1,1,1,1
"bilgi",4,4,2,2,3,2,1,1,5,2
"bilgi",1,1,1,1,3,1,1,1,1,1
"bilgi",2,2,1,1,2,1,1,1,1,1
"bilgi",1,1,1,1,2,1,1,1,1,1
"bilgi",1,1,1,2,1,1,1,1,1,1
"bilgi",2,4,1,4,4,3,5,1,3,5
"bilgi",1,2,1,1,1,2,1,1,1,1
"bilgi",3,4,1,3,5,1,1,1,3,1
"bilgi",2,3,1,1,2,1,1,1,3,1
"bilgi",1,3,1,1,2,1,1,1,1,1
"bilgi",3,2,2,2,3,1,2,1,3,1
"bilgi",4,2,1,2,2,1,2,3,4,2
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",3,3,2,1,4,2,2,1,3,1
"bilgi",1,3,1,2,1,1,1,1,1,1
"bilgi",1,3,1,1,1,1,1,1,1,1
"bilgi",2,1,1,1,1,1,1,1,2,1
"bilgi",1,1,1,2,1,1,1,1,1,1
"bilgi",1,2,4,1,2,1,2,1,1,1
"bilgi",1,2,2,1,1,2,2,1,1,1
"bilgi",1,2,2,2,1,1,1,1,1,1
"bilgi",1,2,1,1,2,1,1,1,1,1
"bilgi",1,2,1,2,2,1,1,1,1,1
"bilgi",2,2,1,2,3,1,1,1,2,1
"bilgi",1,3,1,2,1,1,1,1,1,1
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",3,3,2,3,3,2,3,2,4,3
"bilgi",1,1,1,1,1,1,1,1,1,1
"bilgi",1,5,1,3,1,1,1,1,1,1
"bilgi",1,2,2,2,2,1,1,1,2,1
"bilgi",1,2,2,2,2,1,2,1,2,2
"bilgi",2,1,1,2,2,1,1,2,2,1
"bilgi",2,2,1,2,2,1,1,1,1,1
"bilgi",2,1,2,1,2,1,1,1,2,1
"bilgi",1,1,1,1,1,1,1,1,1,1
"koc",1,1,1,1,1,1,1,1,1,1
"koc",2,2,2,3,3,1,2,2,1,2
"koc",1,1,1,1,1,1,1,1,1,1
"koc",1,1,1,1,2,1,1,1,1,1
"koc",2,2,1,1,1,1,1,1,2,1
"koc",3,2,2,2,3,1,1,1,3,1
"koc",3,2,1,4,4,2,1,2,3,1
"koc",2,2,1,2,2,1,1,1,2,1
"koc",5,4,3,5,5,1,1,1,5,1
"koc",4,3,1,1,3,1,1,1,3,1
"koc",2,4,3,3,4,1,2,1,3,1
"koc",1,3,1,1,1,1,1,1,1,1
"koc",1,3,1,1,3,1,1,1,1,1
"koc",2,2,3,2,2,3,1,1,3,4
"koc",1,4,1,1,2,1,1,1,1,1
"koc",1,2,1,1,1,1,1,1,1,1
"koc",2,3,2,3,2,1,1,1,1,1
"koc",1,1,1,1,1,1,1,1,1,1
"koc",1,4,1,4,4,4,1,1,1,2
"koc",2,2,1,2,2,1,1,1,2,1
"koc",2,1,1,3,2,1,1,1,1,1
"koc",3,3,1,1,2,1,1,2,3,1
"koc",1,2,2,1,3,3,3,2,2,3
"koc",1,1,1,1,1,1,1,1,1,1
"koc",1,2,1,2,1,1,1,1,1,1
"koc",1,1,1,1,1,1,1,1,1,1
"koc",1,4,1,2,3,2,3,1,1,3
"koc",5,5,4,4,4,3,3,4,4,3
"koc",2,1,2,1,3,1,2,1,1,2
"aus",4,2,3,2,2,2,3,1,2,3
"aus",3,3,3,3,4,2,2,3,3,1
"aus",1,1,1,1,1,1,1,1,1,1
"aus",1,1,1,1,2,2,1,1,2,3
"aus",3,3,1,2,3,2,1,3,3,1
"aus",2,1,2,1,1,2,1,1,2,1
"aus",2,2,1,3,2,1,2,1,3,2
"aus",3,2,1,1,2,1,2,4,2,2
"aus",2,3,1,1,2,1,1,1,2,1
"aus",1,4,1,2,1,1,1,1,5,1
"aus",2,2,1,1,1,1,1,1,2,1
"aus",2,4,1,3,4,1,4,2,4,4
"aus",2,3,1,1,1,1,1,2,2,1
"aus",2,3,1,2,1,4,1,2,4,4
"aus",1,3,1,4,4,4,3,1,5,2
"aus",2,4,1,1,1,1,1,1,3,1
"aus",5,1,3,5,1,5,1,1,1,1
"aus",4,2,2,2,3,1,3,1,4,1
"aus",1,1,1,1,1,1,1,1,1,1
"aus",2,1,1,2,1,5,1,3,2,1
"aus",4,4,1,3,4,1,3,1,4,2
"aus",5,3,1,1,3,1,1,1,1,1
"aus",2,1,1,2,1,1,1,3,2,1
"aus",3,4,4,5,4,4,5,2,5,3
"aus",1,2,1,2,1,4,1,1,1,1
"aus",3,3,1,1,3,1,2,2,2,2
"aus",1,1,1,4,5,1,4,1,5,4
"aus",1,1,1,1,1,1,1,1,1,1
"aus",5,2,1,4,2,1,2,1,2,2
"aus",2,3,1,1,3,3,1,1,3,1
"aus",1,2,1,1,1,1,1,1,1,1
"aus",4,4,1,2,1,1,1,1,3,1
"aus",1,1,1,1,2,1,1,1,1,1
"aus",3,2,1,4,3,1,1,2,3,1
"aus",1,1,1,1,1,1,1,1,1,1
"aus",3,4,1,1,1,1,1,2,2,1
"aus",2,2,1,1,5,1,2,2,5,3
"aus",2,2,3,1,1,5,1,2,2,1
"aus",2,2,1,3,3,2,1,3,4,2
"aus",4,2,1,4,2,4,2,1,1,2
"aus",2,1,1,1,1,1,1,1,1,1
"aus",3,3,1,3,4,1,2,2,3,5
"aus",3,3,2,1,3,4,3,4,3,4
"aus",2,2,4,2,4,1,4,2,4,4
"aus",2,4,2,2,3,3,2,1,2,2
"hawaiion",3,3,3,3,3,3,3,3,3,3
"hawaiion",2,3,2,3,3,2,3,2,2,3
"hawaiion",4,1,1,1,1,1,1,1,1,1
"hawaiion",1,1,1,1,1,1,2,1,5,1
"hawaiion",1,1,1,1,2,1,1,1,5,2
"hawaiion",2,1,1,1,2,1,1,1,1,1
"hawaiion",1,1,2,1,2,1,2,1,1,3
"hawaiion",1,2,1,2,1,1,1,1,1,1
"hawaiion",1,1,1,1,2,1,1,3,3,1
"hawaiion",1,3,1,1,4,1,4,1,4,2
"hawaiion",3,4,3,3,3,3,1,1,2,1
"hawaiion",4,4,2,4,4,4,4,2,1,4
"hawaiion",1,1,1,1,1,1,1,1,1,1
"hawaiion",2,1,1,1,1,1,1,1,2,1
"hawaiion",2,4,1,1,2,1,1,1,2,1
"hawaiion",3,4,2,4,4,4,2,3,5,4
"hawaiion",1,2,1,2,4,1,3,1,2,1
"hawaiion",4,4,4,4,4,3,3,3,3,3
"hawaiion",2,1,1,2,2,1,2,1,1,1
"hawaiion",4,3,4,4,1,3,3,2,2,2
"hawaiion",1,2,1,1,1,1,1,1,1,1
"hawaiion",2,1,1,1,1,1,1,1,1,2
"hawaiion",1,1,1,1,1,1,1,1,1,1
"hawaiion",4,4,2,3,3,2,5,1,3,3
"hawaiion",5,5,5,5,5,5,5,2,3,5
"hawaiion",1,1,1,1,1,1,1,1,1,1
"hawaiion",1,1,1,1,1,1,1,1,1,1
"hawaiion",1,1,1,1,1,1,1,1,2,1
"hawaiion",2,1,1,1,1,1,1,1,1,1
"hawaiion",3,1,1,2,1,1,1,1,1,1
"hawaiion",1,1,1,1,1,1,1,1,1,1
"hawaiion",4,4,3,3,5,4,2,3,3,2
"hawaiion",1,1,1,1,1,1,1,1,1,1
"hawaiion",1,4,1,1,3,1,1,1,1,2
"hawaiion",3,1,1,2,2,1,1,1,1,1
"hawaiion",3,4,1,3,4,2,1,1,3,1
"hawaiion",2,1,1,1,1,1,1,1,1,1
"hawaiion",1,2,1,1,3,1,1,1,1,1
"hawaiion",2,2,1,2,2,2,2,2,2,2
"hawaiion",2,2,4,3,2,2,2,2,2,1
"hawaiion",3,4,3,3,3,4,2,2,2,4
"hawaiion",1,2,1,1,1,1,1,1,2,1
"hawaiion",2,2,2,2,3,2,2,2,3,2
"hawaiion",3,3,3,3,3,3,3,3,3,3
"hawaiion",4,5,5,5,5,5,5,2,4,5
"hawaiion",1,1,1,1,1,2,1,1,1,1
"hawaiion",3,3,3,3,3,3,3,3,3,3
"hawaiion",1,1,1,1,4,1,2,1,1,2
"hawaiion",1,1,2,1,2,2,1,1,1,1
"hawaiion",2,2,2,1,1,1,1,1,1,1
"hawaiion",2,1,1,3,3,1,2,1,1,1
"hawaiion",2,1,1,2,1,1,1,1,1,1
"hawaiion",1,3,1,2,2,1,3,1,1,1
"hawaiion",2,4,4,1,4,1,2,1,3,2
"hawaiion",1,1,1,1,1,1,1,1,1,1
"hawaiion",3,1,1,1,1,1,1,1,1,1
"hawaiion",2,2,2,4,1,2,4,1,1,2
"hawaiion",2,1,1,1,2,1,1,1,1,1
