"g","and1.4_2","and1.4_3","and1.4_6","and1.4_7","and1.4_10","and1.4_11","and1.4_13","and1.4_15","and1.4_16","and1.4_20"
"ubctab",1,1,1,1,1,1,1,1,1,1
"ubc",4,5,3,5,5,3,4,1,4,4
"toronto",1,2,1,1,1,1,1,1,1,1
"ubctab",4,4,3,3,2,4,1,2,3,3
"toronto",2,1,1,1,1,1,2,3,1,2
"toronto",3,2,4,2,4,4,3,3,3,2
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",1,3,1,1,2,1,1,1,1,3
"ubctab",1,1,1,1,1,1,1,1,4,1
"toronto",4,2,4,4,5,3,1,2,2,5
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",3,3,3,3,3,3,3,3,3,3
"toronto",2,3,1,1,3,1,1,4,1,1
"toronto",1,2,1,2,1,1,2,1,1,2
"toronto",2,1,1,1,5,1,1,1,1,2
"toronto",2,3,1,1,1,1,1,1,1,1
"ubctab",1,2,1,1,1,1,1,1,1,1
"toronto",1,2,1,3,2,2,2,3,1,3
"toronto",3,2,1,2,2,1,1,2,2,3
"toronto",2,2,2,1,2,3,2,1,3,3
"toronto",1,1,1,1,2,1,1,1,3,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",2,1,1,2,2,1,1,2,2,1
"toronto",1,1,1,1,1,1,1,1,4,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",2,5,1,5,2,3,1,3,1,3
"toronto",3,3,3,2,2,1,1,2,1,1
"toronto",1,3,1,4,1,1,1,1,1,1
"toronto",3,2,2,3,2,1,2,4,3,3
"ubctab",3,2,3,3,3,3,3,3,3,1
"ubctab",1,2,1,1,2,1,1,1,2,1
"ubctab",5,4,1,4,4,2,1,2,3,2
"toronto",3,4,2,4,4,1,4,1,2,4
"toronto",1,2,1,1,2,1,1,3,1,1
"toronto",4,3,3,3,3,2,1,1,2,4
"toronto",3,2,1,2,1,1,2,1,3,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",1,1,1,1,2,1,4,1,1,4
"toronto",1,2,1,3,1,1,1,1,1,1
"toronto",4,1,1,1,1,1,1,1,1,1
"toronto",3,3,1,3,4,1,4,3,2,4
"toronto",3,1,1,2,3,1,1,3,2,1
"toronto",1,1,2,2,2,1,2,3,1,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",4,4,1,3,1,1,1,1,1,1
"toronto",2,1,1,1,1,1,1,1,3,1
"ubctab",1,1,2,2,1,1,1,1,1,2
"toronto",2,2,1,1,1,1,1,1,1,1
"toronto",3,2,1,2,2,2,3,1,1,2
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",3,2,3,2,3,3,3,3,3,4
"toronto",1,1,1,1,1,1,1,1,2,1
"toronto",2,4,1,1,1,1,1,1,1,1
"toronto",3,1,1,3,1,1,1,2,1,1
"toronto",3,2,2,4,2,2,2,2,4,1
"ubc",1,1,1,1,1,1,1,1,1,1
"toronto",1,5,3,4,1,3,5,1,1,5
"toronto",1,1,1,1,3,1,1,1,1,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",3,1,1,4,1,1,1,1,1,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",3,4,3,2,4,4,2,3,3,2
"toronto",1,2,1,1,1,1,1,3,1,1
"toronto",1,3,1,1,2,1,1,1,1,1
"toronto",2,1,1,1,2,1,1,3,1,1
"toronto",1,1,1,1,3,1,1,1,3,3
"toronto",5,3,4,5,5,1,5,3,4,5
"toronto",3,3,1,2,1,1,1,1,1,1
"toronto",4,5,4,4,2,1,4,3,5,4
"toronto",1,2,1,1,1,2,1,1,1,1
"toronto",3,5,4,4,4,2,4,2,4,5
"toronto",1,1,1,1,1,1,1,1,2,1
"ubctab",1,1,1,1,1,1,1,1,1,1
"ubc",2,2,1,1,1,2,1,1,2,1
"ubc",2,1,3,1,1,4,1,1,2,1
"ubc",1,1,1,1,1,1,3,1,1,3
"toronto",2,3,1,1,2,1,1,1,1,1
"toronto",1,1,1,2,2,2,1,1,2,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",1,1,1,1,1,1,1,3,2,1
"toronto",1,1,1,1,4,1,1,1,3,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",2,3,2,1,1,2,3,1,3,4
"toronto",1,1,1,1,1,1,2,2,1,1
"toronto",1,1,1,1,4,1,1,1,2,1
"toronto",1,1,1,1,1,1,1,1,2,1
"ubc",4,4,3,4,3,2,4,2,3,3
"ubc",1,1,1,1,1,1,1,4,1,1
"ubctab",1,1,1,1,1,1,1,1,1,1
"ubctab",4,4,4,4,2,1,1,3,3,1
"ubc",1,1,1,1,1,1,1,1,1,1
"ubc",1,2,1,1,1,1,1,1,2,1
"ubc",1,1,1,1,2,1,3,1,1,2
"toronto",3,4,1,1,1,1,1,3,1,3
"toronto",3,3,1,2,5,1,4,1,5,2
"ubctab",5,4,4,4,5,4,4,4,4,4
"toronto",3,3,2,3,3,2,1,3,3,3
"ubc",1,1,1,1,1,1,1,1,1,1
"ubctab",1,1,1,1,1,1,1,1,1,1
"ubctab",1,1,1,1,1,1,1,1,1,1
"ubctab",4,1,5,5,5,5,3,1,5,1
"ubc",1,1,1,1,1,1,1,1,2,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",2,3,1,1,2,2,1,1,1,1
"toronto",2,1,1,1,1,1,1,1,1,1
"toronto",1,1,2,1,2,2,1,1,1,1
"toronto",3,3,1,2,3,2,1,3,2,2
"toronto",3,5,4,1,1,4,1,1,1,1
"toronto",1,2,1,1,1,1,1,1,1,1
"toronto",1,2,1,1,1,1,1,1,1,1
"toronto",1,1,1,1,1,1,1,1,1,1
"ubc",1,2,2,1,5,2,2,1,1,1
"ubc",1,1,2,1,1,2,1,1,1,1
"ubc",1,2,1,1,1,1,1,1,1,1
"ubc",2,1,1,1,2,1,1,1,1,1
"ouhktab",3,1,2,3,2,2,2,3,4,2
"ouhktab",1,1,1,2,2,1,1,1,1,3
"ouhktab",2,1,1,4,3,1,1,1,1,1
"ouhktab",1,1,2,2,2,2,2,1,1,2
"ouhktab",3,3,4,3,3,3,4,2,4,4
"ouhktab",2,2,1,4,2,1,1,1,3,2
"ouhktab",2,3,4,3,5,2,2,1,3,4
"ouhktab",2,3,2,3,4,1,4,1,3,3
"ouhktab",3,1,3,2,3,2,2,3,3,3
"ouhktab",2,1,2,2,4,1,1,2,2,1
"ouhktab",3,1,1,2,4,1,2,1,2,1
"ouhktab",3,4,2,3,4,3,3,3,3,3
