"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"g","factor",341,0,6,NA,NA,72,"Miami",NA,0.798634342669912,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAD4","integer",341,0,5,3.0791788856305,3,3,NA,1.10461887237179,NA,1,5,4,-0.195195430178553,-0.738991597672168,-0.90072411353485,-1.70991899338749,NA,NA
"FAD8","integer",341,0,5,4.08211143695015,4,4,NA,0.856979785205675,NA,1,5,4,-0.967759894991665,-3.66384822794647,0.839105830450557,1.59294391633279,NA,NA
"FAD12","integer",341,0,5,3.71847507331378,4,4,NA,1.08325979589674,NA,1,5,4,-0.741535462565292,-2.80738373695751,-0.17993531651434,-0.341586075764758,NA,NA
"FAD16","integer",341,0,5,3.23460410557185,3,3,NA,1.11042078875566,NA,1,5,4,-0.277287537251812,-1.04978461832254,-0.916832221288135,-1.74049834502356,NA,NA
"FAD20","integer",341,0,5,3.3782991202346,4,4,NA,1.07402406245601,NA,1,5,4,-0.380067458234169,-1.43889976280054,-0.584054622845092,-1.10875913919889,NA,NA
"FAD23","integer",341,0,5,2.93548387096774,3,3,NA,1.13056550810709,NA,1,5,4,0.00447260962638304,0.016932880705974,-1.02961916740331,-1.95461112214425,NA,NA
"FAD26","integer",341,0,5,3.35190615835777,4,4,NA,1.12429227542468,NA,1,5,4,-0.409769002628151,-1.55134702514147,-0.784752497801173,-1.489760494845,NA,NA
