"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"g","factor",6344,0,37,NA,NA,1329,"pi      ",NA,0.917836942970411,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imaginedexplicit1","integer",6323,0.00331021437578815,10,4.87474300173968,5,5,NA,2.13994697494591,NA,1,9,8,0.0809724842138511,1.31460846843134,-0.46600787092977,-3.78347454537872,NA,NA
"imaginedexplicit2","integer",6333,0.00173392181588903,10,3.83530712142744,4,4,NA,2.14571902343954,NA,1,9,8,0.454910878023897,7.3914267031833,-0.603997947488519,-4.90767629676774,NA,NA
"imaginedexplicit3","integer",6323,0.00331021437578815,10,5.20844535821604,5,5,NA,2.31480350163161,NA,1,9,8,-0.110965544156972,-1.80155327416636,-0.721692126211849,-5.8593512244223,NA,NA
"imaginedexplicit4","integer",6330,0.00220680958385876,10,4.913112164297,5,5,NA,2.90395613609774,NA,1,9,8,0.0501908690466834,0.81531198753168,-1.42005732779653,-11.5356883914469,NA,NA
